mtu,"U-238(n,gamma)","U-238(n,gamma)_err","U-238(n,fis)","U-238(n,fis)_err"
0,0,0,0,0
0.1,7.34E-05,2.21E-08,2.61E-05,1.73E-09
0.2,0.000146607,4.53E-08,5.21E-05,3.49E-09
0.5,0.000365779,1.15E-07,0.000130244,8.63E-09
1,0.000729306,2.25E-07,0.000260593,1.76E-08
2.5,0.00180579,5.16E-07,0.000651195,4.15E-08
5,0.003563912,8.95E-07,0.001301985,8.92E-08
10,0.006981063,1.56E-06,0.002603032,1.75E-07
15,0.010304699,2.09E-06,0.003901882,2.53E-07
20,0.013570842,2.55E-06,0.005199186,3.31E-07
25,0.016797087,3.02E-06,0.006495162,4.34E-07
30,0.019977153,3.35E-06,0.007789365,5.50E-07
35,0.023144223,3.82E-06,0.009079623,5.97E-07
40,0.026288402,4.02E-06,0.01037369,6.89E-07
45,0.029412299,4.32E-06,0.011661551,7.48E-07
50,0.032528104,4.69E-06,0.012951191,8.48E-07
