mtu,"U-238(n,gamma)","U-238(n,gamma)_err","U-238(n,fis)","U-238(n,fis)_err"
0.0,0.0,0.0,0.0,0.0
0.1,0.00011253093154654302,3.889970632226734e-08,2.6205650523344977e-05,1.7360287217307521e-09
0.2,0.00022459468782109787,7.914457643266629e-08,5.2388640742616544e-05,3.505025221821105e-09
0.5,0.0005591204156828556,1.9388097706752503e-07,0.00013095051223134722,8.663487076069537e-09
1.0,0.0011110953987190687,3.9913573002875103e-07,0.0002620003913026366,1.762053055162109e-08
2.5,0.002723756457075413,8.75366270442311e-07,0.0006547321260445728,4.166148906178805e-08
5.0,0.00530742556162117,1.5513711965610003e-06,0.0013090325810391427,8.934991059819818e-08
10.0,0.01020648488893436,2.6278970407942506e-06,0.0026171022005201396,1.7502918288631195e-07
15.0,0.0148521320157753,3.4625351568749905e-06,0.003922967351800288,2.5438073517965124e-07
20.0,0.019348555944952984,4.123321388926136e-06,0.005227278203453722,3.3298881506866616e-07
25.0,0.023723195555908353,4.681939514611518e-06,0.0065301134449151825,4.346023886390804e-07
30.0,0.027995634494285902,5.350810378691177e-06,0.007831235265163099,5.502223311883981e-07
35.0,0.032214471642601626,5.79066671942293e-06,0.009128571284946372,5.992555417508842e-07
40.0,0.036362564199702366,6.015611626772962e-06,0.010429344156625055,6.914968722325523e-07
45.0,0.040481985958218364,6.587202248581025e-06,0.011724043925628128,7.52763732496062e-07
50.0,0.044560934449527315,6.9568955213417714e-06,0.013020908023733943,8.508218612166826e-07
