mtu,"U-238(n,gamma)","U-238(n,gamma)_err","U-238(n,fis)","U-238(n,fis)_err"
0.0,0.0,0.0,0.0,0.0
0.1,0.0001502712234796811,5.511775866232101e-08,2.6278099539789085e-05,1.7385486662009599e-09
0.2,0.00029978334759766194,1.1836194129455681e-07,5.253365171965285e-05,3.508607405422467e-09
0.5,0.0007447497224922095,2.7980910446658756e-07,0.0001313124909818973,8.713340628782899e-09
1.0,0.0014753118248876339,5.455241407649002e-07,0.00026272172907939765,1.764242438116175e-08
2.5,0.0035873177549920567,1.235859592413185e-06,0.0006565442591679254,4.1806445399649835e-08
5.0,0.0069166448091282666,2.1231197172570206e-06,0.001312630575663006,8.954258313505187e-08
10.0,0.013095357402311644,3.566574604272802e-06,0.0026243263162594793,1.755897450296389e-07
15.0,0.018853441597443014,4.754605127050545e-06,0.003933802765203608,2.549360316037085e-07
20.0,0.024351588022030635,5.421742790415376e-06,0.005241733741305404,3.334564127409051e-07
25.0,0.029633805454537403,5.945534913849613e-06,0.006548178274936068,4.353897134672437e-07
30.0,0.03477718917449849,6.834733602332796e-06,0.007852853903069517,5.507514145809892e-07
35.0,0.03980394463072245,7.325077893799621e-06,0.009153972412564331,6.011764084264505e-07
40.0,0.04471998693695081,7.731623371650588e-06,0.01045811442727522,6.927446200436609e-07
45.0,0.049593344648605604,8.544159581774354e-06,0.011756409996030089,7.544246950151539e-07
50.0,0.054382963757196756,9.007179296592828e-06,0.013057094574171074,8.513996067793157e-07
