mtu,li6_tbr,li7_tbr,tbr,tbr_err
0.0,1.070411704528121,0.17272750690142938,1.2431392114295503,5.3055074697586976e-05
0.1,1.070572063858137,0.17276334995929246,1.2433354138174295,5.289446810672028e-05
0.2,1.0701790263571924,0.17267115653427242,1.2428501828914649,5.3197279928648884e-05
0.5,1.0700079235739972,0.17260797938169065,1.2426159029556878,5.2907381149719784e-05
1.0,1.0699799804161803,0.17260928654603483,1.2425892669622152,5.30152300382935e-05
2.5,1.068951414600464,0.17236743720700753,1.2413188518074714,5.232871347007354e-05
5.0,1.067856722267132,0.1720119994089699,1.239868721676102,5.308784977531463e-05
10.0,1.066536312086996,0.17137130869654577,1.2379076207835418,5.2914762931133534e-05
15.0,1.0651257171658697,0.17066814389140222,1.2357938610572718,5.207742608788031e-05
20.0,1.0642453271930825,0.16994678141293867,1.2341921086060212,5.185541262728962e-05
25.0,1.0637642118817219,0.1692878941683303,1.233052106050052,5.227830197293829e-05
30.0,1.0627796513663392,0.16859452934520036,1.2313741807115397,5.248032677155286e-05
35.0,1.0624004339549347,0.1678461433424489,1.2302465772973836,5.127670396961454e-05
40.0,1.0621626982419727,0.16721611633937777,1.2293788145813505,5.137846305928935e-05
45.0,1.061708273509351,0.16651237859830467,1.2282206521076557,5.084430385974783e-05
50.0,1.0615271089386202,0.16586482583309894,1.2273919347717193,5.1121992103709204e-05
