mtu,"U-238(n,gamma)","U-238(n,gamma)_err","U-238(n,fis)","U-238(n,fis)_err"
0.0,0.0,0.0,0.0,0.0
0.1,0.0002163455550154951,8.441031029624747e-08,2.635175375484394e-05,1.739239731516864e-09
0.2,0.00043158739232789477,1.7043595917437072e-07,5.268156878350092e-05,3.512817427820209e-09
0.5,0.0010689826122288553,4.0222371065520494e-07,0.00013168165554698155,8.725743445414268e-09
1.0,0.0021086422919609237,7.921757157175464e-07,0.00026345643654597376,1.7664753278156353e-08
2.5,0.005074733935215418,1.8086331154277109e-06,0.000658387869645728,4.192742023185911e-08
5.0,0.009640304229892512,2.920337730943108e-06,0.0013163162571986555,8.965620920430008e-08
10.0,0.01785414728302558,4.9088981378332645e-06,0.002631721765438949,1.7556891791285682e-07
15.0,0.025323152463318475,6.164966063050674e-06,0.003944813823876739,2.5466235829465937e-07
20.0,0.03232012653698866,7.306910007813442e-06,0.0052565225398032165,3.3395808348999235e-07
25.0,0.0389647591977273,8.141246513159453e-06,0.006566811221806891,4.359629089427991e-07
30.0,0.04536555971626672,8.812595338594916e-06,0.007875256838969655,5.505874894379696e-07
35.0,0.05155334934087476,9.413301335987192e-06,0.009179816314247689,6.030099041041858e-07
40.0,0.05759194887354063,1.0397691474014209e-05,0.01048783280325716,6.941569661806583e-07
45.0,0.06348003195789569,1.1048861760962606e-05,0.011790336119715682,7.55326256526046e-07
50.0,0.06930633176685719,1.1546811930333997e-05,0.013094642851890617,8.523004450117489e-07
