cell,flux,tbr,tbr_stdev,"U238(n,g)","U238(n,g)_stdev",Pu239_kg/yr,Pu239_kg/yr_stdev,"Li6(n,t)","Li6(n,t)_stdev","Li7(n,t)","Li7(n,t)_stdev","U238(n,fis)","U238(n,fis)_stdev",heat_eV_src,heat_eV_src_stdev
11,3.0982966603135584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450061.8572557044,155.5133877149996
21,6.197316946527577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,587564.8541886318,146.98135165134394
12,30.935437951952473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,490275.98497032566,115.16421887841504
22,6.210396291182119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,541343.8686669486,148.49050371180732
31,270.92745921085987,0.8243760131038771,0.0003120710095366275,0.0,0.0,0.0,0.0,0.8225860289243822,0.00031146342061273,0.0017899841794948856,6.075889238974405e-07,0.0,0.0,9145980.135376347,2147.268836541016
23,27.401181629508397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400894.8735477363,268.6821441743652
32,120.03139112520826,0.433787693217689,0.00017981316907723227,0.0,0.0,0.0,0.0,0.4336084942811274,0.00017960146230982138,0.00017919893656162165,2.11706767410893e-07,0.0,0.0,2944388.909437482,942.0159176873989
24,10.949230495458698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71298.0090069264,134.95596279487722
41,1.7297277144452032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24576.182111444654,75.48888533978484
42,12.54236354929572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140705.84176708982,266.2970116930971
25,7.5699300116477755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61515.27625345557,69.15334940172656
33,31.32657905270439,0.128969885045159,0.00012246621209468963,0.0,0.0,0.0,0.0,0.12895460282662016,0.00012240468295331137,1.528221853882092e-05,6.152914137826162e-08,0.0,0.0,750975.0808465598,613.5591970173937
26,7.350573608656421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42419.852213959704,91.91428666682589
43,0.7228525619029597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9355.706704145801,45.71303666443326
44,7.182827626685988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70841.89987600148,188.43288745390717
total,544.1755644363493,1.387133591366725,0.0006143503907085493,0.0,0.0,0.0,0.0,1.3851491260321298,0.0006134695658758628,0.0019844653345953284,8.80824832686595e-07,0.0,0.0,15732198.33222276,5409.630977391392
