target,reaction,integral_n_per_src,mean_E_MeV,median_E_MeV,peak_E_MeV,std_dev_E_MeV,E10_MeV,E90_MeV
Be-9,"(n,2n)",0.005941337399999999,2.3606021488858575,1.0076801582058135,8.4126905054074,2.74824029807455,0.025931033405945013,7.044198114705096
Pb-nat,"(n,2n)",0.007267206400000001,0.49499667235577055,0.30829023163946573,0.4295888790406678,0.547665464352787,0.03932962506160556,1.2029025180776147
U-nat,"(n,2n)",0.004258657799999999,0.5778810055924642,0.30236531328161376,0.3953365281562212,0.7848488054405025,0.040648350395413965,1.4120917999941291
Th-232,"(n,2n)",0.0044920338,0.5135178358704183,0.25331808089594376,0.32928925125182945,0.7433899506934485,0.03358973026108099,1.3068210148811232
Li-nat,"(n,2n)",0.00013501650000000002,0.7513406436998133,0.5599267764456093,0.75585486974183,0.6606949008030883,0.07742355343659196,1.716598262873498
Li-60%e,"(n,2n)",6.304430000000001e-05,0.7507001202725139,0.5590391565855213,0.7813989978108289,0.6601776549712172,0.07795836318701171,1.7143370740645785
Li-90%e,"(n,2n)",1.6539100000000002e-05,0.7494913839142978,0.5586486291519862,0.7685208114987521,0.6589083910137238,0.07779255221023126,1.708603503257747
Pb-nat,"(n,n')",0.0011877617999999997,5.668252611964982,5.616330232682578,8.842734050501138,2.1175414777506885,2.967114879074577,8.726904266600952
U-nat,"(n,n')",0.0023927335000000004,10.476550939596414,11.96599949699648,12.5356865767344,2.6620722971058965,5.9822911488146895,12.640009954170619
Th-232,"(n,n')",0.0017804800999999997,9.349415336866267,9.83427191060143,12.5356865767344,3.1434991701945125,4.884528736774253,12.586886532377243
Li-nat,"(n,n')",0.0017323414000000002,3.591571915027097,2.8229340648136003,6.134904192293756,3.242380814777922,0.17556984109970727,9.018044855726934
Li-60%e,"(n,n')",0.0021579476,3.4925209718899617,2.8998689410498586,5.282662069371898,2.796859730106238,0.3091048560954109,7.610595423813374
Li-90%e,"(n,n')",0.0024339882,3.4468636057098867,2.9281440657882682,4.70253795324826,2.5641481911265394,0.42814473209120063,7.2734182501257685
U-nat,nu-fission,0.024966679999999998,0.6735345812900215,0.3009266477829211,0.4225088525274767,1.00825470029483,0.029262930546695716,1.7342832097847556
Th-232,nu-fission,0.0042813569999999995,0.5844873340351352,0.23302418349778628,0.31327511850048007,0.9277287674109066,0.02220517314765687,1.53113779611675
