energy_mid_eV,"Be (n,2n)","Be (n,2n) err","Be (n,n')","Be (n,n') err","Pb (n,2n)","Pb (n,2n) err","Pb (n,n')","Pb (n,n') err","U (n,2n)","U (n,2n) err",U nu-fission,U nu-fission err,"U (n,n')","U (n,n') err","Th (n,2n)","Th (n,2n) err",Th nu-fission,Th nu-fission err,"Th (n,n')","Th (n,n') err","Li_7.5 (n,2n)","Li_7.5 (n,2n) err","Li_7.5 (n,n')","Li_7.5 (n,n') err","Li_60 (n,2n)","Li_60 (n,2n) err","Li_60 (n,n')","Li_60 (n,n') err","Li_90 (n,2n)","Li_90 (n,2n) err","Li_90 (n,n')","Li_90 (n,n') err"
1.008378554047848,2.6257513974801904e-07,4.268056697440085e-08,0.0,0.0,2.3870467249819905e-08,1.1753005616614657e-08,0.0,0.0,2.3870467249819905e-08,1.1753005616614657e-08,3.043484574352039e-07,3.4448831024507815e-08,5.967616812454976e-09,5.967616812454976e-09,5.3708551312094776e-08,1.7164267821279903e-08,7.16114017494597e-08,1.9490154894625215e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.025276062479409,2.875939803931755e-07,3.956617894879372e-08,0.0,0.0,1.1738529811966341e-08,8.258366449601647e-09,0.0,0.0,2.3477059623932683e-08,1.1559305091682266e-08,1.995550068034279e-07,3.359746707936443e-08,0.0,0.0,2.3477059623932683e-08,1.1559305091682266e-08,2.934632452991585e-08,1.28562088544787e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.042456724286306,2.88626696545836e-07,4.3801231880009926e-08,0.0,0.0,4.6180271447333734e-08,1.5739386648786038e-08,0.0,0.0,2.8862669654583583e-08,1.2644326508380475e-08,2.020386875820852e-07,3.110769424013033e-08,0.0,0.0,4.040773751641702e-08,1.4802647298492689e-08,5.7725339309167166e-08,1.740484467131463e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0599252843002565,2.554828727755538e-07,3.45907797119081e-08,0.0,0.0,3.406438303674048e-08,1.3550996460765827e-08,0.0,0.0,5.109657455511071e-08,1.632952796134001e-08,3.179342416762447e-07,4.2943091089133656e-08,5.67739717279008e-09,5.67739717279008e-09,5.67739717279008e-09,5.67739717279008e-09,7.380616324627105e-08,1.9189470103313695e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0776865668626372,2.5127227608376594e-07,3.8371190188249216e-08,0.0,0.0,2.7919141787085086e-08,1.2230980322141172e-08,0.0,0.0,2.2335313429668072e-08,1.0997148126194226e-08,3.182782163727702e-07,4.143358899100647e-08,0.0,0.0,4.467062685933614e-08,1.5224862174848294e-08,3.350297014450211e-08,1.551176233127432e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0957454771568336,2.4713107396355206e-07,3.3459998498413895e-08,0.0,0.0,3.2950809861806926e-08,1.5256113980187976e-08,0.0,0.0,3.295080986180692e-08,1.3108011007717904e-08,2.7459008218172447e-07,3.4469068646565545e-08,0.0,0.0,2.196720657453795e-08,1.0815904839643506e-08,4.393441314907589e-08,1.4973942206672307e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1141070025629205,2.3225553949514254e-07,3.368734525073174e-08,0.0,0.0,1.620387484849831e-08,9.26033126398446e-09,0.0,0.0,2.700645808083051e-08,1.1831146525792088e-08,2.268542478789764e-07,3.273346390808086e-08,0.0,0.0,4.861162454549492e-08,1.55353835198024e-08,3.780904131316272e-08,1.5835975028606806e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1327762140350388,2.284277509799134e-07,3.5619810785283276e-08,0.0,0.0,2.656136639301317e-08,1.1636158165592536e-08,0.0,0.0,2.1249093114410537e-08,1.0462330213645864e-08,2.3905229753711866e-07,3.236618280473327e-08,0.0,0.0,4.249818622882107e-08,1.4484440302399918e-08,5.312273278602634e-08,1.770757759534212e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1517582675018572,2.821349905109703e-07,3.669724162454288e-08,0.0,0.0,2.6123610232497234e-08,1.3642610503120206e-08,0.0,0.0,1.5674166139498344e-08,8.957608726034728e-09,2.08988881859978e-07,3.236960442306637e-08,5.224722046499447e-09,5.224722046499447e-09,5.747194251149391e-08,1.642997640230532e-08,8.882027479049061e-08,2.4691073090173598e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.171058405290497,2.9803959695401274e-07,4.0123886395945504e-08,0.0,0.0,3.597029618410496e-08,1.3177070540494748e-08,0.0,0.0,3.0831682443518534e-08,1.2265010618890505e-08,2.877623694728399e-07,3.7470226373668595e-08,0.0,0.0,4.62475236652778e-08,1.477986024328028e-08,5.6524751146450635e-08,1.7733125151221193e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
