cell,flux,tbr,tbr_stdev,"U238(n,g)","U238(n,g)_stdev","Th232(n,g)","Th232(n,g)_stdev",Pu239_kg/yr,Pu239_kg/yr_stdev,U233_kg/yr,U233_kg/yr_stdev,"Li6(n,t)","Li6(n,t)_stdev","Li7(n,t)","Li7(n,t)_stdev","Be9(n,2n)","Be9(n,2n)_stdev","Pb(n,2n)","Pb(n,2n)_stdev","tot(n,fis)","tot(n,fis)_stdev","tot(n,nufis)","tot(n,nufis)_stdev",heating [MW],heating_stdev,fisq [MW],fisq_stdev
11,3.0840097890098845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.57612233213533,0.0031824524255581583,0.0,0.0
21,6.16668623170792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.35716346000588,0.002655759106767994,0.0,0.0
12,30.779454182711042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.819038686900065,0.00224876055602941,0.0,0.0
22,6.178983683161922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.718329300816922,0.0026169401219503638,0.0,0.0
31,269.9112647489849,0.8101748901137582,8.780506587516054e-05,0.0,0.0,0.007520855981579252,1.1055704813242156e-06,0.0,0.0,32.55199171805838,0.004785162917617617,0.8084117794739762,8.764708251595334e-05,0.0017631106397820015,1.5798335920720999e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,525.5604518104785,0.03421826642635011,7.452019353055151,0.0005691060853562658
23,27.295792262229753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.02531556332737,0.0042881101783291235,0.0,0.0
32,118.79485694631461,0.42193627826692054,4.85911283792995e-05,0.0,0.0,0.004239905304041769,7.016480207162269e-07,0.0,0.0,18.351283774156006,0.0030368937545524775,0.42175604534358874,4.850778463646443e-05,0.0001802329233318295,8.334374283506417e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.6244650634043,0.017948983567056088,1.103002647240982,0.00029201911037214255
24,10.049204320399946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.808923219071656,0.003444912394619184,0.0,0.0
41,1.6450364793399173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5181701467872017,3.0223939427541842e-05,0.0007245686595087658,5.4860042949809195e-08,0.002318193332262144,1.7044432348894638e-07,1.3225549140081339,0.001199422714173959,0.0,0.0
42,13.527705722908145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04654188689023008,1.2455829156851353e-05,0.00010577466170628575,2.793815565611406e-08,0.0003011316883174724,8.080782316835337e-08,8.395388249670848,0.005787555137412748,0.0,0.0
25,7.535576223323691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003736307748732309,2.840536333459891e-06,1.1797333507317692e-05,8.659749708749118e-09,3.1643046748628414e-05,2.3848817250762273e-08,3.528898814762168,0.0014686485724250075,0.0,0.0
33,30.792789845648045,0.12401478710858958,2.8867217931735934e-05,0.0,0.0,0.0013257602397313576,5.25748209159182e-07,0.0,0.0,5.738194754635388,0.0022755589778944334,0.12399925187071822,2.8846714933157364e-05,1.553523787135322e-05,2.0502998578570617e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.77786525819834,0.008545964232322536,0.12382122953277189,9.082648622498088e-05
26,6.737880726749487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2297344271891606,0.001517155020299312,0.0,0.0
43,1.0887648764103397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8147134819588685,0.0010742354051297522,0.0,0.0
44,7.980145870978735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.022181775245392,0.004006609122611974,0.0,0.0
total,541.5681519098783,1.3561259554892682,0.00016526341218619598,0.0,0.0,0.01308652152535238,2.332966711199625e-06,0.0,0.0,56.64147024684978,0.010097615650064527,1.3541670766882832,0.00016500158208557515,0.0019588788009851843,2.6183010062084476e-07,0.0,0.0,0.5684483414261642,4.5520304917853083e-05,0.0008421406547223693,9.145794831467236e-08,0.002650968067328245,2.7510096390806206e-07,899.5811463571729,0.09420377498103573,8.678843229828907,0.0009519516819533892
