cell,flux,tbr,tbr_stdev,"U238(n,g)","U238(n,g)_stdev",Pu239_kg/yr,Pu239_kg/yr_stdev,"Li6(n,t)","Li6(n,t)_stdev","Li7(n,t)","Li7(n,t)_stdev","U238(n,fis)","U238(n,fis)_stdev",heating [MW],heating_stdev,fisq [MW],fisq_stdev
11,1.9454999433130518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.513351624862906,0.005619877849645137,0.0,0.0
21,23.739421403993312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.31674204554372,0.013348645738962486,0.0,0.0
31,61.565860614462444,0.48469970810316004,9.597988160395485e-05,0.00280778068644766,1.7640869308397408e-06,12.466265239446189,0.007832369419533266,0.47988535748422406,9.417200794316086e-05,0.004814350618935983,1.8078736607939768e-06,0.00026402221476939247,7.811017226855238e-08,274.35666679352966,0.05353155045099276,3.445976996159055,0.000884953663590506
22,0.542047370811434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7100064794234133,0.0029079365552174413,0.0,0.0
32,118.6133368969767,0.9113038393506215,0.00018569243654870097,0.005255285013138367,1.8925550467081624e-06,23.332939498759735,0.008402754996639665,0.9008259626940895,0.00018383551875434688,0.010477876656532041,1.8569177943540703e-06,0.0005655568449663527,9.193663107277856e-08,548.6304497444388,0.08601410402741025,7.226066324422357,0.0011175677021998407
23,0.07348930052753526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3722689001631415,0.0006661103947294352,0.0,0.0
total,206.4796555300845,1.3960035474537815,0.0002816723181526558,0.008063065699586027,3.6566419775479032e-06,35.79920473820592,0.016235124416172933,1.3807113201783137,0.00027800752669750775,0.015292227275468025,3.664791455148047e-06,0.0008295790597357452,1.7004680334133095e-07,1034.8994855879616,0.1620882250169575,10.672043320581412,0.0020025213657903465
