cell,flux,tbr,tbr_stdev,"Th232(n,g)","Th232(n,g)_stdev",U233_kg/yr,U233_kg/yr_stdev,"Li6(n,t)","Li6(n,t)_stdev","Li7(n,t)","Li7(n,t)_stdev","Th232(n,fis)","Th232(n,fis)_stdev",heat_eV_src,heat_eV_src_stdev
11,3.0405017797494223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,452217.7055838645,134.13195972333367
21,6.081443229146496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,585527.6158183408,122.50734526741739
12,30.357434646672502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,487964.3708528386,109.40688751711967
22,6.0950998000316226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,539307.4869939549,111.68540118379595
31,268.0652158540712,0.7668309010583195,0.00025904909535300367,0.03579610341428687,1.4980569125959836e-05,154.90304640081354,0.06482649151982793,0.7651678358052503,0.00025859160254836333,0.001663065253069284,4.5749280464034326e-07,0.0033306640822456253,7.200017296921954e-07,9665621.78405107,1669.3962844175387
23,27.3381804002375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,422003.8864032993,298.26322652304816
32,120.36713381498787,0.4104234028563137,0.00019996231773092838,0.02070907075892113,1.1372364469626114e-05,89.61584761224488,0.049212448649435,0.41024029023349085,0.0001997647635692375,0.00018311262282284265,1.9755416169088782e-07,0.0005051126284507742,4.172049666348148e-07,3060032.949023703,1314.8530933701995
24,10.96854470273017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76343.07605974017,155.09682911254112
41,1.729391400619071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26144.82120842723,71.44640068454649
42,12.455364083328767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148320.7200088765,216.6389975757095
25,7.580363115905118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66033.81143976987,87.11443495351023
33,31.110149559872674,0.11997275498593525,8.931999855420338e-05,0.006389149631511795,6.904255117384464e-06,27.648225572976912,0.029877278496865868,0.11995575630213243,8.925603365690677e-05,1.6998683802828016e-05,6.396489729661449e-08,5.864273454572545e-05,1.311456844227057e-07,753733.8723918695,486.26035893641756
26,6.8212293611886095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42275.51546823466,73.74672013340104
43,1.0972788674082816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15300.918743849805,55.31692980341931
44,7.9491719644849175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93139.32117138762,247.2252348879213
total,541.0565025804341,1.2972270589005686,0.0005483314116381355,0.06289432380471979,3.325718871297042e-05,272.1671195860353,0.1439162186661288,1.2953638823408737,0.0005476123997745076,0.0018631765596949547,7.190118636278456e-07,0.003894419445242125,1.268352380749716e-06,16433967.855219228,5153.090104089918
