cell,flux,"Li6(n,t)","Li6(n,t)_stdev","Li7(n,t)","Li7(n,t)_stdev",tbr,tbr_stdev,"Th232(n,fis)","Th232(n,fis)_stdev","Th232(n,g)","Th232(n,g)_stdev",U233_kg/yr
11,3.1080713406905285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,10.44412507806256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,20.50750815355059,0.07665198064169272,5.443503421128514e-05,0.01862819491682376,4.86789367181594e-06,0.09528017555851648,5.930292788310108e-05,0.01862819491682376,0.0002567156570930022,0.005203448958489987,6.833043009126515e-06,22.517257985670533
22,28.252382886715104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,164.00362831880722,0.9319482732330618,0.0003026163602255986,0.08349480424910259,4.090775141162921e-05,1.0154430774821643,0.00034352411163722784,0.08349480424910259,0.0011408108556648015,0.06451980390890473,2.762367108714753e-05,279.2011762566188
23,0.013249271544655333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total,226.32896504937065,1.0086002538747545,0.00035705139443688376,0.10212299916592635,4.5775645083445145e-05,1.1107232530406808,0.00040282703952032893,0.10212299916592635,0.0013975265127578037,0.06972325286739471,3.4456714096274046e-05,301.71843424228933
