energy low [eV],energy high [eV],energy mid [eV],mean,std. dev.
0.001,0.0010470399110535467,0.0010235199555267732,0.0,0.0
0.0010470399110535467,0.0010962925753390188,0.0010716662431962828,0.0,0.0
0.0010962925753390188,0.0011478620805716298,0.0011220773279553243,0.0,0.0
0.0011478620805716298,0.001201857410743458,0.0011748597456575438,0.0,0.0
0.001201857410743458,0.0012583926764438763,0.0012301250435936672,0.0,0.0
0.0012583926764438763,0.0013175873560142307,0.0012879900162290534,0.0,0.0
0.0013175873560142307,0.0013795665480464177,0.0013485769520303241,0.0,0.0
0.0013795665480464177,0.0014444612357589696,0.0014120138919026938,0.0,0.0
0.0014444612357589696,0.0015124085638093675,0.0014784348997841684,0.0,0.0
0.0015124085638093675,0.0015835521281275823,0.0015479803459684748,0.0,0.0
0.0015835521281275823,0.0016580422793833582,0.0016207972037554702,1e-08,1e-08
0.0016580422793833582,0.0017360364407285694,0.0016970393600559638,0.0,0.0
0.0017360364407285694,0.0018176994404861568,0.001776867940607363,0.0,0.0
0.0018176994404861568,0.001903203860488707,0.0018604516504874319,2e-08,1.3844373104863458e-08
0.001903203860488707,0.0019927304008028625,0.0019479671306457847,2e-08,1.3844373104863458e-08
0.0019927304008028625,0.0020864682616103273,0.0020395993312065947,1e-08,1e-08
0.0020864682616103273,0.0021846155430525253,0.002135541902331426,0.0,0.0
0.0021846155430525253,0.0022873796638839114,0.002235997603468218,1e-08,1e-08
0.0022873796638839114,0.0023949777998187017,0.0023411787318513063,0.0,0.0
0.0023949777998187017,0.0025076373424973925,0.002451307571158047,0.0,0.0
0.0025076373424973925,0.002625596380043022,0.002566616861270207,2e-08,1.3844373104863458e-08
0.002625596380043022,0.0027491042002227594,0.0026873502901328906,5e-08,2.0412414523193148e-08
0.0027491042002227594,0.0028784218172781696,0.0028137630087504643,1e-08,1e-08
0.0028784218172781696,0.0030138225235375226,0.002946122170407846,1e-08,1e-08
0.0030138225235375226,0.003155592466975903,0.0030847074952567127,1e-08,1e-08
0.003155592466975903,0.003304031255943691,0.0032298118614597967,0.0,0.0
0.003304031255943691,0.0034594525923414203,0.0033817419241425556,3.0000000000000004e-08,1.6583123951776998e-08
0.0034594525923414203,0.0036221849345791216,0.003540818763460271,2e-08,1.3844373104863458e-08
0.0036221849345791216,0.00379257219172122,0.003707378563150171,6e-08,2.179449471770337e-08
0.00379257219172122,0.003970974450283936,0.0038817733210025785,4e-08,1.8708286933869706e-08
0.003970974450283936,0.004157768735221199,0.004064371592752568,4e-08,1.8708286933869706e-08
0.004157768735221199,0.004353349806707221,0.00425555927096421,2e-08,1.3844373104863458e-08
0.004353349806707221,0.004558130994399704,0.0044557404005534625,6.000000000000001e-08,2.614064523559687e-08
0.004558130994399704,0.0047725450709466795,0.004665338032673192,1.3000000000000003e-07,3.2659863237109035e-08
0.0047725450709466795,0.004997045166583053,0.004884795118764867,8e-08,3.13581462037113e-08
0.004997045166583053,0.005232105726749675,0.005114575446666364,6.999999999999999e-08,2.2912878474779198e-08
0.005232105726749675,0.005478223514758732,0.005355164620754204,1e-07,3.535533905932738e-08
0.005478223514758732,0.00573591866162443,0.005607071088191581,1.0000000000000001e-07,2.8867513459481285e-08
0.00573591866162443,0.0060057357652776215,0.005870827213451026,8e-08,2.7838821814150107e-08
0.0060057357652776215,0.006288245041487384,0.0061469904033825025,1.2e-07,3.5707142142714254e-08
0.006288245041487384,0.006584043528921856,0.00643614428520462,1.1000000000000002e-07,2.5331140255951098e-08
0.006584043528921856,0.00689375635089502,0.006738899939908438,1.0000000000000001e-07,2.4999999999999996e-08
0.00689375635089502,0.0072180380364659435,0.007055897193680482,1.2000000000000002e-07,2.9297326385411577e-08
0.0072180380364659435,0.007557573903682418,0.007387805970074181,2.3000000000000007e-07,3.201562118716423e-08
0.007557573903682418,0.007913081507892243,0.00773532770578733,2.600000000000001e-07,3.674234614174766e-08
0.007913081507892243,0.00828531215818296,0.0080991968330376,3.6e-07,6.137317546507321e-08
0.00828531215818296,0.008675052505154754,0.008480182331668857,2.8000000000000007e-07,5.066228051190222e-08
0.008675052505154754,0.00908312620338208,0.008879089354268416,4.8e-07,7.89514618821801e-08
0.00908312620338208,0.009510395652077312,0.009296760927729696,3.5e-07,6.291528696058957e-08
0.009510395652077312,0.009957763817635065,0.00973407973485619,5.599999999999999e-07,6.5e-08
0.009957763817635065,0.010426176141908838,0.010191969979771951,6.900000000000001e-07,1.0336021155809102e-07
0.010426176141908838,0.01091662254025284,0.010671399341080839,8.499999999999999e-07,9.895285072531604e-08
0.01091662254025284,0.011430139493551475,0.011173381016902156,8.2e-07,9.738240771994367e-08
0.011430139493551475,0.011967812238657767,0.01169897586610462,8.900000000000001e-07,9.903703011163717e-08
0.011967812238657767,0.012530777061869775,0.01224929465026377,1e-06,9.8952850725316e-08
0.012530777061869775,0.01312022370029195,0.012825500381080861,1.1e-06,8.036375634160797e-08
0.01312022370029195,0.013737397856156318,0.013428810778224134,1.1300000000000002e-06,1.0115993936995677e-07
0.013737397856156318,0.014383603829417092,0.014060500842786705,1.6699999999999999e-06,1.264252084567528e-07
0.014383603829417092,0.015060207274182318,0.014721905551799705,1.7800000000000001e-06,1.3943337716151975e-07
0.015060207274182318,0.01576863808480783,0.015414422679495074,1.8200000000000004e-06,8.841191473249843e-08
0.01576863808480783,0.016510393417752758,0.016139515751280295,2.24e-06,2.048780124854786e-07
0.016510393417752758,0.017287040855582907,0.01689871713666783,2.74e-06,1.6103829772241543e-07
0.017287040855582907,0.018100221719808556,0.01769363128769573,3.079999999999999e-06,1.455735781887189e-07
0.018100221719808556,0.01895165453955782,0.018525938129683187,3.2400000000000007e-06,1.6487368902688242e-07
0.01895165453955782,0.019843138683416164,0.01939739661148699,3.649999999999999e-06,1.947220240924659e-07
0.019843138683416164,0.020776558162107252,0.020309848422761706,4.02e-06,2.466103539324064e-07
0.020776558162107252,0.021753885610051614,0.021265221886079433,4.179999999999999e-06,2.3695991222145668e-07
0.021753885610051614,0.02277718645421747,0.02226553603213454,5.28e-06,2.3906066175763845e-07
0.02277718645421747,0.023848623279073906,0.023312904866645688,5.599999999999998e-06,2.0000000000000293e-07
0.023848623279073906,0.02497046039687107,0.02440954183797249,6.999999999999999e-06,2.861380785564911e-07
0.02497046039687107,0.026145068632905992,0.02555776451488853,7.869999999999997e-06,2.3897349922812573e-07
0.026145068632905992,0.02737493033588676,0.026759999484396377,8.789999999999999e-06,3.5756118357562335e-07
0.02737493033588676,0.02866264462398391,0.028018787479935338,9.45e-06,2.684833948931181e-07
0.02866264462398391,0.03001093287765553,0.02933678875081972,1.1149999999999997e-05,3.6713984619851674e-07
0.03001093287765553,0.031422644490854405,0.030716788684254967,1.162e-05,4.0802369212256574e-07
0.031422644490854405,0.03290076289277141,0.03216170369181291,1.333e-05,3.111537669170454e-07
0.03290076289277141,0.034448411852841206,0.033674587372806306,1.4290000000000002e-05,3.0675723300355457e-07
0.034448411852841206,0.0360688620823348,0.035258636967588006,1.687e-05,3.857136243380603e-07
0.0360688620823348,0.03776553814649047,0.03691720011441263,1.869e-05,5.509990925582354e-07
0.03776553814649047,0.039542025701790676,0.03865378192414057,1.986e-05,4.394788580428707e-07
0.039542025701790676,0.041402079073679966,0.040472052387735324,2.1550000000000002e-05,5.027010377285169e-07
0.041402079073679966,0.04334962919073777,0.04237585413220887,2.3939999999999998e-05,4.590025417504048e-07
0.04334962919073777,0.04538879189207431,0.04436921054140604,2.7790000000000007e-05,5.569036421739874e-07
0.04538879189207431,0.04752387662550542,0.046456334258789866,2.9889999999999993e-05,5.206326279953555e-07
