cell,flux,tbr,tbr_stdev,"Th232(n,g)","Th232(n,g)_stdev",U233_kg/yr,U233_kg/yr_stdev,"Li6(n,t)","Li6(n,t)_stdev","Li7(n,t)","Li7(n,t)_stdev","Th232(n,fis)","Th232(n,fis)_stdev",heating [MW],heating_stdev,fisq [MW],fisq_stdev
11,2.9446779884645666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.10766467658349,0.29456466802044534,0.0,0.0
21,5.8439021035047976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.498144329091836,0.2822602644439453,0.0,0.0
12,29.010019907944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.246991507677247,0.26218448710399755,0.0,0.0
22,5.862951646594787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.63807675654242,0.2899926780537381,0.0,0.0
31,261.65606765040013,0.6357009664368264,0.00775701762597317,0.12061396199927754,0.0018948929463171544,522.0449243675386,8.201531799864485,0.634315505102618,0.007740711505144527,0.001385461334208305,1.6306120828643196e-05,0.010319779520727618,9.943258147925242e-05,612.1761226979838,4.967357959087167,105.79526258549849,1.0191222434292324
23,27.312157529916806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.02280325843712,0.5487065414674528,0.0,0.0
32,120.16052785392371,0.34529707627762124,0.005607994839024119,0.07010802250372483,0.0013205381127470368,303.4436204469757,5.715592189879379,0.3451139837962197,0.005602677573001419,0.00018309248140153735,5.3172660227002655e-06,0.0017154016778384582,3.237731944025975e-05,186.1688620119681,2.4881340996587897,17.78362332256289,0.33303035065886594
24,10.088501397506578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.646080721988003,0.25234841141613573,0.0,0.0
41,1.6756291776698766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6485261290235391,0.1154788238889179,0.0,0.0
42,13.646795175190823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.560778772619459,0.6141491067878551,0.0,0.0
25,7.544407200755196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.498064145806251,0.19521392250857514,0.0,0.0
33,32.287103666616574,0.10545958479636336,0.0025751109337920786,0.022252916665691926,0.0005800105709671636,96.3157333125983,2.5104189401782477,0.10544166201316338,0.0025734276925225624,1.7922783199976775e-05,1.683241269516273e-06,0.0002266519590812328,1.164740298529297e-05,45.58419143759095,0.9414761896639687,2.373045494037756,0.12184397581593537
26,7.031548380270462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5981726827258123,0.15502642441812375,0.0,0.0
43,1.1435601803371356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9300768229883328,0.09183498621481795,0.0,0.0
44,8.295050409666207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.095057029296037,0.5037591074820866,0.0,0.0
total,534.5029002687617,1.0864576275108109,0.01594012339878937,0.2129749011686943,0.003795441630031355,921.8042781271124,16.42754292992211,1.084871150912001,0.01591681677066851,0.001586476598809819,2.330662812085973e-05,0.012261833157647308,0.00014345730390480515,1018.4196129803223,12.002487670216016,125.95193140209913,1.4739965699040336
