MTU,"Li-6(n,t)","Li-7(n,Xt)","U-238(n,gamma)","U-238(n,fis)"
0.0096,1.3677391390346136,0.0013370240498231992,7.061148812217807e-06,1.9395054661162065e-06
0.1,1.4206677845852664,0.0013985502104392575,7.828877125014699e-05,2.190836372595236e-05
0.5,1.3439642372010514,0.0013026953373675132,0.00036217486035166,0.00010184893947260616
2.65,1.35048855718932,0.0012562858756104962,0.0019305353574455102,0.000518655752486532
5.0,1.4038366409092264,0.0013337422274431352,0.0038492016517533163,0.0010681130490063338
10.0,1.2658997558594147,0.0012536880664329741,0.006856706352559066,0.001982248076729029
20.0,1.3731703181434938,0.0013191330615921083,0.01505339652306365,0.004148218210212748
30.0,1.3838972678334225,0.0012884498698864165,0.023207218343023236,0.006222995853050345
40.0,1.2916644956532786,0.0012594729522452947,0.028801838321792138,0.008022611447052866
50.0,1.4802008197112169,0.001313271597197883,0.042227792653906616,0.011000027410663969
