MTU,"Li-6(n,t)","Li-7(n,Xt)","U-238(n,gamma)","U-238(n,fis)"
0.0,1.0699607580547754,0.17873061320080932,0.0,0.0
0.0096,1.0700747863927096,0.17877985212197361,2.0826364997643224e-05,2.53000935410202e-06
0.1,1.0696647095124403,0.1786868369322756,0.00021637182540499577,2.6340690857842744e-05
0.2,1.0695061219832749,0.17864366982708008,0.0004313814523500202,5.267310529489536e-05
0.5,1.0695935896675879,0.17865611584442817,0.0010696990236747578,0.00013172461167276203
1.0,1.0686252777889105,0.1785834241017018,0.002108445909085741,0.00026342484928505315
2.5,1.0671468118529908,0.17837594193103248,0.005075213990384351,0.0006584508286623756
5.0,1.0646845995904242,0.1779813235847409,0.009635730685478489,0.0013163351324249808
10.0,1.0609987652761568,0.17730856649774174,0.017856614329631267,0.002631454925006288
15.0,1.0584380585546935,0.17658521521566276,0.025331228333717544,0.003944962964874612
20.0,1.0558117121566335,0.17585557176339844,0.032302002828188466,0.005256526080205373
25.0,1.0540628434512997,0.17517140180285592,0.03897293450023702,0.006566934679512161
30.0,1.052071936474496,0.17442266081157956,0.045370134749782215,0.007874635535691349
35.0,1.0506840132440372,0.17369640778811102,0.05155794156748489,0.009181142269498701
40.0,1.0492483311187037,0.17300463425724866,0.05759852665806888,0.010487363364287189
45.0,1.04771398010785,0.17229331194876663,0.0634854360580998,0.011790425026958921
50.0,1.0465455953909466,0.17160780822749877,0.0692967825506243,0.0130940175993444
