MTU,"Li-6(n,t)","Li-7(n,Xt)","U-238(n,gamma)","U-238(n,fis)"
0.0,1.0359573887411095,0.105849119678747,0.0,0.0
0.0096,1.0359854831875943,0.10586883478970947,3.2556614671181885e-05,1.5207973581054133e-06
0.1,1.0354986112882667,0.10580940629836091,0.0003377992050954644,1.583352623308011e-05
0.2,1.0353075810655383,0.10577715283236529,0.0006724122363389542,3.165992710566395e-05
0.5,1.034367077701726,0.10580636071282844,0.0016591222875205725,7.918778389929124e-05
1.0,1.0333166136865157,0.10574938683996575,0.003255944331415964,0.00015835035189060783
2.5,1.0295993751144707,0.10565316528757965,0.007713324120239816,0.0003959085122542156
5.0,1.0241466005690667,0.1054001658056647,0.01434660465740703,0.0007913214496203027
10.0,1.0156670634309326,0.10501550804384822,0.025776070352741848,0.0015822055543927467
15.0,1.0085624576200698,0.10458057864017667,0.03574123537876903,0.0023719292835462985
20.0,1.0022275169977237,0.10415520192351642,0.04477711838243544,0.0031611761127468183
25.0,0.9965410782263296,0.10377276484594654,0.05319933750908372,0.003950156328312068
30.0,0.9912895896718523,0.10332388630962475,0.061136657672398106,0.004736790297357054
35.0,0.9865643727716781,0.10291301300649291,0.06872008973510488,0.0055238914800695245
40.0,0.982244410134874,0.10251279535755693,0.07602634779988013,0.0063104762190415815
45.0,0.9777689341705426,0.10207222631509981,0.08301933616296263,0.007094838314244678
50.0,0.9735846700850258,0.10167443340623653,0.08983048112124467,0.007879581659547183
