label,color,marker,tbr_0,loading_10pct_kgm3,tbr_at_10pct_drop
FLiBe-UF$_4$ (Li7.5),#66b420,o,1.1943187793999268,234.70625586616273,1.0748869014599343
FLiBe-ThF$_4$ (Li7.5),#66b420,+,1.1943187793999426,168.7015127619938,1.0748869014599483
DCLL-UO$_2$,#0047ba,^,1.3876039738239208,593.8446991757007,1.2488435764415287
DCLL-ThO$_2$,#0047ba,x,1.3875903413571071,397.21012390636747,1.2488313072213963
HCPB-UO$_2$,#b41f24,s,1.404830407617979,964.70383082108,1.264347366856181
HCPB-ThO$_2$,#b41f24,1,1.4048729783819094,547.8491264211012,1.2643856805437186
