MT_fertile,"Li-6(n,t)","Li-7(n,Xt)","U-238(n,gamma)","U-238(n,fis)",kg/m3_fertile
0.0096,1.3551524136854902,0.0013050171689730685,6.1559473222967505e-06,1.70442161055303e-06,0.028070175438596492
0.1,1.3547024881258227,0.0013047917391113555,6.410796639568169e-05,1.7750205414804806e-05,0.29239766081871343
0.5,1.3541728588357538,0.0013041293679919572,0.0003205211516225479,8.870313907530644e-05,1.4619883040935673
2.65,1.3536589764986722,0.0013027777573107373,0.001701463466662374,0.0004697767116773693,7.748538011695906
5.0,1.3525438686177385,0.0013006693909483908,0.0032147317719678882,0.0008850315453064468,14.619883040935672
10.0,1.3499915911375853,0.0012963651666313295,0.006446600129153037,0.0017650265473360184,29.239766081871345
20.0,1.3449777779342234,0.0012876405667946959,0.012963592647649704,0.0035089671817235095,58.47953216374269
30.0,1.3397420619084683,0.0012785870104831227,0.019546661022207697,0.00523268721582265,87.71929824561404
40.0,1.3343924158951157,0.0012699276146466716,0.026195162226103755,0.0069396809331682,116.95906432748538
50.0,1.3288815520509134,0.0012611007326447025,0.03290708284376438,0.008625496954408663,146.19883040935673
132.9,1.2815398688186588,0.0011879968898258876,0.09085806831853979,0.02197647969258776,388.5964912280702
265.8,1.1957787716034816,0.0010701785176545444,0.19052401347864897,0.041505206628754676,777.1929824561404
531.5,1.003051574838209,0.00083424048546694,0.4063053848591219,0.07599975765565344,1554.093567251462
