MTU,"Li-6(n,t)","Li-7(n,Xt)","U-238(n,gamma)","U-238(n,fis)"
0.0,1.0711378196065051,0.16094294744955276,0.0,0.0
0.0096,1.071442536169596,0.16098729209063675,8.559322500845465e-06,2.5091205545256077e-06
0.1,1.0709290771695783,0.16090537659170182,8.904662863190174e-05,2.6123156876481044e-05
0.2,1.0709078035007524,0.1608637857648677,0.00017792660092194243,5.223765246475381e-05
0.5,1.0713288322984227,0.1608819659307163,0.0004435151242430548,0.0001306410273326813
1.0,1.0712125423492098,0.1608115156593999,0.0008828704873453584,0.0002612536931895074
2.5,1.0712824489263781,0.160626828819059,0.0021780502933342965,0.0006530233750860695
5.0,1.071307115933565,0.16027616393912608,0.00427438183259859,0.001305493655541789
10.0,1.0716240674203283,0.15967223579615297,0.008302736255501812,0.0026097705829078973
15.0,1.072610818003412,0.15902118123863765,0.012190135576161958,0.003912368962968342
20.0,1.0732796059067153,0.15837136033594376,0.015974158415494034,0.0052131685391542445
25.0,1.0740285891315187,0.157756226068798,0.019690849880948633,0.006512667359517984
30.0,1.0748037249234608,0.15708730004315266,0.02335260891969156,0.007809410075756534
35.0,1.0757811397238157,0.1564369735354009,0.026962342102366782,0.009105226235195859
40.0,1.0767556579668955,0.15581965826233848,0.03054492982819086,0.010400852045978258
45.0,1.0774487474695602,0.1551776435103515,0.03410291320001173,0.011692570492889583
50.0,1.0783470337567491,0.1545582660909002,0.037639384996496245,0.0129850681746601
