energy mid [eV],cell,mean,std. dev.,fertile_MT
1.3333300133552054e-05,9,0.0,0.0,10.0
1.3333300133552054e-05,10,0.0,0.0,15.0
1.3333300133552054e-05,11,0.0,0.0,20.0
1.3333300133552054e-05,12,0.0,0.0,25.0
1.3333300133552054e-05,13,0.0,0.0,30.0
1.3333300133552054e-05,14,0.0,0.0,35.0
1.3333300133552054e-05,15,0.0,0.0,40.0
1.3333300133552054e-05,16,0.0,0.0,45.0
1.3333300133552054e-05,17,0.0,0.0,50.0
1.3643643670342908e-05,1,0.0,0.0,0.0
1.3643643670342908e-05,2,0.0,0.0,0.0096
1.3643643670342908e-05,3,0.0,0.0,0.1
1.3643643670342908e-05,4,0.0,0.0,0.2
1.3643643670342908e-05,5,0.0,0.0,0.5
1.3643643670342908e-05,6,0.0,0.0,1.0
1.3643643670342908e-05,7,0.0,0.0,2.5
1.3643643670342908e-05,8,0.0,0.0,5.0
1.3643643670342908e-05,9,0.0,0.0,10.0
1.3643643670342908e-05,10,0.0,0.0,15.0
1.3643643670342908e-05,11,0.0,0.0,20.0
1.3643643670342908e-05,12,0.0,0.0,25.0
1.3643643670342908e-05,13,0.0,0.0,30.0
1.3643643670342908e-05,14,0.0,0.0,35.0
1.3643643670342908e-05,15,0.0,0.0,40.0
1.3643643670342908e-05,16,0.0,0.0,45.0
1.3643643670342908e-05,17,0.0,0.0,50.0
1.3961210708432253e-05,1,0.0,0.0,0.0
1.3961210708432253e-05,2,0.0,0.0,0.0096
1.3961210708432253e-05,3,0.0,0.0,0.1
1.3961210708432253e-05,4,0.0,0.0,0.2
1.3961210708432253e-05,5,0.0,0.0,0.5
1.3961210708432253e-05,6,0.0,0.0,1.0
1.3961210708432253e-05,7,0.0,0.0,2.5
1.3961210708432253e-05,8,0.0,0.0,5.0
1.3961210708432253e-05,9,0.0,0.0,10.0
1.3961210708432253e-05,10,0.0,0.0,15.0
1.3961210708432253e-05,11,0.0,0.0,20.0
1.3961210708432253e-05,12,0.0,0.0,25.0
1.3961210708432253e-05,13,0.0,0.0,30.0
1.3961210708432253e-05,14,0.0,0.0,35.0
1.3961210708432253e-05,15,0.0,0.0,40.0
1.3961210708432253e-05,16,0.0,0.0,45.0
1.3961210708432253e-05,17,0.0,0.0,50.0
1.428616938075931e-05,1,0.0,0.0,0.0
1.428616938075931e-05,2,0.0,0.0,0.0096
1.428616938075931e-05,3,0.0,0.0,0.1
1.428616938075931e-05,4,0.0,0.0,0.2
1.428616938075931e-05,5,0.0,0.0,0.5
1.428616938075931e-05,6,0.0,0.0,1.0
1.428616938075931e-05,7,0.0,0.0,2.5
1.428616938075931e-05,8,0.0,0.0,5.0
1.428616938075931e-05,9,0.0,0.0,10.0
1.428616938075931e-05,10,0.0,0.0,15.0
1.428616938075931e-05,11,0.0,0.0,20.0
1.428616938075931e-05,12,0.0,0.0,25.0
1.428616938075931e-05,13,0.0,0.0,30.0
1.428616938075931e-05,14,0.0,0.0,35.0
1.428616938075931e-05,15,0.0,0.0,40.0
1.428616938075931e-05,16,0.0,0.0,45.0
1.428616938075931e-05,17,0.0,0.0,50.0
1.461869173369587e-05,1,0.0,0.0,0.0
1.461869173369587e-05,2,0.0,0.0,0.0096
1.461869173369587e-05,3,0.0,0.0,0.1
1.461869173369587e-05,4,0.0,0.0,0.2
1.461869173369587e-05,5,0.0,0.0,0.5
1.461869173369587e-05,6,0.0,0.0,1.0
1.461869173369587e-05,7,0.0,0.0,2.5
1.461869173369587e-05,8,0.0,0.0,5.0
1.461869173369587e-05,9,0.0,0.0,10.0
1.461869173369587e-05,10,0.0,0.0,15.0
1.461869173369587e-05,11,0.0,0.0,20.0
1.461869173369587e-05,12,0.0,0.0,25.0
1.461869173369587e-05,13,0.0,0.0,30.0
1.461869173369587e-05,14,0.0,0.0,35.0
1.461869173369587e-05,15,0.0,0.0,40.0
1.461869173369587e-05,16,0.0,0.0,45.0
1.461869173369587e-05,17,0.0,0.0,50.0
1.495895381813466e-05,1,0.0,0.0,0.0
1.495895381813466e-05,2,0.0,0.0,0.0096
1.495895381813466e-05,3,0.0,0.0,0.1
1.495895381813466e-05,4,0.0,0.0,0.2
1.495895381813466e-05,5,0.0,0.0,0.5
1.495895381813466e-05,6,0.0,0.0,1.0
1.495895381813466e-05,7,0.0,0.0,2.5
1.495895381813466e-05,8,0.0,0.0,5.0
1.495895381813466e-05,9,0.0,0.0,10.0
1.495895381813466e-05,10,0.0,0.0,15.0
1.495895381813466e-05,11,0.0,0.0,20.0
1.495895381813466e-05,12,0.0,0.0,25.0
1.495895381813466e-05,13,0.0,0.0,30.0
1.495895381813466e-05,14,0.0,0.0,35.0
1.495895381813466e-05,15,0.0,0.0,40.0
1.495895381813466e-05,16,0.0,0.0,45.0
1.495895381813466e-05,17,0.0,0.0,50.0
1.5307135782697864e-05,1,0.0,0.0,0.0
1.5307135782697864e-05,2,0.0,0.0,0.0096
1.5307135782697864e-05,3,0.0,0.0,0.1
1.5307135782697864e-05,4,0.0,0.0,0.2
1.5307135782697864e-05,5,0.0,0.0,0.5
1.5307135782697864e-05,6,0.0,0.0,1.0
1.5307135782697864e-05,7,0.0,0.0,2.5
1.5307135782697864e-05,8,0.0,0.0,5.0
1.5307135782697864e-05,9,0.0,0.0,10.0
1.5307135782697864e-05,10,0.0,0.0,15.0
1.5307135782697864e-05,11,0.0,0.0,20.0
1.5307135782697864e-05,12,0.0,0.0,25.0
1.5307135782697864e-05,13,0.0,0.0,30.0
1.5307135782697864e-05,14,0.0,0.0,35.0
1.5307135782697864e-05,15,0.0,0.0,40.0
1.5307135782697864e-05,16,0.0,0.0,45.0
1.5307135782697864e-05,17,0.0,0.0,50.0
1.566342196911515e-05,1,0.0,0.0,0.0
1.566342196911515e-05,2,0.0,0.0,0.0096
1.566342196911515e-05,3,0.0,0.0,0.1
1.566342196911515e-05,4,0.0,0.0,0.2
1.566342196911515e-05,5,0.0,0.0,0.5
1.566342196911515e-05,6,0.0,0.0,1.0
1.566342196911515e-05,7,0.0,0.0,2.5
1.566342196911515e-05,8,0.0,0.0,5.0
1.566342196911515e-05,9,0.0,0.0,10.0
1.566342196911515e-05,10,0.0,0.0,15.0
1.566342196911515e-05,11,0.0,0.0,20.0
1.566342196911515e-05,12,0.0,0.0,25.0
1.566342196911515e-05,13,0.0,0.0,30.0
1.566342196911515e-05,14,0.0,0.0,35.0
1.566342196911515e-05,15,0.0,0.0,40.0
1.566342196911515e-05,16,0.0,0.0,45.0
1.566342196911515e-05,17,0.0,0.0,50.0
1.6028001009821688e-05,1,0.0,0.0,0.0
1.6028001009821688e-05,2,0.0,0.0,0.0096
1.6028001009821688e-05,3,0.0,0.0,0.1
1.6028001009821688e-05,4,0.0,0.0,0.2
1.6028001009821688e-05,5,0.0,0.0,0.5
1.6028001009821688e-05,6,0.0,0.0,1.0
1.6028001009821688e-05,7,0.0,0.0,2.5
1.6028001009821688e-05,8,0.0,0.0,5.0
1.6028001009821688e-05,9,0.0,0.0,10.0
1.6028001009821688e-05,10,0.0,0.0,15.0
1.6028001009821688e-05,11,0.0,0.0,20.0
1.6028001009821688e-05,12,0.0,0.0,25.0
1.6028001009821688e-05,13,0.0,0.0,30.0
1.6028001009821688e-05,14,0.0,0.0,35.0
1.6028001009821688e-05,15,0.0,0.0,40.0
1.6028001009821688e-05,16,0.0,0.0,45.0
1.6028001009821688e-05,17,0.0,0.0,50.0
1.6401065927827875e-05,1,0.0,0.0,0.0
1.6401065927827875e-05,2,0.0,0.0,0.0096
1.6401065927827875e-05,3,0.0,0.0,0.1
1.6401065927827875e-05,4,0.0,0.0,0.2
1.6401065927827875e-05,5,0.0,0.0,0.5
1.6401065927827875e-05,6,0.0,0.0,1.0
1.6401065927827875e-05,7,0.0,0.0,2.5
1.6401065927827875e-05,8,0.0,0.0,5.0
1.6401065927827875e-05,9,0.0,0.0,10.0
1.6401065927827875e-05,10,0.0,0.0,15.0
1.6401065927827875e-05,11,0.0,0.0,20.0
1.6401065927827875e-05,12,0.0,0.0,25.0
1.6401065927827875e-05,13,0.0,0.0,30.0
1.6401065927827875e-05,14,0.0,0.0,35.0
1.6401065927827875e-05,15,0.0,0.0,40.0
1.6401065927827875e-05,16,0.0,0.0,45.0
1.6401065927827875e-05,17,0.0,0.0,50.0
1.6782814238913567e-05,1,0.0,0.0,0.0
1.6782814238913567e-05,2,0.0,0.0,0.0096
1.6782814238913567e-05,3,0.0,0.0,0.1
1.6782814238913567e-05,4,0.0,0.0,0.2
1.6782814238913567e-05,5,0.0,0.0,0.5
1.6782814238913567e-05,6,0.0,0.0,1.0
