MTU,"Li-6(n,t)","Li-7(n,Xt)","U-238(n,gamma)","U-238(n,fis)"
0.0,1.0694878027090706,0.18479845191739702,0.0,0.0
0.0096,1.0695314290608569,0.1848539770410837,3.3454927770595364e-05,2.5372270264579937e-06
0.1,1.0689020598241101,0.1847599205778468,0.0003472762781124514,2.6416230633903962e-05
0.2,1.0688438427221114,0.18471411373291088,0.0006913509207492273,5.2822998274595966e-05
0.5,1.0683879164395544,0.18472848977093032,0.0017079708557003863,0.00013210023895985818
1.0,1.0669861756208596,0.18464844712842432,0.0033469391527161585,0.0002641792455938004
2.5,1.063744502155119,0.18443781522701932,0.007936392652822935,0.0006603321513235965
5.0,1.0590868807962694,0.1840256090493932,0.014769891253852772,0.001320103540519861
10.0,1.0519276889104654,0.1833355354827914,0.02659654431220932,0.002639099712535396
15.0,1.0463223595878794,0.18258268432265104,0.03694594094807025,0.003956391552841762
20.0,1.0414880834109836,0.18182467748932746,0.0463657021551253,0.005271790475669747
25.0,1.0375221259267013,0.1811197203368089,0.05519521640760853,0.006586184427201752
30.0,1.0336217727326065,0.18034248601981648,0.06351815947484318,0.007897669134639945
35.0,1.0305555869190515,0.17959216089779811,0.07152042326121556,0.009208195212377993
40.0,1.0275035909439396,0.17887399168476698,0.07924504863138417,0.010518410771449332
45.0,1.0247132187362233,0.17813647016976913,0.08669214288678183,0.011825373483683267
50.0,1.0218647898472366,0.17742223866245302,0.09399316103104714,0.013132685922766299
