MTU,"Li-6(n,t)","Li-7(n,Xt)","U-238(n,gamma)","U-238(n,fis)"
0.0,1.0707818652295051,0.166801353568015,0.0,0.0
0.0096,1.0711823783437666,0.1668478779198306,1.0820640871211225e-05,2.5159561776467155e-06
0.1,1.0705093120199227,0.1667627723346263,0.0001124370528348599,2.6194493770320696e-05
0.2,1.0705316613827225,0.16672032164767375,0.00022461430544948454,5.238031664585229e-05
0.5,1.0707923582449033,0.1667367298446432,0.0005592230148578881,0.00013099575128054324
1.0,1.0704811251056343,0.16666583792636622,0.0011104894386297188,0.0002619648949834027
2.5,1.0703008469681798,0.1664729922159312,0.0027252769206173493,0.0006548028556189514
5.0,1.0699120097837937,0.1661082048388335,0.005309089938551537,0.001309052148654937
10.0,1.0694416954654826,0.16548180602517132,0.01020061991541473,0.0026168627278061016
15.0,1.0696295950611117,0.16480629307731384,0.014855669108401462,0.003923007235530363
20.0,1.0697332774092159,0.1641300572824338,0.01934425582380808,0.005227310027420658
25.0,1.0697485121759227,0.16349178785821897,0.02371888953583706,0.006530236577164071
30.0,1.0699247665758584,0.16279656477907586,0.02800769769765479,0.007830609990172247
35.0,1.0703668495932435,0.16212021076916738,0.03221472729350264,0.009129929990462325
40.0,1.070813835072705,0.16147890566169973,0.03636620578038404,0.010428880101548507
45.0,1.070931235407646,0.16081367654416998,0.04048008157708762,0.011724133438174699
50.0,1.0713860919122737,0.16017176578195438,0.04455629650564242,0.013020324306556216
