MTU,"Li-6(n,t)","Li-7(n,Xt)","U-238(n,gamma)","U-238(n,fis)"
0.0,0.9939752119571152,0.10491436426926257,0.0,0.0
0.0096,1.0556854717103563,0.10993663897424195,3.44448487577844e-05,1.6090505340743884e-06
0.1,1.0588565047401488,0.10702556726574139,0.0005154676437918631,1.5759159194336766e-05
0.2,1.0548065010603538,0.10856075274710171,0.0007341955770653434,3.2223420536985524e-05
0.5,1.0410458471109536,0.10993363160709294,0.0015093306142921798,7.989195946879314e-05
1.0,1.0470576642849385,0.09384489205636645,0.0032649092027710537,0.00014070537902019438
2.5,1.0645530028195458,0.10857968730330479,0.009856835865302083,0.00040815754883814125
5.0,1.0226946748006827,0.10675841825585453,0.014707483569724287,0.0007905933527799951
10.0,1.0099945432696023,0.10517103931086046,0.022201312107922307,0.0015789971601245338
15.0,0.996626882421054,0.10245614355982102,0.03149557123126152,0.0023609913145832342
20.0,1.0918509158494558,0.11157647662931222,0.04794939622513113,0.003377909413588949
25.0,1.0395484026340913,0.09613377172127789,0.04335642278799836,0.003722578757634089
30.0,1.038040171922119,0.10659467557659916,0.05743122823492476,0.004879071273133079
35.0,0.9070398691767383,0.11213202248411919,0.06012071207253974,0.005771556542598323
40.0,0.9537843326415274,0.09711503345033624,0.06339458107437165,0.00609038205104554
45.0,0.9205342208292585,0.09960747674799447,0.0692626706161268,0.006992605935620738
50.0,1.0005867743332375,0.1113460074625798,0.0832097126592476,0.008682573625729075
