MTU,"Li-6(n,t)","Li-7(n,Xt)","U-238(n,gamma)","U-238(n,fis)"
0.0,1.0370388120061902,0.10618565106386285,0.0,0.0
0.0096,1.036293866707073,0.1060260751843779,3.258504348722127e-05,1.5243263114389285e-06
0.1,1.0352398902043078,0.10605593783723341,0.00033775088657710285,1.5885517314614747e-05
0.2,1.0355040721052904,0.10607121627242558,0.0006729108315673391,3.1779283120359576e-05
0.5,1.0344019467552645,0.1060538238585929,0.0016581818248769798,7.94251432966574e-05
1.0,1.0335901566662813,0.10605751029788435,0.003254103438318827,0.00015893986008394797
2.5,1.0296742524522562,0.10591834392575074,0.007713767283575969,0.0003972433024771824
5.0,1.0250737905170126,0.10570870466440775,0.01436132478629166,0.0007944594284855655
10.0,1.0154246476401314,0.10531702927282048,0.02574990986439065,0.0015877376613788955
15.0,1.0082215047177647,0.10496548586140486,0.03575673260600655,0.002381427804350226
20.0,1.0024129087798728,0.10439890924553481,0.04480908175612469,0.0031708215161551393
25.0,0.9965039554915763,0.10415102199068975,0.053228635350966974,0.003966295602242904
30.0,0.9906206052759423,0.10348042866870744,0.061087069424771885,0.004747706506818143
35.0,0.9869640395957079,0.10320901243639644,0.06873000397026038,0.005543169371887341
40.0,0.982492192137901,0.10283051807119563,0.07602166942056424,0.006336156167196769
45.0,0.977183016007572,0.10235292189983503,0.08294994637950664,0.007119858125755529
50.0,0.9745893413321242,0.10190468565838363,0.0898656934592694,0.007902149676910783
