MTU,"Li-6(n,t)","Li-7(n,Xt)","U-238(n,gamma)","U-238(n,fis)"
0.0096,1.3557877222780688,0.0013084339219933557,7.088036723641147e-06,1.9694429269800063e-06
0.1,1.3558631068542193,0.00130578243160248,7.382084087977424e-05,2.050144750652767e-05
0.5,1.3547709517354414,0.0013047834230954902,0.0003688016471683168,0.00010238256137261325
2.65,1.354910629023395,0.0013074069592606762,0.0007377848795003363,0.00020519913794322502
5.0,1.3567089356679025,0.0013044363075498343,0.0037153553801185413,0.0010274272100079412
10.0,1.359545297491931,0.0012984276605010163,0.007479697670938991,0.0020518214958151057
20.0,1.3649231710071745,0.0012908498656749984,0.015182523288241906,0.004113792790228417
30.0,1.366622359102743,0.0012812303015995417,0.02304828979392066,0.0061848999247829045
40.0,1.372286686126881,0.0012750318125196458,0.031160438202187977,0.008275357024122652
50.0,1.372807492500186,0.0012653847903716692,0.039385799872646544,0.0103558462402415
