fertile_kg/m3,energy low [eV],energy high [eV],energy mid [eV],"U235(n,g)","U235(n,g)_sd","U238(n,g)","U238(n,g)_sd","Th232(n,g)","Th232(n,g)_sd","U235(n,fis)","U235(n,fis)_sd","U238(n,fis)","U238(n,fis)_sd","Th232(n,fis)","Th232(n,fis)_sd","U235(n,nufis)","U235(n,nufis)_sd","U238(n,nufis)","U238(n,nufis)_sd","Th232(n,nufis)","Th232(n,nufis)_sd","Li6(n,t)","Li6(n,t)_sd","Li7(n,t)","Li7(n,t)_sd","Be9(n,2n)","Be9(n,2n)_sd","Pb(n,2n)","Pb(n,2n)_sd","U235(n,2n)","U235(n,2n)_sd","U238(n,2n)","U238(n,2n)_sd","Th232(n,2n)","Th232(n,2n)_sd","U235(n,inel)","U235(n,inel)_sd","U238(n,inel)","U238(n,inel)_sd","Th232(n,inel)","Th232(n,inel)_sd","U235(n,el)","U235(n,el)_sd","U238(n,el)","U238(n,el)_sd","Th232(n,el)","Th232(n,el)_sd","Li6(n,el)","Li6(n,el)_sd","Li7(n,el)","Li7(n,el)_sd","Be9(n,el)","Be9(n,el)_sd","Pb(n,el)","Pb(n,el)_sd"
100,3.1157770529249142,3.2623429283571834,3.1890599906410486,4.379678700548386e-11,6.901676789862628e-12,2.327564213942937e-10,3.558171828290187e-11,0.0,0.0,1.2954637783133461e-10,2.0659462308453007e-11,1.0224840290728942e-15,1.566251669592397e-16,0.0,0.0,3.1719310666917437e-10,5.0583947181881215e-11,2.4979694357305388e-15,3.826415560403165e-16,0.0,0.0,7.229002463675534e-07,1.1087047417815148e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6506202983390844e-11,5.586978923353245e-12,3.732194592536147e-09,5.718888899330411e-10,0.0,0.0,6.209019768192731e-09,9.511680226519495e-10,9.482747908707576e-10,1.4526488368691565e-10,0.0,0.0,5.254543675205427e-07,5.006289308328716e-08
100,3.2623429283571834,3.415803249533272,3.339073088945228,2.5347230494042486e-11,3.791923467341489e-12,2.700976505498948e-10,4.121474700948533e-11,0.0,0.0,7.176728962481017e-11,1.0763226523075416e-11,1.1370051087098243e-15,1.7313836235185558e-16,0.0,0.0,1.7575152481026732e-10,2.6358314037761638e-11,2.7777490228908814e-15,4.229839542373577e-16,0.0,0.0,7.836428449086191e-07,1.1918780480269854e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0100441518624264e-11,6.098083116759898e-12,4.11730150869836e-09,6.266961566418734e-10,0.0,0.0,6.886828898240048e-09,1.048516823560142e-09,1.0521706772480675e-09,1.6019519197719633e-10,0.0,0.0,5.828684200855494e-07,5.5192245281452866e-08
100,3.415803249533272,3.5764823305677327,3.496142790050502,7.63049484558774e-11,1.1398906799462077e-11,3.1169757046559236e-10,4.581603939488313e-11,0.0,0.0,1.537052182221439e-10,2.238908349100926e-11,1.2519527880784982e-15,1.8441024528395731e-16,0.0,0.0,3.7648275319808004e-10,5.4839703988719704e-11,3.0585708109450654e-15,4.505216161579005e-16,0.0,0.0,8.391939591642571e-07,1.237725119036255e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2811093210848735e-11,6.313127939186788e-12,4.482449462211737e-09,6.606386357992481e-10,0.0,0.0,7.542884441834249e-09,1.1113810006761367e-09,1.1528277005777889e-09,1.698567072989233e-10,0.0,0.0,6.384479925665404e-07,5.8505941927741475e-08
100,3.5764823305677327,3.74471974128222,3.6606010359249765,1.6146246756596317e-10,1.636031236521184e-11,3.536821065452854e-10,3.4881793418366965e-11,0.0,0.0,2.1248032566349152e-10,2.2179837059116832e-11,1.3452072148488205e-15,1.3223084860007718e-16,0.0,0.0,5.202066481698064e-10,5.431122431864456e-11,3.2863951147218374e-15,3.2304526030313017e-16,0.0,0.0,8.735941433064759e-07,8.571796392770471e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.826878104749959e-11,4.770088022204357e-12,4.739067409265609e-09,4.653853337845546e-10,0.0,0.0,8.031471875849454e-09,7.890254588533543e-10,1.227984815181686e-09,1.2064197385257716e-10,0.0,0.0,6.798584132321881e-07,4.154013986018815e-08
100,3.74471974128222,3.920871024832596,3.832795383057408,2.8959547771613843e-11,3.709896870563966e-12,3.727861831109071e-10,4.529550764799348e-11,0.0,0.0,2.181415626588382e-11,2.871557112995314e-12,1.3372080305356352e-15,1.6212212214933713e-16,0.0,0.0,5.3263008718459945e-11,7.0134895927984695e-12,3.2668527906492997e-15,3.9607083946162456e-16,0.0,0.0,8.38347598461908e-07,1.0152389863244185e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6827484386491666e-11,5.669356544005549e-12,4.616017014902021e-09,5.592356784151481e-10,0.0,0.0,7.884051439735172e-09,9.554062837066454e-10,1.2059235986956468e-09,1.4613825391578013e-10,0.0,0.0,6.674321879572588e-07,5.0303654340787706e-08
100,3.920871024832596,4.105308449093149,4.013089736962873,1.0609369974568399e-11,1.7759304946541768e-12,3.796733408883372e-10,6.198144754864873e-11,0.0,0.0,9.942818649104582e-12,1.629483424620646e-12,1.2704886549703433e-15,2.0817698323585726e-16,0.0,0.0,2.4193929105407343e-11,3.96566313487106e-12,3.1038546869328955e-15,5.085847107417559e-16,0.0,0.0,7.646472492543106e-07,1.2556923559497557e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2619371583884457e-11,6.9969643557396065e-12,4.266816363297307e-09,7.002586080646876e-10,0.0,0.0,7.356163882314611e-09,1.2066521124925705e-09,1.1256566308535113e-09,1.846406032244868e-10,0.0,0.0,6.227901976144173e-07,6.353669346336533e-08
100,4.105308449093149,4.2984217933858595,4.201865121239504,9.216466573715543e-12,1.2365269663559637e-12,4.824531990322462e-10,6.67213284325604e-11,0.0,0.0,1.1418737250159844e-11,1.5489145763993555e-12,1.406301035576678e-15,1.8982040800443922e-16,0.0,0.0,2.7680149833893516e-11,3.753397147781883e-12,3.4356497792650528e-15,4.637388627694885e-16,0.0,0.0,7.995201965556381e-07,1.073252829030766e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4953235967203786e-11,6.039589496388401e-12,4.524398018970565e-09,6.080473573621928e-10,0.0,0.0,7.904110498923631e-09,1.063624685982057e-09,1.2101394758394454e-09,1.628514611242724e-10,0.0,0.0,6.692386084864364e-07,5.6011214025185525e-08
100,4.2984217933858595,4.500619172217357,4.399520482801608,2.4936887331942745e-11,2.508621439294934e-12,1.844749588237115e-09,1.7990238963260984e-10,0.0,0.0,2.969163567720202e-11,2.9524408325950734e-12,3.493112299164997e-15,3.463947014461835e-16,0.0,0.0,7.17589862555674e-11,7.134501625055808e-12,8.533813323152014e-15,8.462561364308637e-16,0.0,0.0,1.8882481637733761e-06,1.8686253040599982e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0674978181348994e-10,1.056507092659993e-11,1.0770458419242567e-08,1.0660887444564643e-09,0.0,0.0,1.9046426258125218e-08,1.886181186137189e-09,2.9172662579088544e-09,2.8890333569945676e-10,0.0,0.0,1.6127528398906329e-06,9.933331969162785e-08
100,4.500619172217357,4.712327897764348,4.606473534990853,7.668997029315975e-11,6.932641170755678e-12,1.716258447780903e-09,1.1266953753880897e-10,0.0,0.0,4.4064134190108816e-11,3.0718416660724276e-12,4.2484764320670505e-15,2.7767357924920196e-16,0.0,0.0,1.0610703994259394e-10,7.393472537013821e-12,1.0379198183179108e-14,6.783676820783659e-16,0.0,0.0,2.145857565021002e-06,1.3944983847469094e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.208352314940536e-10,7.837292839199642e-12,1.2318153359158064e-08,8.006840049107132e-10,0.0,0.0,2.214962349911712e-08,1.4417394403974975e-09,3.394207700170538e-09,2.209401490127687e-10,0.0,0.0,1.8756414903209226e-06,7.59328885649433e-08
100,4.712327897764348,4.93399538293033,4.8231616403473385,1.0676189199550262e-09,8.870157065192521e-11,2.22252039990814e-09,1.647279689593343e-10,0.0,0.0,1.5834074476778104e-10,1.2554130890652902e-11,5.032888801454613e-15,3.710259566356781e-16,0.0,0.0,3.800044681642939e-10,3.012303283843724e-11,1.2295549055405944e-14,9.064312824886059e-16,0.0,0.0,2.3360001759479616e-06,1.7159508502388293e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3729099834904697e-10,1.015616681113516e-11,1.3427192242701532e-08,9.862979773630939e-10,0.0,0.0,2.4672889656649057e-08,1.813971139775665e-09,3.782812480192342e-09,2.7812102913977487e-10,0.0,0.0,2.0894444493486227e-06,9.554351404542555e-08
