energy low [eV],energy high [eV],energy mid [eV],cell,mean,std. dev.
375.3847575838064,384.1221468392076,379.753452211507,31,2.1130486476269207e-08,8.812132183423374e-11
384.1221468392076,393.0629060222845,388.59252643074603,31,2.1281585753029378e-08,1.2457182860629277e-10
393.0629060222845,402.2117687355211,397.63733737890277,31,7.101868053622561e-07,4.159389775495129e-09
402.2117687355211,411.57357875989607,406.8926737477086,31,4.061904979772677e-08,4.501000470829786e-10
411.57357875989607,421.1532926193776,416.36343568963684,31,4.948328240566873e-08,2.547554272727416e-10
421.1532926193776,430.95598220510976,426.05463741224366,31,2.4400057688569195e-08,2.423312531400372e-10
430.95598220510976,440.98683746067815,435.971409832894,31,1.210027583188446e-09,5.254275702108025e-12
440.98683746067815,451.2511691298777,446.11900329527793,31,2.0558133376833907e-09,7.544442114528107e-12
451.2511691298777,461.7544115684372,456.50279034915746,31,1.5286471903991635e-07,5.918320777207578e-10
461.7544115684372,472.5021256211886,467.1282685948129,31,1.294863828110305e-06,5.080993272942385e-09
472.5021256211886,483.50000156620507,478.0010635936968,31,1.8995674423960516e-08,1.00183894855753e-10
483.50000156620507,494.7538621274663,489.12693184683565,31,1.226293475844943e-06,8.945745254175757e-09
494.7538621274663,506.2696655576459,500.5117638425561,31,4.063439538068877e-09,1.504851273729159e-11
506.2696655576459,518.0535087926535,512.1615871751496,31,2.258111443003933e-07,1.2400489245789886e-09
518.0535087926535,530.111630679601,524.0825697361272,31,5.552166289453144e-07,3.3799522658288376e-09
530.111630679601,542.4504152799029,536.2810229797519,31,1.2714125312559445e-07,3.797673778064347e-10
542.4504152799029,555.0763952492586,548.7634052645808,31,7.223783504157996e-09,2.339404607638406e-11
555.0763952492586,567.9962552963061,561.5363252727823,31,3.2389468230591105e-09,1.8651044421529098e-11
567.9962552963061,581.2168357217809,574.6065455090435,31,8.521583785286893e-07,3.992478610196259e-09
581.2168357217809,594.7451360400482,587.9809858809145,31,7.459774214178001e-09,3.372430749370757e-11
594.7451360400482,608.5883186849343,601.6667273624912,31,3.751523611963683e-07,2.3865867237615774e-09
608.5883186849343,622.7537128018045,615.6710157433694,31,2.1997310015220968e-07,1.7289567460162001e-09
622.7537128018045,637.2488181279201,630.0012654648623,31,3.6285578128862822e-09,1.3827834879435844e-11
637.2488181279201,652.0813089630998,644.66506354551,31,1.0616431711477789e-08,3.423130006646096e-11
652.0813089630998,667.2590382328082,659.670173597954,31,1.2555620678275449e-06,3.997849088502103e-09
