 ====================>     TALLY 1: REACTION_RATES     <====================

 Cell 2
   Total Material
     (n,2n)                               0.00369822 +/- 2.74295e-07
     (n,3n)                               0.0010039 +/- 1.08623e-07
     (n,elastic)                          0.0183876 +/- 2.16663e-06
     Absorption Rate                      0.00452132 +/- 2.30869e-07
     (n,gamma)                            0.00012134 +/- 6.39254e-08
     (n,Xt)                               4.62228e-08 +/- 6.46529e-12
     Fission Rate                         0.00439946 +/- 2.37708e-07
     (n,n1)                               0.00209553 +/- 3.96175e-07
     (n,n2)                               0.00045129 +/- 1.05414e-07
     (n,n3)                               6.77258e-05 +/- 9.70997e-09
     (n,n4)                               7.05111e-06 +/- 6.27354e-10
     (n,n5)                               0.000157189 +/- 6.76941e-08
     (n,n6)                               0.000181868 +/- 4.23196e-08
     (n,n7)                               1.23049e-06 +/- 1.41853e-10
     (n,n8)                               2.92921e-05 +/- 5.35543e-09
     (n,n9)                               2.81905e-05 +/- 1.2994e-08
     (n,n10)                              5.15151e-05 +/- 2.71756e-08
     (n,n11)                              4.96553e-05 +/- 2.51065e-08
     (n,n12)                              5.46032e-05 +/- 2.65905e-08
     (n,n13)                              3.0862e-06 +/- 3.43546e-10
     (n,n14)                              3.88372e-05 +/- 1.05462e-08
     (n,n15)                              3.33443e-05 +/- 1.55593e-08
     (n,n16)                              1.86673e-05 +/- 8.24657e-09
     (n,n17)                              4.87145e-05 +/- 2.00626e-08
     (n,n18)                              1.93779e-05 +/- 7.99681e-09
     (n,n19)                              3.09816e-05 +/- 1.39778e-08
     (n,n20)                              3.0927e-05 +/- 1.39062e-08
     (n,n21)                              4.24002e-05 +/- 1.83114e-08
     (n,n22)                              4.99244e-07 +/- 3.51974e-11
     (n,n23)                              2.57902e-05 +/- 1.16921e-08
     (n,n24)                              2.69423e-05 +/- 1.21819e-08
     (n,n25)                              1.52172e-05 +/- 6.40072e-09
     (n,n26)                              2.63373e-05 +/- 1.18959e-08
     (n,n27)                              3.75328e-07 +/- 2.7756e-11
     (n,n28)                              2.24221e-06 +/- 9.13396e-10
     (n,n29)                              1.39353e-05 +/- 5.82848e-09
     (n,n30)                              1.36353e-05 +/- 5.72663e-09
     (n,n31)                              1.9211e-05 +/- 8.38753e-09
     (n,n32)                              2.16977e-05 +/- 1.01162e-08
     (n,n33)                              5.61513e-06 +/- 2.43426e-09
     (n,n34)                              1.63989e-05 +/- 7.5091e-09
     (n,n35)                              1.69405e-06 +/- 7.10102e-10
     (n,n36)                              9.65539e-06 +/- 4.35025e-09
     (n,n37)                              1.24971e-06 +/- 5.07544e-10
     (n,n38)                              1.80007e-05 +/- 8.52214e-09
     (n,n39)                              3.29723e-06 +/- 1.41169e-09
     (n,n40)                              0 +/- 0
     (n,nc)                               0.00270478 +/- 4.36158e-07
 ================>     TALLY 2: SPECIFIC_SCATTER_EOUT     <=================

 Cell 2
   Incoming Energy [0.001, 20000000.000000004)
     Outgoing Energy [1, 1.0167571080956959)
       Total Material
         (n,2n)                               0 +/- 0
         Nu-Fission Rate                      0 +/- 0
         (n,elastic)                          0 +/- 0
         (n,n1)                               0 +/- 0
         (n,n2)                               0 +/- 0
         (n,n3)                               0 +/- 0
         (n,n4)                               0 +/- 0
         (n,n5)                               0 +/- 0
         (n,n6)                               0 +/- 0
         (n,n7)                               0 +/- 0
         (n,n8)                               0 +/- 0
         (n,n9)                               0 +/- 0
         (n,n10)                              0 +/- 0
         (n,n11)                              0 +/- 0
         (n,n12)                              0 +/- 0
         (n,n13)                              0 +/- 0
         (n,n14)                              0 +/- 0
         (n,n15)                              0 +/- 0
         (n,n16)                              0 +/- 0
         (n,n17)                              0 +/- 0
         (n,n18)                              0 +/- 0
         (n,n19)                              0 +/- 0
