cell,flux,"Li6(n,t)","Li6(n,t)_stdev","Li7(n,t)","Li7(n,t)_stdev",tbr,tbr_stdev,"Th232(n,fis)","Th232(n,fis)_stdev","Th232(n,g)","Th232(n,g)_stdev",U233_kg/yr
11,1.9455862469758956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,23.719311404576597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,60.71068600463186,0.45663598224263396,0.0002844711054108394,0.004720220105237586,4.5968668307384214e-06,0.46135620234787156,0.00028906797224157783,0.004720220105237586,0.000818450234882041,0.0228772579167928,1.521477077634185e-05,98.99839945132008
22,0.5157585785190965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,116.45014195815527,0.8527381393353902,0.00030725295665872695,0.01024733801619149,5.170604349254326e-06,0.8629854773515817,0.00031242356100798127,0.01024733801619149,0.0017547572815077965,0.04260776908365207,3.393602427336966e-05,184.3796559366821
23,0.06716673868889872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total,203.40865093154764,1.3093741215780241,0.0005917240620695664,0.014967558121429077,9.767471179992748e-06,1.3243416796994532,0.0006014915332495591,0.014967558121429077,0.0025732075163898372,0.06548502700044487,4.9150795049711507e-05,283.37805538800217
