cell,flux,tbr,tbr_stdev,"Th232(n,g)","Th232(n,g)_stdev",U233_kg/yr,U233_kg/yr_stdev,"Li6(n,t)","Li6(n,t)_stdev","Li7(n,t)","Li7(n,t)_stdev","Be9(n,2n)","Be9(n,2n)_stdev","tot(n,fis)","tot(n,fis)_stdev",heating [MW],heating_stdev,fisq [MW],fisq_stdev
11,2.9200194321598745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.04282717108254,0.00218167507525335,0.0,0.0
21,5.8403801974908705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.080162562697126,0.003005899860691608,0.0,0.0
12,29.145269727632414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.498907731819546,0.002032711268762996,0.0,0.0
22,5.850300618200954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.436825361697817,0.0020889712307341846,0.0,0.0
31,261.4998568651853,0.6286015327556443,7.830392427965338e-05,0.11844064908660526,1.5740313841354297e-05,512.6383270191338,0.06812769278634877,0.6272325795797586,7.81738423219787e-05,0.0013689531758857526,1.3008195767468706e-07,0.0,0.0,0.0,0.0,606.9295987092956,0.043968349199918225,105.21701763530028,0.010222560689738654
23,27.13723709414057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.93946914070197,0.004651483714409585,0.0,0.0
32,120.66088526247941,0.34751686266045323,5.7440679063886935e-05,0.07012936864097098,1.3282340496065494e-05,303.53601143073485,0.057489019718413185,0.3473338091728859,5.736312725349971e-05,0.00018305348756732814,7.755181038722585e-08,0.0,0.0,0.0,0.0,187.64871260276382,0.027053351719770035,18.029690630486925,0.0050085311447909744
24,10.319267336194677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.805312557425175,0.0033323376133538997,0.0,0.0
41,1.6763517363375606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010263306770516765,9.858769735483966e-07,1.6514512853691559,0.0012680172117460777,0.0,0.0
42,13.484607360986171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017382099205646797,4.864738093772102e-07,9.975885199074536,0.007290972449472933,0.0,0.0
25,7.801979859996285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022442445989508223,1.3816898362089785e-07,4.525282924242539,0.0022169880632887224,0.0,0.0
33,32.45491653818165,0.10753226757639481,2.9638938400432416e-05,0.022691545742783304,7.308369357348296e-06,98.21422068155599,0.03163230081464184,0.1075121100303894,2.9619695622064957e-05,2.0157546005414754e-05,1.9242778367459933e-08,0.0,0.0,0.0,0.0,46.533564143343476,0.012183247398434693,2.34115303445173,0.0014355578418061578
26,7.2428881829480085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9957741105920053,0.002695179922725856,0.0,0.0
43,1.1607592544302578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0785098001214832,0.001054089406887586,0.0,0.0
44,8.314047082171813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3604798879712785,0.0055774359627266965,0.0,0.0
total,535.5087665485357,1.0836506629924925,0.00016538354174397272,0.21126156347035957,3.633102369476809e-05,914.3885591314246,0.15724901331940377,1.0820784987830339,0.00016515666519754336,0.0015721642094584955,2.2687654642937285e-07,0.0,0.0,0.012225941150976527,1.6105197665465046e-06,1016.5027631881982,0.12060071009817647,125.58786130023894,0.016666649676335785
