cell,flux,"Li6(n,t)","Li6(n,t)_stdev","Li7(n,t)","Li7(n,t)_stdev",tbr,tbr_stdev,"U238(n,fis)","U238(n,fis)_stdev","U238(n,g)","U238(n,g)_stdev",Pu239_kg/yr,Pu239_kg/yr_stdev
11,3.097406776718051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,6.193738365317768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,30.918966708623874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,6.207523211003186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,271.3849652501001,0.8156512251351823,8.866395270560795e-05,0.0017676178364299548,1.848899575398632e-07,0.8174188429716123,8.884884266314782e-05,0.0023944471289221348,2.12221549054316e-07,0.005309780563597166,7.53524437741316e-07,23.570221556124487,0.0033449099699677143
23,27.51203551306134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,120.63754925332083,0.4317529265566904,5.0707936068731446e-05,0.00018038066908082737,7.99888238423694e-08,0.4319333072257712,5.078792489257382e-05,0.0003805617586830641,1.0878101734064373e-07,0.003100690772942462,6.803316009020781e-07,13.764028027134367,0.0030200055111187832
24,10.978946686488678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,1.7342160326688048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,12.549286646341079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,7.610461061478293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,31.526675035872216,0.1286254764482991,3.68140600255497e-05,1.5560510042869796e-05,2.2260286082207016e-08,0.12864103695834198,3.6836320311631905e-05,4.49562248797418e-05,3.2734345695820256e-08,0.0009998734127965555,4.6004319473477215e-07,4.43845797117598,0.0020421408936605813
26,7.403706961275807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0.7282932728562872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,7.155509189647887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total,545.6392799647742,1.3760296281401718,0.0001761859487998891,0.001963559015553652,2.871390674644396e-07,1.3779931871557254,0.00017647308786735355,0.0028199651124849404,3.5373691209077997e-07,0.009410344749336184,1.8938992333781662e-06,41.77270755443483,0.008407056374747078
