energy_mid_eV,"U (n,2n)","U (n,2n) err",U nu-fission,U nu-fission err,"U (n,elastic)","U (n,elastic) err","U (n,n')","U (n,n') err"
1.008378554047848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.025276062479409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.042456724286306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0599252843002565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0776865668626372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0957454771568336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1141070025629205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1327762140350388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1517582675018572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.171058405290497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1906819575743233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.210634343844991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2309210744091632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2515477519103075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2725200728759938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2938438292911194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3155249101974995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3375693033202598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3599830967214819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3827724804815629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4059437484087458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.429503299777299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.453457641094821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.477813387899162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5025772665854547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5277561162637623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5533568906478545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5793866599756348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6058526129617465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6327620587829021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6601224290964778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6879412800929368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7162262945826412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.744985284117638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7742261911489958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8039570912202942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8341861951978697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8649218515384334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8961725485946883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9279469169595804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9602537318498356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
