Natural Pb(n,2n) ENDFB-8.0 (Weighted Average)
Energy(eV) XS(b)
6.77063	0
6.8	6.33145e-05
7	0.00332439
7.2	0.0117972
7.4	0.0254888
7.40361	0.0257927
7.5	0.0343616
7.6	0.0484021
7.7	0.0638385
7.8	0.0853375
8	0.130678
8.1278	0.1716
8.2	0.198619
8.4	0.283729
8.43581	0.300236
8.5	0.329855
8.6	0.386928
8.8	0.503155
9	0.624483
9.2	0.757675
9.4	0.891918
9.5	0.957578
9.6	1.02213
9.8	1.14871
10	1.27301
10.5	1.53848
11	1.74072
11.5	1.89157
12	1.99825
12.5	2.07636
13	2.13332
13.5	2.17511
14	2.20603
14.1741	2.21554
14.5	2.23021
15	2.24437
15.5	2.24337
16	2.23334
16.5	2.18566
17	2.117
17.5	1.99803
18	1.86292
19	1.5179
20	1.17419
