cell,flux,tbr,tbr_stdev,"U238(n,g)","U238(n,g)_stdev",Pu239_kg/yr,Pu239_kg/yr_stdev,"Li6(n,t)","Li6(n,t)_stdev","Li7(n,t)","Li7(n,t)_stdev","U238(n,fis)","U238(n,fis)_stdev",heat_eV_src,heat_eV_src_stdev
11,3.0919850288842774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,449077.2864434048,156.25298823639937
21,6.184000874817851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,587433.7260485989,153.20657652773684
12,30.86847061791082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,490179.91023183597,113.28973489348775
22,6.195933942952522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,541189.7871352112,145.75144949051037
31,269.7754480796982,0.8176532724333554,0.0002537744540088857,0.00011618993841602466,4.8844650401088007e-08,0.5157694481451137,0.0002168223748600908,0.8158637455997315,0.00025316386348955806,0.0017895268336238484,6.105905193276262e-07,5.368271312727501e-05,1.6648574465544166e-08,9124690.766992265,2084.753758378413
23,27.09278527913096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,399507.2418221126,256.28952870236674
32,115.67389644507738,0.40657381523243996,0.0001855962263198874,6.262834416100998e-05,3.817822618060046e-08,0.27800846567719134,0.00016947390554440528,0.40639407306478026,0.0001853816162595374,0.0001797421676597266,2.1461006034997402e-07,8.475865507245247e-06,5.831559391288586e-09,2810564.2792327385,1099.7491762632658
24,7.462647009498957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52819.88753165582,149.14002114971856
41,0.7360987809981718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11004.851158063811,28.742098626469605
42,0.11472777273642716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1407.2929310554086,8.475729097989833
25,7.544172761231547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61368.78290719609,67.69654502399653
33,31.1425082583602,0.12780225153200603,0.00011781658413731434,2.21097699436283e-05,4.8716961590563404e-08,0.09814570863795069,0.00021625556168989384,0.1277869692025422,0.00011775447417025513,1.5282329463823895e-05,6.210996705920316e-08,9.911377473637648e-07,1.5712994564901027e-09,745509.2081728632,615.2118499555453
26,7.314697883552567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42157.72188100447,92.38110555242604
43,0.7201704925721188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9280.14156959261,39.82802757162659
44,7.188545033387302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70944.50178842408,225.15787928739812
total,521.1060882608093,1.3520293391978015,0.0005571872644660874,0.00020092805252066296,1.3573983817225187e-07,0.8919236224602558,0.00060255184209439,1.3500447878670538,0.0005562999539193506,0.001984551330747399,8.873105467368034e-07,6.314971638188402e-05,2.4051433313322858e-08,15397135.385846023,5235.92646875735
