energy low [eV],energy high [eV],energy_mid_eV,loading_kg_m3,flux_A,flux_C,ratio_C_over_A,pair_key,folder_A,folder_C
8.898314629025622e-05,9.105430227248787e-05,9.001872428137205e-05,0.1,0.0,0.0,,Li07.5_U238_000.10kgm3,wedgeA_dcll_Li07.5_U238_000.10kgm3,wedgeC_dcll_Li07.5_U238_000.10kgm3
9.105430227248787e-05,9.317366611521413e-05,9.2113984193851e-05,0.1,0.0,0.0,,Li07.5_U238_000.10kgm3,wedgeA_dcll_Li07.5_U238_000.10kgm3,wedgeC_dcll_Li07.5_U238_000.10kgm3
9.317366611521413e-05,9.534235989607371e-05,9.425801300564393e-05,0.1,0.0,0.0,,Li07.5_U238_000.10kgm3,wedgeA_dcll_Li07.5_U238_000.10kgm3,wedgeC_dcll_Li07.5_U238_000.10kgm3
9.534235989607371e-05,9.756153180998544e-05,9.645194585302958e-05,0.1,0.0,0.0,,Li07.5_U238_000.10kgm3,wedgeA_dcll_Li07.5_U238_000.10kgm3,wedgeC_dcll_Li07.5_U238_000.10kgm3
9.756153180998544e-05,9.983235677705068e-05,9.869694429351806e-05,0.1,0.0,0.0,,Li07.5_U238_000.10kgm3,wedgeA_dcll_Li07.5_U238_000.10kgm3,wedgeC_dcll_Li07.5_U238_000.10kgm3
9.983235677705068e-05,0.00010215603706460322,0.00010099419692082695,0.1,0.0,0.0,,Li07.5_U238_000.10kgm3,wedgeA_dcll_Li07.5_U238_000.10kgm3,wedgeC_dcll_Li07.5_U238_000.10kgm3
0.00010215603706460322,0.00010453380292373871,0.00010334491999417097,0.1,0.0,0.0,,Li07.5_U238_000.10kgm3,wedgeA_dcll_Li07.5_U238_000.10kgm3,wedgeC_dcll_Li07.5_U238_000.10kgm3
0.00010453380292373871,0.00010696691324065983,0.00010575035808219928,0.1,0.0,0.0,,Li07.5_U238_000.10kgm3,wedgeA_dcll_Li07.5_U238_000.10kgm3,wedgeC_dcll_Li07.5_U238_000.10kgm3
0.00010696691324065983,0.00010945665620318199,0.00010821178472192092,0.1,0.0,0.0,,Li07.5_U238_000.10kgm3,wedgeA_dcll_Li07.5_U238_000.10kgm3,wedgeC_dcll_Li07.5_U238_000.10kgm3
0.00010945665620318199,0.00011200434998275243,0.00011073050309296721,0.1,0.0,0.0,,Li07.5_U238_000.10kgm3,wedgeA_dcll_Li07.5_U238_000.10kgm3,wedgeC_dcll_Li07.5_U238_000.10kgm3
0.00011200434998275243,0.00011461134343234398,0.00011330784670754821,0.1,0.0,0.0,,Li07.5_U238_000.10kgm3,wedgeA_dcll_Li07.5_U238_000.10kgm3,wedgeC_dcll_Li07.5_U238_000.10kgm3
0.00011461134343234398,0.00011727901680059278,0.00011594518011646837,0.1,0.0,0.0,,Li07.5_U238_000.10kgm3,wedgeA_dcll_Li07.5_U238_000.10kgm3,wedgeC_dcll_Li07.5_U238_000.10kgm3
0.00011727901680059278,0.00012000878246255827,0.00011864389963157552,0.1,0.0,0.0,,Li07.5_U238_000.10kgm3,wedgeA_dcll_Li07.5_U238_000.10kgm3,wedgeC_dcll_Li07.5_U238_000.10kgm3
0.00012000878246255827,0.00012280208566749204,0.00012140543406502516,0.1,0.0,0.0,,Li07.5_U238_000.10kgm3,wedgeA_dcll_Li07.5_U238_000.10kgm3,wedgeC_dcll_Li07.5_U238_000.10kgm3
0.00012280208566749204,0.00012566040530401177,0.0001242312454857519,0.1,0.0,0.0,,Li07.5_U238_000.10kgm3,wedgeA_dcll_Li07.5_U238_000.10kgm3,wedgeC_dcll_Li07.5_U238_000.10kgm3
0.00012566040530401177,0.0001285852546830852,0.0001271228299935485,0.1,0.0,0.0,,Li07.5_U238_000.10kgm3,wedgeA_dcll_Li07.5_U238_000.10kgm3,wedgeC_dcll_Li07.5_U238_000.10kgm3
0.0001285852546830852,0.0001315781823392386,0.0001300817185111619,0.1,0.0,0.0,,Li07.5_U238_000.10kgm3,wedgeA_dcll_Li07.5_U238_000.10kgm3,wedgeC_dcll_Li07.5_U238_000.10kgm3
0.0001315781823392386,0.0001346407728504141,0.00013310947759482633,0.1,0.0,0.0,,Li07.5_U238_000.10kgm3,wedgeA_dcll_Li07.5_U238_000.10kgm3,wedgeC_dcll_Li07.5_U238_000.10kgm3
0.0001346407728504141,0.00013777464767690987,0.00013620771026366196,0.1,0.0,0.0,,Li07.5_U238_000.10kgm3,wedgeA_dcll_Li07.5_U238_000.10kgm3,wedgeC_dcll_Li07.5_U238_000.10kgm3
0.00013777464767690987,0.00014098146601984756,0.0001393780568483787,0.1,0.0,0.0,,Li07.5_U238_000.10kgm3,wedgeA_dcll_Li07.5_U238_000.10kgm3,wedgeC_dcll_Li07.5_U238_000.10kgm3
0.00014098146601984756,0.0001442629256996203,0.00014262219585973394,0.1,0.0,0.0,,Li07.5_U238_000.10kgm3,wedgeA_dcll_Li07.5_U238_000.10kgm3,wedgeC_dcll_Li07.5_U238_000.10kgm3
0.0001442629256996203,0.00014762076405478895,0.00014594184487720462,0.1,0.0,0.0,,Li07.5_U238_000.10kgm3,wedgeA_dcll_Li07.5_U238_000.10kgm3,wedgeC_dcll_Li07.5_U238_000.10kgm3
