cell,flux,tbr,tbr_stdev,"Th232(n,g)","Th232(n,g)_stdev",U233_kg/yr,U233_kg/yr_stdev,"Li6(n,t)","Li6(n,t)_stdev","Li7(n,t)","Li7(n,t)_stdev","Be9(n,2n)","Be9(n,2n)_stdev","tot(n,fis)","tot(n,fis)_stdev",heating [MW],heating_stdev,fisq [MW],fisq_stdev
11,2.7559712754097547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.15579680540257,0.01606771260021535,0.0,0.0
41,14.302490041999793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12057683317930437,1.5701579628313558e-05,0.0,0.0,45.452510348712785,0.004538620894575846,0.0,0.0
21,14.019218019548644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.61252517327667,0.010430726974754221,0.0,0.0
31,27.63327686955219,0.020482299302057184,2.234897895407034e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.020482299302057184,2.234897895407034e-06,0.01903031256949477,2.264225934276698e-06,0.0,0.0,63.04992248698471,0.004823204117030329,0.0,0.0
22,39.36277742946775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,328.918043688765,0.027521126883805123,0.0,0.0
32,678.6550432056674,0.0884726286704281,1.7904741473468487e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0884726286704281,1.7904741473468487e-05,0.0875998017924226,1.448263054749324e-05,0.0,0.0,340.88882687549943,0.04131099866604582,0.0,0.0
23,0.5696775725827528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.77200165297362,0.01693654305033319,0.0,0.0
total,777.2984544142283,0.10895492797248528,2.0139639368875523e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.10895492797248528,2.0139639368875523e-05,0.22720694754122175,3.2448436110083496e-05,0.0,0.0,1006.8496270316148,0.12162893318675988,0.0,0.0
