cell,flux,"Li6(n,t)","Li6(n,t)_stdev","Li7(n,t)","Li7(n,t)_stdev",tbr,tbr_stdev,"Th232(n,fis)","Th232(n,fis)_stdev","Th232(n,g)","Th232(n,g)_stdev",U233_kg/yr
11,3.0798947210523497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,6.154685139051408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,30.70828661664952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,6.167839565968616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,267.7077116365196,0.8057732054760155,0.000699607984927867,0.0017707946986221875,2.0964443048613132e-06,0.8075440001746377,0.0007017044292327283,0.0017707946986221875,0.0008864023489855493,0.009076088812651963,1.0501303905230132e-05,39.27561025882516
23,26.691159510040773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,111.28594970543784,0.3865034007004693,0.0004303130349851469,0.00017776705865530366,5.693174346495867e-07,0.3866811677591246,0.0004308823524197965,0.00017776705865530366,0.00012751526577507103,0.004631148258215841,4.602482610510171e-06,20.040700107183632
24,5.897601769726047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,7.04481965038894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,25.33423661785242,0.09601561178509728,0.00028452959859994755,1.5321428957206626e-05,2.5250328637086176e-07,0.09603093321405448,0.0002847821018863184,1.5321428957206626e-05,1.4124210263584419e-05,0.0012016160776439325,4.413446181540247e-06,5.19983945953604
26,2.803064736000601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total,492.8752496686881,1.2882922179615819,0.0014144506185129614,0.001963883186234698,2.918265025881762e-06,1.2902561011478169,0.0014173688835388432,0.001963883186234698,0.001028041825024205,0.014908853148511736,1.951723269728055e-05,64.51614982554483
