mtu,"U-238(n,gamma)","U-238(n,gamma)_err","U-238(n,fis)","U-238(n,fis)_err"
0.0,0.0,0.0,0.0,0.0
0.1,8.907776320853752e-05,3.057930657986972e-08,2.613436423438966e-05,1.729307768085554e-09
0.2,0.0001778883103822503,6.024938725119397e-08,5.224578765967678e-05,3.5007318115479103e-09
0.5,0.00044327635172117686,1.4600580696587509e-07,0.00013059471019036403,8.639917002362707e-09
1.0,0.0008827825839763206,2.9145137482745615e-07,0.00026128958795918194,1.7615095657071244e-08
2.5,0.0021772926305576785,6.569272372577578e-07,0.0006529548064892521,4.154240346142444e-08
5.0,0.00427363780655327,1.180532627033653e-06,0.0013054837495653485,8.934772054206669e-08
10.0,0.008305237159403633,2.0230272043293234e-06,0.002609990894640953,1.7476434957725786e-07
15.0,0.01218829843468432,2.5930164307540593e-06,0.003912278941690739,2.532902420017135e-07
20.0,0.015976161090378655,3.2159950813004e-06,0.005213174626910055,3.3276362734425743e-07
25.0,0.019695655139001855,3.7353074145200863e-06,0.00651249520242084,4.3413303471863544e-07
30.0,0.023342743052107,4.147729034829449e-06,0.007810113739507369,5.503064234247232e-07
35.0,0.026963419823596013,4.648255351486644e-06,0.00910381896648088,5.976602770155193e-07
40.0,0.030540973910674757,4.879132361208896e-06,0.010401237014342266,6.905170546082917e-07
45.0,0.03410221014129809,5.403136328511114e-06,0.011692515980959144,7.513390756395599e-07
50.0,0.03764247659480851,5.644598713625096e-06,0.012985598528852338,8.500616785186279e-07
