mtu,li6_tbr,li7_tbr,tbr,tbr_err
0.0,1.0708113738150944,0.16680074694035987,1.2376121207554542,5.2712235436856865e-05
0.1,1.071023736235464,0.16683469606724094,1.2378584323027049,5.231817163958313e-05
0.2,1.0705871343903832,0.16674350817350142,1.2373306425638846,5.297668536087388e-05
0.5,1.0704997247099461,0.16668406181432935,1.2371837865242754,5.254591948886053e-05
1.0,1.0707381758493197,0.1666883824450846,1.2374265582944044,5.2470516173940766e-05
2.5,1.0702478509875177,0.16645105107014516,1.2366989020576629,5.2004694337300836e-05
5.0,1.0698990044968322,0.16610989921424815,1.2360089037110804,5.2833649840207795e-05
10.0,1.0697168826474135,0.16549390349913723,1.2352107861465507,5.245212647170384e-05
15.0,1.069435398921358,0.16481352529924198,1.2342489242206,5.175609750314701e-05
20.0,1.0695540276460267,0.16411799513331907,1.2336720227793458,5.173774610462662e-05
25.0,1.069903384320108,0.16348350895105426,1.2333868932711622,5.207867860531003e-05
30.0,1.0697918022284758,0.16281655709510456,1.2326083593235804,5.2053317085477095e-05
35.0,1.070283433541235,0.16209284712106592,1.2323762806623009,5.147778534801472e-05
40.0,1.0707862393265088,0.16148886532141546,1.2322751046479243,5.1451405594464806e-05
45.0,1.0708934764475198,0.16081203616016365,1.2317055126076835,5.0849372401546145e-05
50.0,1.0714701892798562,0.1601827524642391,1.2316529417440953,5.093053364602135e-05
