mtu,"U-238(n,gamma)","U-238(n,gamma)_err","U-238(n,fis)","U-238(n,fis)_err"
0.0,0.0,0.0,0.0,0.0
0.1,7.344172194560736e-05,2.2136744790692087e-08,2.6064316421403707e-05,1.7321523217518424e-09
0.2,0.00014660669261604958,4.527655310469365e-08,5.2105105717009674e-05,3.49334088396993e-09
0.5,0.0003657792127234128,1.1483013791675388e-07,0.00013024363963944026,8.6317255341114e-09
1.0,0.0007293060111129233,2.2497598011799026e-07,0.00026059347023131313,1.7609360613077135e-08
2.5,0.0018057903099132785,5.160269125682764e-07,0.0006511949163606493,4.1478846478571154e-08
5.0,0.0035639118525678886,8.949386977854762e-07,0.0013019851770983636,8.919779714453564e-08
10.0,0.0069810632048795205,1.55715356927187e-06,0.0026030320070826794,1.7474255372261208e-07
15.0,0.010304698749052772,2.0879376741463673e-06,0.0039018820820944785,2.5314772422419826e-07
20.0,0.013570841694047552,2.5451873482905146e-06,0.005199185819784831,3.3122331509144073e-07
25.0,0.01679708743987279,3.0178801127363188e-06,0.0064951615508805115,4.3417920364388105e-07
30.0,0.019977153072142602,3.348229566808279e-06,0.007789364551176918,5.497561086866412e-07
35.0,0.023144223114478984,3.823497622888251e-06,0.009079622871849678,5.967623524660943e-07
40.0,0.026288402231766195,4.021146155816608e-06,0.010373690266742003,6.887211719854486e-07
45.0,0.029412299330184834,4.318521044550478e-06,0.011661551011417734,7.479284889856432e-07
50.0,0.032528104286651836,4.690682411681178e-06,0.01295119105648382,8.48009308521343e-07
