mtu,li6_tbr,li7_tbr,tbr,tbr_err
0.0,1.0694878027090706,0.18479845191739702,1.2542862546264677,5.402872061203958e-05
0.0096,1.0695314290608569,0.1848539770410837,1.2543854061019406,5.3812804292459625e-05
0.1,1.0689020598241101,0.1847599205778468,1.2536619804019569,5.452852107678028e-05
0.2,1.0688438427221114,0.18471411373291088,1.2535579564550223,5.40635885527356e-05
0.5,1.0683879164395544,0.18472848977093032,1.2531164062104847,5.3147028971911104e-05
1.0,1.0669861756208596,0.18464844712842432,1.2516346227492838,5.3997932201970216e-05
2.5,1.063744502155119,0.18443781522701932,1.2481823173821385,5.33267055734058e-05
5.0,1.0590868807962694,0.1840256090493932,1.2431124898456627,5.326854510643602e-05
10.0,1.0519276889104654,0.1833355354827914,1.2352632243932569,5.2722430624582557e-05
15.0,1.0463223595878794,0.18258268432265104,1.2289050439105305,5.249170952107972e-05
20.0,1.0414880834109836,0.18182467748932746,1.2233127609003112,5.2024769367824964e-05
25.0,1.0375221259267013,0.1811197203368089,1.2186418462635102,5.1871603764710325e-05
30.0,1.0336217727326065,0.18034248601981648,1.2139642587524229,5.073141238353622e-05
35.0,1.0305555869190515,0.17959216089779811,1.2101477478168496,5.1765030112219674e-05
40.0,1.0275035909439396,0.17887399168476698,1.2063775826287066,5.088021022073068e-05
45.0,1.0247132187362233,0.17813647016976913,1.2028496889059925,5.054198073987506e-05
50.0,1.0218647898472366,0.17742223866245302,1.1992870285096897,4.995155220376174e-05
