energy low [eV],energy high [eV],energy mid [eV],cell,mean,std. dev.
216.0983826546497,221.12825040652498,218.61331653058733,32,6.324614044883549e-05,2.7941789335115604e-08
221.12825040652498,226.2751924709914,223.7017214387582,32,1.49664960105477e-05,6.299320343921868e-09
226.2751924709914,231.54193384905247,228.90856316002194,32,2.6481781175679156e-05,1.1568186987022357e-08
231.54193384905247,236.93126296835175,234.2365984087021,32,0.001830599621231338,1.4189079774211097e-06
236.93126296835175,242.44603315948325,239.6886480639175,32,0.008277143509838374,4.975290244851038e-06
242.44603315948325,248.08916416665895,245.2675986630711,32,0.0002026231729312062,1.685240533729715e-07
248.08916416665895,253.86364369354084,250.97640393009988,32,5.840074545029403e-05,5.219878212950394e-08
253.86364369354084,259.7725289850533,256.8180863392971,32,9.739059561914076e-05,7.493219686774905e-08
259.7725289850533,265.8189484460131,262.7957387155332,32,0.00029467281275664427,2.099990868332802e-07
265.8189484460131,272.0061032974343,268.9125258717237,32,5.120955909233404e-05,2.5644053783949277e-08
272.0061032974343,278.3372692713856,275.17168628440993,32,0.00785367751742081,4.4929803285692364e-06
278.3372692713856,284.815798345296,281.5765338083408,32,0.00011815130532997375,7.28151592277406e-08
284.815798345296,291.4451205166287,288.13045943096233,32,0.005126845807935268,3.433399757056866e-06
291.4451205166287,298.2287456188615,294.8369330677451,32,0.0011777952753665106,1.0825414936876458e-06
298.2287456188615,305.17026517973574,301.69950539929863,32,5.908946755392732e-06,2.151138326156204e-09
305.17026517973574,312.27335432275737,308.72180975124655,32,0.0007288458742139747,4.897545438720109e-07
312.27335432275737,319.5417737129576,315.90756401785745,32,1.9552211245688285e-05,2.1623850932550063e-08
319.5417737129576,326.97937154794187,323.2605726304497,32,2.4906513329586535e-05,1.4492539840151157e-08
326.97937154794187,334.59008559528297,330.7847285716124,32,3.65809881338033e-05,2.243742778418274e-08
334.59008559528297,342.37794527733547,338.4840154363092,32,8.26681868545941e-05,3.579469509619227e-08
342.37794527733547,350.3470738045763,346.3625095409559,32,0.005385355713712192,2.8538353808449917e-06
350.3470738045763,358.50169035860074,354.42438208158853,32,0.00017910456999471015,1.4107454713862656e-07
358.50169035860074,366.8461123259287,362.6739013422647,32,7.309533321567085e-06,2.2945441299398654e-09
