cell,flux,"Li6(n,t)","Li6(n,t)_stdev","Li7(n,t)","Li7(n,t)_stdev",tbr,tbr_stdev,"Th232(n,fis)","Th232(n,fis)_stdev","Th232(n,g)","Th232(n,g)_stdev",U233_kg/yr
11,3.0859693240312316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,6.170325935611747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,30.80572114297192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,6.184823539038751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,268.92252845041173,0.8097970637207744,0.00024175142957335932,0.0017925897827168497,5.775551091180845e-07,0.8115896535034913,0.0002423289846824774,0.0017925897827168497,4.4453435135651245e-06,4.504771962631544e-05,1.6980800158944185e-08,0.1949382289677072
23,26.89602357153684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,112.81052893425735,0.3910793203998397,0.00014922417507785447,0.0001815919358314931,1.770364689281126e-07,0.39126091233567123,0.00014940121154678258,0.0001815919358314931,6.48172005932539e-07,2.3108942580780903e-05,1.2376955761917566e-08,0.10000098511939538
24,6.040564129699532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,7.15512316915841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,25.825603622707764,0.09765344177822105,7.831425307570026e-05,1.54444856584927e-05,8.077392459073389e-08,0.09766888626387954,7.8395027000291e-05,1.54444856584927e-05,7.12808410842678e-08,6.023437242536359e-06,7.149400167131299e-09,0.026065652115101486
26,2.8722791330908315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total,496.76949095251615,1.2985298258988351,0.00046928985772691403,0.001989626204206836,8.353655026369311e-07,1.300519452103042,0.00047012522322955095,0.001989626204206836,5.1647963605819315e-06,7.41800994496327e-05,3.6507156087993046e-08,0.3210048662022041
