fertile_kgm3,void_cell,cellfrom,leakage,leakage_stdev
750,99,"[22, 23]",0.05347161083830568,2.903431454275745e-05
750,98,[23],0.007895738474397474,8.543444767104203e-06
750,total,,0.06136734931270315,3.0265192374348736e-05
