cell,flux,tbr,tbr_stdev,"U238(n,g)","U238(n,g)_stdev",Pu239_kg/yr,Pu239_kg/yr_stdev,"Li6(n,t)","Li6(n,t)_stdev","Li7(n,t)","Li7(n,t)_stdev","U238(n,fis)","U238(n,fis)_stdev",heating [MW],heating_stdev,fisq [MW],fisq_stdev
11,3.082908585441133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.415086833243837,0.060619101515769276,0.0,0.0
21,6.152120985157799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.16498018731082,0.1001724527615536,0.0,0.0
12,30.72153622827748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.67646154015647,0.07737119892504907,0.0,0.0
22,6.169776507458411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.57815874884068,0.07858355622110152,0.0,0.0
31,270.16517503619474,0.8200113176189623,0.002462521096975568,1.1718203540315387e-05,4.4926478157015584e-08,0.052027650937441584,0.00019946906668416605,0.8182221749121805,0.0024557002407885674,0.0017891427067817291,6.820856187000407e-06,5.381237511679218e-06,1.8407599058152044e-08,518.7232799582473,0.9388572588603299,0.06516118175252204,0.00019774076280204054
23,27.437967765751754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.88997951013209,0.13366324642681712,0.0,0.0
32,119.06748514802365,0.42764206323032944,0.0019823334813967052,6.779063169420819e-06,6.26336904650035e-08,0.030098362009847814,0.00027808731715793874,0.42746080498242106,0.001979591875233641,0.00018125824790840296,2.7416061630643675e-06,8.520929500098539e-07,8.084472498221136e-09,165.87443963719718,0.7146115946238734,0.01272252603122078,9.29816159317818e-05
24,10.290235845234522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8117087134424956,0.08016058873074974,0.0,0.0
41,1.6727050649760014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.336812690974359,0.04396565670031947,0.0,0.0
42,13.61355468359541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.080089660744777,0.15801450167832307,0.0,0.0
25,7.491512854926712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.494445305737558,0.03723504608224302,0.0,0.0
33,30.97955536280979,0.1262780292257339,0.000904393331123444,2.2210648124349942e-06,1.082068568617338e-07,0.009861305478543678,0.0004804276149045685,0.12626292745767603,0.000903689340018117,1.5101768057865782e-05,7.039911053269694e-07,9.888170712036029e-08,2.1286027363662784e-09,41.924145497675156,0.258631578725013,0.002061212928805344,2.3301327641956713e-05
26,6.7440773332686925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1863447912335623,0.05462706036398408,0.0,0.0
43,1.083968386043683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8159610584977629,0.03246395991631158,0.0,0.0
44,7.968315333557055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.703774235636438,0.12317107190803134,0.0,0.0
total,542.6408951207169,1.3739314100750257,0.005349247909495717,2.0718331522171203e-05,2.157670254837529e-07,0.09198731842583308,0.0009579839987466733,1.3719459073522777,0.005338981456040325,0.001985502722747998,1.0266453455391744e-05,6.332212168809433e-06,2.8620674292739458e-08,890.6756683690704,2.8921478734394688,0.07994492071254816,0.0003140237063757791
