filename,fertile_kg/m3,fertile_mt,energy mid [eV],mean
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,3.586115924678892e-05,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,3.66958572497284e-05,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,3.754998353582282e-05,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,3.842399031435629e-05,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,3.931834032015625e-05,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,4.02335070585842e-05,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,4.116997505622872e-05,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,4.21282401174336e-05,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,4.31088095867969e-05,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,4.411220261777985e-05,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,4.513895044756785e-05,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,4.6189596678329136e-05,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,4.726469756501989e-05,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,4.836482230988834e-05,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,4.9490553363833605e-05,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,5.064248673477896e-05,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,5.182123230322274e-05,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,5.302741414513394e-05,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,5.4261670862363546e-05,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,5.552465592074622e-05,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,5.681703799607187e-05,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,5.813950132810997e-05,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,5.9492746082873886e-05,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,6.08774887233173e-05,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,6.229446238865896e-05,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,6.374441728253646e-05,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,6.522812107019465e-05,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,6.674635928491887e-05,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,6.829993574392839e-05,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,6.988967297394993e-05,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,7.151641264669693e-05,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,7.318101602448479e-05,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,7.488436441621836e-05,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,7.662735964399274e-05,0.0
