filename,fertile_kg/m3,fertile_mt,"Li6(n,t)","Li7(n,Xt)","Th232(n,g)",tbr,U233_kg/yr
tallies_FLiBe_900K_Li07.5_Th232_000.00kgm3,0.0,0.0,1.0585944920177588,0.1085055536194751,0.0,1.167100045637234,0.0
tallies_FLiBe_900K_Li07.5_Th232_000.10kgm3,0.1,0.07718000000000001,1.0585038720264908,0.1085031614678265,9.145593825662494e-05,1.1670070334943172,0.395763842880778
tallies_FLiBe_900K_Li07.5_Th232_000.50kgm3,0.5,0.38589999999999997,1.0583260632490497,0.1084922157036098,0.000456444624843,1.166818278952659,1.975205571488288
tallies_FLiBe_900K_Li07.5_Th232_001.50kgm3,1.5,1.1576999999999997,1.0573712839183191,0.1084711356628563,0.001363627660535,1.1658424195811754,5.900923805270633
tallies_FLiBe_900K_Li07.5_Th232_003.00kgm3,3.0,2.3153999999999995,1.0558853215314483,0.108437183539142,0.0027077049249903,1.1643225050705903,11.717245778994066
tallies_FLiBe_900K_Li07.5_Th232_007.50kgm3,7.5,5.7885,1.05280593328614,0.1083332393653924,0.0066332463863594,1.1611391726515323,28.70452297230137
tallies_FLiBe_900K_Li07.5_Th232_015.00kgm3,15.0,11.577,1.0469609860475246,0.1081647479747401,0.012893270171823,1.155125734022265,55.793973007883714
tallies_FLiBe_900K_Li07.5_Th232_030.00kgm3,30.0,23.154,1.0368406535210717,0.1078177831185794,0.0244596841487742,1.1446584366396508,105.846146011932
tallies_FLiBe_900K_Li07.5_Th232_045.00kgm3,45.0,34.731,1.0283066606558604,0.1074795209275566,0.0350263891794681,1.1357861815834172,151.57220677138318
tallies_FLiBe_900K_Li07.5_Th232_060.00kgm3,60.0,46.308,1.0203077372528826,0.1071491118762938,0.0449758693895597,1.1274568491291763,194.6273062834901
tallies_FLiBe_900K_Li07.5_Th232_075.00kgm3,75.0,57.885,1.0121027565231462,0.1068092553983522,0.0542358415191264,1.1189120119214984,234.6986480118196
tallies_FLiBe_900K_Li07.5_Th232_090.00kgm3,90.0,69.462,1.0051852264870478,0.1064629842392794,0.0632309655456835,1.1116482107263272,273.6238935431734
tallies_FLiBe_900K_Li07.5_Th232_105.00kgm3,105.0,81.039,0.9983054203344194,0.1061199333310543,0.0716159278305928,1.1044253536654738,309.90874239546446
tallies_FLiBe_900K_Li07.5_Th232_120.00kgm3,120.0,92.616,0.9913397749686722,0.1057920708566826,0.0795909258464719,1.0971318458253547,344.41952345458594
tallies_FLiBe_900K_Li07.5_Th232_135.00kgm3,135.0,104.193,0.9843956050677763,0.1054598604241851,0.0872730208567164,1.0898554654919614,377.66280432387777
tallies_FLiBe_900K_Li07.5_Th232_150.00kgm3,150.0,115.77,0.9779824670321956,0.1051174742490542,0.0946797876841318,1.08309994128125,409.7146377949256
tallies_FLiBe_900K_Li07.5_Th232_250.00kgm3,250.0,192.95,0.9411000559000864,0.1029611165456665,0.1384342427965154,1.0440611724457527,599.0564304496748
tallies_FLiBe_900K_Li07.5_Th232_500.00kgm3,500.0,385.9,0.8749447275035627,0.0979507569682175,0.2240626672355843,0.9728954844717804,969.6024547082736
tallies_FLiBe_900K_Li07.5_Th232_750.00kgm3,750.0,578.85,0.8215433415605956,0.0933825036134534,0.2906435043984118,0.914925845174049,1257.7224880279375
tallies_FLiBe_900K_Li07.5_Th232_999.99kgm3,999.99,771.792282,0.7785065344341352,0.0891991860424447,0.3467865785398791,0.86770572047658,1500.6744405957415
tallies_FLiBe_900K_Li30.0_Th232_000.00kgm3,0.0,0.0,1.1320761452591366,0.0811482788248407,0.0,1.2132244240839771,0.0
tallies_FLiBe_900K_Li30.0_Th232_000.10kgm3,0.1,0.07718000000000001,1.1320637728433838,0.0811470606187978,1.687025369223909e-05,1.2132108334621816,0.073003859113878
tallies_FLiBe_900K_Li30.0_Th232_000.50kgm3,0.5,0.38589999999999997,1.131986482518125,0.0811408976920741,8.431706524499506e-05,1.213127380210199,0.3648712855381075
tallies_FLiBe_900K_Li30.0_Th232_001.50kgm3,1.5,1.1576999999999997,1.1319394236184557,0.0811226603618263,0.0002527824301112,1.213062083980282,1.0938835450232225
tallies_FLiBe_900K_Li30.0_Th232_003.00kgm3,3.0,2.3153999999999995,1.131685209165663,0.0810977689068506,0.0005048416165566,1.2127829780725137,2.1846373458436
tallies_FLiBe_900K_Li30.0_Th232_007.50kgm3,7.5,5.7885,1.131260315330296,0.0810213669965052,0.0012583033136892,1.2122816823268012,5.44514620294995
tallies_FLiBe_900K_Li30.0_Th232_015.00kgm3,15.0,11.577,1.1304247782476329,0.0808933617788922,0.002502498127029,1.211318140026525,10.82923968016071
tallies_FLiBe_900K_Li30.0_Th232_030.00kgm3,30.0,23.154,1.12887114505456,0.0806339132520472,0.0049592132093176,1.2095050583066072,21.460359106233227
tallies_FLiBe_900K_Li30.0_Th232_045.00kgm3,45.0,34.731,1.127383885406222,0.0803804927897527,0.0073779270034946,1.2077643781959748,31.927032831959345
tallies_FLiBe_900K_Li30.0_Th232_060.00kgm3,60.0,46.308,1.126116280998887,0.0801310220659173,0.0097607994253618,1.2062473030648044,42.23860761594536
tallies_FLiBe_900K_Li30.0_Th232_075.00kgm3,75.0,57.885,1.1248889454103406,0.079879771691038,0.0121077170854913,1.2047687171013788,52.39459277998488
tallies_FLiBe_900K_Li30.0_Th232_090.00kgm3,90.0,69.462,1.1233728288231992,0.0796308013842335,0.0144234056853696,1.2030036302074327,62.41543819115393
tallies_FLiBe_900K_Li30.0_Th232_105.00kgm3,105.0,81.039,1.121958392397874,0.0793798179311554,0.0167139975342339,1.2013382103290295,72.32768063116022
tallies_FLiBe_900K_Li30.0_Th232_120.00kgm3,120.0,92.616,1.1205557227861191,0.0791367505510463,0.0189746118558839,1.1996924733371654,82.11019916699435
tallies_FLiBe_900K_Li30.0_Th232_135.00kgm3,135.0,104.193,1.1191526710337685,0.0788965310624503,0.0212185017830269,1.1980492020962186,91.82034503063085
tallies_FLiBe_900K_Li30.0_Th232_150.00kgm3,150.0,115.77,1.1176515956028683,0.0786502040562998,0.0234215588453606,1.1963017996591685,101.35379190893318
tallies_FLiBe_900K_Li30.0_Th232_250.00kgm3,250.0,192.95,1.1094411117885947,0.0770695592254245,0.0377236916663442,1.1865106710140192,163.24443733363054
tallies_FLiBe_900K_Li30.0_Th232_500.00kgm3,500.0,385.9,1.0901973393028292,0.0733774636473094,0.0708358979212431,1.163574802950139,306.5332630075657
tallies_FLiBe_900K_Li30.0_Th232_750.00kgm3,750.0,578.85,1.0720279137865505,0.07000534984668,0.1012468276803274,1.1420332636332304,438.1326611052696
tallies_FLiBe_900K_Li30.0_Th232_999.99kgm3,999.99,771.792282,1.054628491744643,0.0669309438950252,0.129643219426717,1.121559435639668,561.0144043329717
