energy mid [eV],energy low [eV],energy high [eV],mean,filename,fertile_kg/m3,fertile_mt,br_vol_m3
0.0640896046882892,0.0626168589505461,0.0655623504260323,1.6519999999999998e-05,tallies_FLiBe_900K_Li00.0_U238_500.00kgm3_4e6x25,500.0,349.58271840401363,699.1654368080273
0.0671043739922833,0.0655623504260323,0.0686463975585343,1.779e-05,tallies_FLiBe_900K_Li00.0_U238_500.00kgm3_4e6x25,500.0,349.58271840401363,699.1654368080273
0.0702609577761842,0.0686463975585343,0.0718755179938341,2.01e-05,tallies_FLiBe_900K_Li00.0_U238_500.00kgm3_4e6x25,500.0,349.58271840401363,699.1654368080273
0.0735660269805129,0.0718755179938341,0.0752565359671917,2.1719999999999995e-05,tallies_FLiBe_900K_Li00.0_U238_500.00kgm3_4e6x25,500.0,349.58271840401363,699.1654368080273
0.0770265663462391,0.0752565359671917,0.0787965967252864,2.317e-05,tallies_FLiBe_900K_Li00.0_U238_500.00kgm3_4e6x25,500.0,349.58271840401363,699.1654368080273
0.0806498891759262,0.0787965967252864,0.0825031816265661,2.442e-05,tallies_FLiBe_900K_Li00.0_U238_500.00kgm3_4e6x25,500.0,349.58271840401363,699.1654368080273
0.0844436527892402,0.0825031816265661,0.0863841239519143,2.631e-05,tallies_FLiBe_900K_Li00.0_U238_500.00kgm3_4e6x25,500.0,349.58271840401363,699.1654368080273
0.0884158747054826,0.0863841239519143,0.090447625459051,2.885999999999999e-05,tallies_FLiBe_900K_Li00.0_U238_500.00kgm3_4e6x25,500.0,349.58271840401363,699.1654368080273
0.0925749495873501,0.090447625459051,0.0947022737156492,2.9829999999999997e-05,tallies_FLiBe_900K_Li00.0_U238_500.00kgm3_4e6x25,500.0,349.58271840401363,699.1654368080273
0.0969296669817256,0.0947022737156492,0.099157060247802,3.254e-05,tallies_FLiBe_900K_Li00.0_U238_500.00kgm3_4e6x25,500.0,349.58271840401363,699.1654368080273
0.1014892298949958,0.099157060247802,0.1038213995421897,3.631999999999999e-05,tallies_FLiBe_900K_Li00.0_U238_500.00kgm3_4e6x25,500.0,349.58271840401363,699.1654368080273
0.1062632742421494,0.1038213995421897,0.108705148942109,3.727e-05,tallies_FLiBe_900K_Li00.0_U238_500.00kgm3_4e6x25,500.0,349.58271840401363,699.1654368080273
0.1112618892107587,0.108705148942109,0.1138186294794084,3.846e-05,tallies_FLiBe_900K_Li00.0_U238_500.00kgm3_4e6x25,500.0,349.58271840401363,699.1654368080273
