filename,fertile_kg/m3,fertile_mt,"Li6(n,t)","Li7(n,Xt)","Th232(n,g)",tbr,U233_kg/yr
tallies_DCLL_900K_Li90.0_Th232_000.00kgm3,0.0,0.0,1.3809115979240694,0.0019830993636937,0.0,1.3828946972877634,0.0
tallies_DCLL_900K_Li90.0_Th232_000.10kgm3,0.1,0.03452584000000001,1.3807729300809932,0.001982995010612,2.6736055677755632e-05,1.3827559250916055,0.1156968518415099
tallies_DCLL_900K_Li90.0_Th232_000.50kgm3,0.5,0.17262920000000004,1.3849951305212551,0.0019827128302909,0.0001342647492685,1.386977843351546,0.5810134819768806
tallies_DCLL_900K_Li90.0_Th232_001.50kgm3,1.5,0.5178876,1.3803742142615565,0.001982215575041,0.0004009160138006,1.3823564298365976,1.7349126291721615
tallies_DCLL_900K_Li90.0_Th232_003.00kgm3,3.0,1.0357752,1.3790309065192103,0.0019813658270421,0.0008016028837288,1.3810122723462526,3.468833667625129
tallies_DCLL_900K_Li90.0_Th232_007.50kgm3,7.5,2.5894380000000004,1.3771579466317487,0.0019790924071318,0.0020030298113696,1.3791370390388806,8.667854604782779
tallies_DCLL_900K_Li90.0_Th232_015.00kgm3,15.0,5.178876000000001,1.3744872573902531,0.0019757911598876,0.0040040357915603,1.3764630485501408,17.32695133971034
tallies_DCLL_900K_Li90.0_Th232_030.00kgm3,30.0,10.357752000000001,1.3710632717967175,0.0019677302474418,0.0080195186084154,1.3730310020441594,34.7034382132151
tallies_DCLL_900K_Li90.0_Th232_045.00kgm3,45.0,15.536628000000002,1.372012398639458,0.0019605598882733,0.0120955715265456,1.3739729585277316,52.34203443140859
tallies_DCLL_900K_Li90.0_Th232_060.00kgm3,60.0,20.715504000000003,1.371431203341884,0.0019525343290735,0.016189316635545,1.3733837376709577,70.05719133642901
tallies_DCLL_900K_Li90.0_Th232_075.00kgm3,75.0,25.894380000000005,1.353321632685883,0.0019447928239363,0.019983411065166,1.3552664255098197,86.47564835893527
tallies_DCLL_900K_Li90.0_Th232_090.00kgm3,90.0,31.073256000000004,1.3531901198781189,0.0019367483996667,0.0241076507238268,1.3551268682777855,104.32276651645584
tallies_DCLL_900K_Li90.0_Th232_105.00kgm3,105.0,36.252132,1.3433441093770082,0.0019290927928682,0.0279839001514812,1.3452732021698766,121.09673875594356
tallies_DCLL_900K_Li90.0_Th232_120.00kgm3,120.0,41.431008000000006,1.3368868100021325,0.0019217067292103,0.0319275951100405,1.3388085167313428,138.16257288001577
tallies_DCLL_900K_Li90.0_Th232_135.00kgm3,135.0,46.60988400000001,1.3326137658337736,0.0019137590952574,0.0359526776096923,1.334527524929031,155.58060114959076
tallies_DCLL_900K_Li90.0_Th232_150.00kgm3,150.0,51.78876000000001,1.326312565380252,0.0019068909567246,0.039902804567973,1.3282194563369767,172.6742689275043
tallies_DCLL_900K_Li90.0_Th232_250.00kgm3,50.0,17.26292,1.2924125843096332,0.0018555966595405,0.0665006675155936,1.2942681809691738,287.7731094536312
tallies_DCLL_900K_Li90.0_Th232_500.00kgm3,500.0,172.62920000000003,1.2116200583549117,0.0017293913553667,0.1332193390402746,1.2133494497102786,576.4896032959035
tallies_DCLL_900K_Li90.0_Th232_750.00kgm3,750.0,258.94380000000007,1.1236473616530809,0.001604109317574,0.1979263585820916,1.125251470970655,856.5009311921108
tallies_DCLL_900K_Li90.0_Th232_999.99kgm3,999.99,345.25494741600005,1.0313991191296137,0.0014822695767479,0.2591122503327097,1.0328813887063617,1121.2750301835208
