filename,fertile_kg/m3,fertile_mt,"Li6(n,t)","Li6(n,t)_sd","Li7(n,Xt)","Li7(n,Xt)_sd","Be9(n,2n)","Be9(n,2n)_sd","Pb(n,2n)","Pb(n,2n)_sd","U238(n,g)","U238(n,g)_sd","Th232(n,g)","Th232(n,g)_sd","U235(n,inel)","U235(n,inel)_sd","U238(n,inel)","U238(n,inel)_sd","Th232(n,inel)","Th232(n,inel)_sd","U235(n,el)","U235(n,el)_sd","U238(n,el)","U238(n,el)_sd","Th232(n,el)","Th232(n,el)_sd","Li6(n,el)","Li6(n,el)_sd","Li7(n,el)","Li7(n,el)_sd","Be9(n,el)","Be9(n,el)_sd","Pb(n,el)","Pb(n,el)_sd","tot(n,fis)","tot(n,fis)_sd","tot(n,nufis)","tot(n,nufis)_sd",tbr,tbr_sd,Pu239_kg/yr,Pu239_kg/yr_sd,U233_kg/yr,U233_kg/yr_sd,leak [n/src-n],leak_sd,heat [MW],heat_sd,fisq [MW],fisq_sd
tallies_DCLL_900K_Li90.0_U238_0000.00kgm3_4e5x25,0.0,0.0,1.3710474421887962,0.0005598972740397,0.0019833988885737,9.12952541419337e-07,0.0,0.0,0.5760016478237079,0.0001728106499692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5344595145331663,0.0006794571102332,0.2650606404183178,6.822796222990076e-05,0.0,0.0,71.88099002530114,0.0141656767522716,0.0,0.0,0.0,0.0,1.37303084107737,0.0005608102265811,0.0,0.0,0.0,0.0,0.1731427630135462,0.0001272123556854,725.4290963454484,0.2071893674870722,0.0,0.0
tallies_DCLL_900K_Li90.0_U238_0000.01kgm3_4e5x25,0.01,0.0034525840000000007,1.3710240239482323,0.0005625183754159,0.0019833971735137,9.119654528983988e-07,0.0,0.0,0.5759993951025472,0.0001726009857911,2.07336639465593e-06,1.737353797014879e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.788913732445726e-07,1.593882369023644e-10,7.826227365154651e-05,2.7505486491160376e-08,0.0,0.0,2.534441521781588,0.0006833178747276,0.2650586842962153,6.855678851576596e-05,0.0,0.0,71.88049471646487,0.0141794818225477,7.399928755590974e-07,2.5219883435209016e-10,2.459062267012582e-06,8.120323809417378e-10,1.3730074211217462,0.0005634303408688,0.0092055392855616,7.713676980857092e-06,0.0,0.0,0.1731477118892271,0.0001276807181566,725.4320024047332,0.2067313303180386,0.0080293776592385,2.830675017829957e-06
tallies_DCLL_900K_Li90.0_U238_0000.10kgm3_4e5x25,0.1,0.03452584000000001,1.370991724621855,0.0005614987773049,0.0019833671910613,9.136075628682288e-07,0.0,0.0,0.5759849035930343,0.0001727843789797,2.0733496057404293e-05,1.6598765376888693e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.788801336261903e-06,1.622520115899473e-09,0.000782603009045,2.771091814494705e-07,0.0,0.0,2.534375383232917,0.0006927035450564,0.2650462354220796,7.026954085032485e-05,0.0,0.0,71.87752524593901,0.0144394257640757,7.399663855118719e-06,2.52319936102546e-09,2.45899138529736e-05,8.110066177939021e-09,1.3729750918129164,0.0005624123848678,0.0920546474445706,7.369685703530737e-05,0.0,0.0,0.1731109529333926,0.0001281241802999,725.501735639444,0.2077222170098297,0.0802908389169393,2.837043496367944e-05
tallies_DCLL_900K_Li90.0_U238_0001.00kgm3_4e5x25,1.0,0.3452584000000001,1.3709927574109728,0.0005393186205299,0.0019829512113497,9.088431402865896e-07,0.0,0.0,0.5758596497028274,0.0001725938161355,0.000207399327625,1.769523915053342e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.788837203374635e-05,1.5412602263520416e-08,0.0078264367032892,2.651433560445422e-06,0.0,0.0,2.533859924782813,0.0006783834641875,0.2649983074016361,6.95834852160908e-05,0.0,0.0,71.86339920856142,0.0138072135464132,7.398526066298872e-05,2.4824567078486913e-08,0.0002458676564282,7.964892785575388e-08,1.3729757086223224,0.0005402274636702,0.9208322577103316,0.0007856509085297,0.0,0.0,0.1730028522720335,0.0001498380773226,726.3068172412525,0.1933482262656407,0.8027823207274031,0.0002774834323209
tallies_DCLL_900K_Li90.0_U238_0010.00kgm3_4e5x25,10.0,3.4525840000000008,1.3703531506418611,0.0005532823283897,0.0019790655929174,9.096013805984424e-07,0.0,0.0,0.5745838300841617,0.0001739442212283,0.0020756955555154,1.253176974594124e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004790665027432,1.6659869994150437e-07,0.0782911725370387,2.7707559108729588e-05,0.0,0.0,2.526101340158443,0.0007168024401221,0.2643170479611248,7.369427885947787e-05,0.0,0.0,71.73966990520228,0.0151861723141836,0.0007391551596129,2.319284549271807e-07,0.0024566778556213,7.692711973572296e-07,1.3723322162347784,0.0005541919297703,9.21588052667084,0.0055639803467065,0.0,0.0,0.1721633596945164,0.0001398816087602,734.1830457018226,0.218006275993822,8.02010497264511,0.0026673644656741
tallies_DCLL_900K_Li90.0_U238_0025.00kgm3_4e5x25,25.0,8.63146,1.368505289131697,0.0005323895661059,0.0019728130227208,9.166077054271e-07,0.0,0.0,0.572547675615104,0.0001722389867849,0.0051945075897082,3.231970347962886e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011975282155333,4.0854961163395234e-07,0.1956887145724283,6.911847179940447e-05,0.0,0.0,2.5131059186349325,0.0007218715819975,0.2631378151209242,7.470116412231773e-05,0.0,0.0,71.4857432816091,0.0147959177327429,0.0018449211142758,5.740738294827525e-07,0.0061334224139222,1.9111084512641795e-06,1.3704781021544177,0.0005333061738113,23.06309382145777,0.0143496248828127,0.0,0.0,0.1707351360818018,0.0001579504653901,747.0945598698113,0.1943765395033785,20.01737891486872,0.0063722301317639
tallies_DCLL_900K_Li90.0_U238_0050.00kgm3_4e5x25,50.0,17.26292,1.3658777212991169,0.0005938616501564,0.0019621358399586,8.954367659475009e-07,0.0,0.0,0.5690926404860726,0.0001693372275556,0.0104256973702487,7.4024342400190466e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023954794669528,8.879365900523002e-07,0.3914433257324469,0.0001570214451247,0.0,0.0,2.49154221174651,0.0006773985131775,0.2611797234192696,7.370014361025554e-05,0.0,0.0,71.08745637197846,0.0158906369182024,0.0036810671268375,1.137927436747784e-06,0.0122418593926514,3.763061206462874e-06,1.3678398571390755,0.0005947570869223,46.28905289898259,0.0328660671750638,0.0,0.0,0.1682402701696486,0.0001615759223124,768.6437977810583,0.2301305075484984,39.93761750901775,0.0131210409168004
tallies_DCLL_900K_Li90.0_U238_0075.00kgm3_4e5x25,75.0,25.894380000000005,1.36290398686169,0.000596279965401,0.0019512084769402,9.31184878915734e-07,0.0,0.0,0.5655786881725046,0.0001657683501598,0.0156963286742288,1.0456825203165865e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035931146991591,1.3876012682771405e-06,0.5871356771487861,0.0002397454322501,0.0,0.0,2.4701931018255725,0.0008415770279778,0.2592079763881179,8.422251389561254e-05,0.0,0.0,70.67448666224304,0.0165240177597189,0.0055056938250334,1.7951685957315803e-06,0.018317703162537,5.93915804398449e-06,1.3648551953386303,0.00059721115028,69.69012839319181,0.046427257361798,0.0,0.0,0.165861648768784,0.0001893991217567,789.921432515973,0.2364610302958338,59.73040183925568,0.0201616685661538
tallies_DCLL_900K_Li90.0_U238_0100.00kgm3_4e5x25,100.0,34.52584,1.3606726447351796,0.000578745332537,0.0019407876606733,9.579206039910303e-07,0.0,0.0,0.5621299766942844,0.0001664527222867,0.0210289482102906,1.2365415802874382e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0047926980028687,1.741262672499659e-06,0.7832450154687024,0.0002962432522062,0.0,0.0,2.449452359225594,0.0007376467084385,0.2573170557608841,7.801633068504179e-05,0.0,0.0,70.28954543792597,0.0154217560334997,0.0073242434517117,2.259512141111334e-06,0.0243762028628966,7.730532687249524e-06,1.362613432395853,0.000579703253141,93.3664254339359,0.0549012086088886,0.0,0.0,0.163254451978559,0.0001653500879872,811.4710549605007,0.2430407539873434,79.4557403070322,0.0256578918555812
tallies_DCLL_900K_Li90.0_U238_0150.00kgm3_4e5x25,150.0,51.78876000000001,1.3540219337363486,0.0005822459025228,0.0019196488216132,9.212596411444148e-07,0.0,0.0,0.5551579549994425,0.0001591949790983,0.0317790569107761,1.995958444379349e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0071866031238179,2.5581935677144435e-06,1.1744897599258155,0.0004387748420806,0.0,0.0,2.407001248963585,0.0006771097724922,0.2534054954191555,7.268257558096504e-05,0.0,0.0,69.44897549019616,0.0148548603044279,0.0109319309962991,3.439798545763777e-06,0.0364091748958965,1.1433330009894346e-05,1.355941582557962,0.000583167162164,141.09583217142614,0.0886185573347813,0.0,0.0,0.159275661049189,0.0001659467987346,853.5387291192379,0.2272995027231101,118.581364444788,0.0375744899324055
