filename,fertile_kg/m3,fertile_mt,"Li6(n,t)","Li7(n,Xt)","Th232(n,g)",tbr,Pu239_kg/yr
tallies_ARCBall_900K_Li07.5_Th000.00kgm3,0.0,0.0,1.0692586839658822,0.1049232056382666,0.0,1.1741818896041487,
tallies_ARCBall_900K_Li07.5_Th000.03kgm3,0.03,0.0096,1.069258009675445,0.1049220864982187,3.1052847932230595e-05,1.174180096173664,
tallies_ARCBall_900K_Li07.5_Th000.30kgm3,0.3,0.096,1.0689093463018515,0.1049085812080946,0.0003100679079729,1.1738179275099463,
tallies_ARCBall_900K_Li07.5_Th000.60kgm3,0.6,0.192,1.068912276743659,0.1048945029806686,0.0006186652191658,1.1738067797243277,
tallies_ARCBall_900K_Li07.5_Th001.50kgm3,1.5,0.48,1.068614554162103,0.1048665181375997,0.0015403362179976,1.1734810722997029,
tallies_ARCBall_900K_Li07.5_Th003.00kgm3,3.0,0.96,1.0674037899241626,0.1048231488387199,0.0030545730867214,1.1722269387628823,
tallies_ARCBall_900K_Li07.5_Th007.50kgm3,7.5,2.4,1.0634872395491788,0.1046794198291843,0.0074535622240772,1.168166659378363,
tallies_ARCBall_900K_Li07.5_Th015.00kgm3,15.0,4.8,1.057643806110999,0.1044565869296596,0.0144470730608216,1.1621003930406586,
tallies_ARCBall_900K_Li07.5_Th030.00kgm3,30.0,9.6,1.0468345266840062,0.1040230978540573,0.027269014541403,1.1508576245380635,
tallies_ARCBall_900K_Li07.5_Th045.00kgm3,45.0,14.4,1.035283236336061,0.1035839863550466,0.0389424166925404,1.1388672226911074,
tallies_ARCBall_900K_Li07.5_Th060.00kgm3,60.0,19.2,1.0249719327609643,0.1031303206208999,0.0497243152144702,1.1281022533818643,
tallies_ARCBall_900K_Li07.5_Th075.00kgm3,75.0,24.0,1.0151211471346733,0.1026826640188487,0.0598440393473365,1.1178038111535218,
tallies_ARCBall_900K_Li07.5_Th090.00kgm3,90.0,28.8,1.007377503422031,0.102229308280312,0.0695502830275787,1.109606811702343,
tallies_ARCBall_900K_Li07.5_Th105.00kgm3,105.0,33.6,0.9993479233819516,0.1017968600980693,0.0786997145354485,1.101144783480021,
tallies_ARCBall_900K_Li07.5_Th120.00kgm3,120.0,38.4,0.9931941407421836,0.1013547476711764,0.0875377160617541,1.09454888841336,
tallies_ARCBall_900K_Li07.5_Th135.00kgm3,135.0,43.2,0.9865093446389502,0.1009027779038441,0.0960307907853352,1.0874121225427944,
tallies_ARCBall_900K_Li07.5_Th150.00kgm3,150.0,48.0,0.9789319922844534,0.1005045596118485,0.1041702950041148,1.079436551896302,
