filename,fertile_kg/m3,fertile_mt,tbr,Pu239_kg/yr
tallies_FLiBe_294K_Li07.5_U000.00kgm3,0.0,0.0,1.1723418662576162,0.0
tallies_FLiBe_294K_Li07.5_U000.03kgm3,0.03,0.023153999999999997,1.1723007877954454,0.2019162406969449
tallies_FLiBe_294K_Li07.5_U000.30kgm3,0.3,0.23153999999999997,1.1717956949724655,2.00328535509475
tallies_FLiBe_294K_Li07.5_U000.60kgm3,0.6,0.46307999999999994,1.1712714169281504,3.975409527449567
tallies_FLiBe_294K_Li07.5_U001.50kgm3,1.5,1.1576999999999997,1.1699998409272443,9.717442027701235
tallies_FLiBe_294K_Li07.5_U003.00kgm3,3.0,2.3153999999999995,1.1685429743526832,18.73625638174192
tallies_FLiBe_294K_Li07.5_U007.50kgm3,7.5,5.7885,1.1631592549045402,43.00317678951655
tallies_FLiBe_294K_Li07.5_U015.00kgm3,15.0,11.577,1.1562832831465075,77.24959303897943
tallies_FLiBe_294K_Li07.5_U030.00kgm3,30.0,23.154,1.1465759178308872,133.79863739909263
tallies_FLiBe_294K_Li07.5_U045.00kgm3,45.0,34.731,1.1380494917133888,181.7619205048704
tallies_FLiBe_294K_Li07.5_U060.00kgm3,60.0,46.308,1.1317899650773355,224.64478238498427
tallies_FLiBe_294K_Li07.5_U075.00kgm3,75.0,57.885,1.1267212208440114,264.05047107720446
tallies_FLiBe_294K_Li07.5_U090.00kgm3,90.0,69.462,1.121132209588636,300.90076915255145
tallies_FLiBe_294K_Li07.5_U105.00kgm3,105.0,81.039,1.1151224209763817,336.2752870685101
tallies_FLiBe_294K_Li07.5_U120.00kgm3,120.0,92.616,1.110072401402028,368.0007516232448
tallies_FLiBe_294K_Li07.5_U135.00kgm3,135.0,104.193,1.105597485720385,398.9152755128529
tallies_FLiBe_294K_Li07.5_U150.00kgm3,150.0,115.77,1.1024303724874231,431.28917522205313
