filename,fertile_kg/m3,fertile_mt,"Li6(n,t)","Li7(n,Xt)","Th232(n,g)",tbr,Pu239_kg/yr
tallies_DCLL_900K_Li90.0_Th000.00kgm3,0.0,0.0,1.2994550564303462,0.0019924599814781,0.0,1.3014475164118244,
tallies_DCLL_900K_Li90.0_Th000.10kgm3,0.1,0.042730000000000004,1.2993354022739396,0.0019924038419707,2.465352555278181e-05,1.3013278061159104,
tallies_DCLL_900K_Li90.0_Th000.50kgm3,0.5,0.21365,1.2995409708231789,0.0019922873803002,0.0001233149349593,1.3015332582034789,
tallies_DCLL_900K_Li90.0_Th001.50kgm3,1.5,0.64095,1.299586527978018,0.00199191724623,0.0003701193858653,1.301578445224248,
tallies_DCLL_900K_Li90.0_Th003.00kgm3,3.0,1.2819,1.2988485291819416,0.0019909934998318,0.0007400147325142,1.3008395226817735,
tallies_DCLL_900K_Li90.0_Th007.50kgm3,7.5,3.20475,1.2983333089984432,0.0019887587364833,0.0018510659051262,1.3003220677349263,
tallies_DCLL_900K_Li90.0_Th015.00kgm3,15.0,6.4095,1.2961220470381647,0.0019850765800028,0.0037031315927022,1.2981071236181676,
tallies_DCLL_900K_Li90.0_Th030.00kgm3,30.0,12.819,1.293541806633652,0.0019779916658023,0.0074227237746116,1.2955197982994544,
tallies_DCLL_900K_Li90.0_Th045.00kgm3,45.0,19.2285,1.2927369635992427,0.0019709857892733,0.0111788572061867,1.294707949388516,
tallies_DCLL_900K_Li90.0_Th060.00kgm3,60.0,25.638,1.288292217961582,0.0019638831862346,0.0149088531485117,1.2902561011478169,
tallies_DCLL_900K_Li90.0_Th075.00kgm3,75.0,32.0475,1.2859374584151757,0.0019567729094501,0.0186721150258888,1.2878942313246255,
tallies_DCLL_900K_Li90.0_Th090.00kgm3,90.0,38.457,1.2810215449994065,0.0019500684163717,0.0224082870972394,1.282971613415778,
tallies_DCLL_900K_Li90.0_Th1000.00kgm3,1000.0,427.3,1.0515358080263657,0.0015296830793565,0.2642926013464827,1.0530654911057225,
tallies_DCLL_900K_Li90.0_Th105.00kgm3,105.0,44.8665,1.2803026100088049,0.0019434414536009,0.026248018113238,1.282246051462406,
tallies_DCLL_900K_Li90.0_Th120.00kgm3,120.0,51.276,1.2763732218903785,0.0019359150369137,0.0300254496107828,1.2783091369272923,
tallies_DCLL_900K_Li90.0_Th135.00kgm3,135.0,57.6855,1.271033717151565,0.001929808999922,0.0337756579428496,1.2729635261514871,
tallies_DCLL_900K_Li90.0_Th150.00kgm3,150.0,64.095,1.2677444060565322,0.00192268794735,0.0375670674011146,1.269667094003882,
tallies_DCLL_900K_Li90.0_Th250.00kgm3,250.0,106.825,1.2474211483593942,0.0018763008084252,0.0634013351533266,1.2492974491678197,
tallies_DCLL_900K_Li90.0_Th500.00kgm3,500.0,213.65,1.187806145323474,0.0017594113846667,0.1294684861557461,1.189565556708141,
tallies_DCLL_900K_Li90.0_Th750.00kgm3,750.0,320.475,1.121624563071662,0.0016452036473932,0.1968946030833056,1.1232697667190552,
