filename,fertile_kg/m3,fertile_mt,"Li6(n,t)","Li6(n,t)_sd","Li7(n,Xt)","Li7(n,Xt)_sd","Be9(n,2n)","Be9(n,2n)_sd","Pb(n,2n)","Pb(n,2n)_sd","U238(n,g)","U238(n,g)_sd","Th232(n,g)","Th232(n,g)_sd","U235(n,inel)","U235(n,inel)_sd","U238(n,inel)","U238(n,inel)_sd","Th232(n,inel)","Th232(n,inel)_sd","tot(n,fis)","tot(n,fis)_sd","tot(n,nufis)","tot(n,nufis)_sd",tbr,tbr_sd,Pu239_kg/yr,Pu239_kg/yr_sd,U233_kg/yr,U233_kg/yr_sd,leak [n/src-n],leak_sd,heat [MW],heat_sd,fisq [MW],fisq_sd
tallies_DCLL_900K_Li90.0_U238_000.00kgm3_4e6x25,0.0,0.0,1.3716803124572188,0.000172831305125,0.0019844078690401,2.679221178100308e-07,0.0,0.0,0.5763212111761001,4.89776581052618e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3736647203262589,0.0001730992272429,0.0,0.0,0.0,0.0,0.1728235553706206,4.6013996717747936e-05,890.8201879536965,0.0901252955799842,0.0,0.0
tallies_DCLL_900K_Li90.0_U238_000.10kgm3_4e6x25,0.1,0.03452584000000001,1.3716656122366493,0.0001674946553131,0.0019843673367959,2.6670227116960374e-07,0.0,0.0,0.5763078142264675,4.877116487374273e-05,2.060331996432344e-05,4.430633304782635e-09,0.0,0.0,5.409345133918233e-07,4.923172339858979e-11,0.0,0.0,0.0,0.0,7.349420034336223e-06,7.540804937279298e-10,2.4423749320650267e-05,2.4284662656007604e-09,1.3736499795734454,0.0001677613575843,0.0914766786195788,1.967156844647452e-05,0.0,0.0,0.1728267611827764,4.084832210673384e-05,890.9056595148078,0.0897325347187731,0.0797453811744046,8.369506128181416e-06
tallies_DCLL_900K_Li90.0_U238_000.50kgm3_4e6x25,0.5,0.17262920000000004,1.3716046999373406,0.0001702933110701,0.0019841809499391,2.6899996124520535e-07,0.0,0.0,0.5762462127079546,4.871063777865171e-05,0.0001030062052047,2.1528722646548432e-08,0.0,0.0,2.7040282978805538e-06,2.453187127799509e-10,0.0,0.0,0.0,0.0,3.674113113960883e-05,3.6921336180128302e-09,0.0001221003473479,1.1934142107800083e-08,1.3735888808872798,0.0001705623110314,0.4573372420391888,9.558537391248188e-05,0.0,0.0,0.1728151780317881,4.4801223008917566e-05,891.2445081687212,0.0886455136442299,0.3986615560646254,4.091506229919543e-05
tallies_DCLL_900K_Li90.0_U238_001.00kgm3_4e6x25,1.0,0.3452584000000001,1.371543505966662,0.000165435156992,0.0019839367138895,2.724977712331009e-07,0.0,0.0,0.5761699615540237,4.882320270578858e-05,0.000205981251151,4.435052511325217e-08,0.0,0.0,5.406400760152718e-06,4.887258830098388e-10,0.0,0.0,0.0,0.0,7.34682921009815e-05,7.366074976222022e-09,0.0002441570710935,2.3865007290238134e-08,1.3735274426805513,0.0001657076547632,0.9145361400897616,0.0001969118928124,0.0,0.0,0.172839896619271,4.600961119334601e-05,891.6748783251912,0.0866631196318557,0.797170325826893,8.169500597935751e-05
tallies_DCLL_900K_Li90.0_U238_010.00kgm3_4e6x25,10.0,3.4525840000000008,1.369697743110765,0.0001864737392794,0.0019797355639389,2.718232441968376e-07,0.0,0.0,0.5748170681443826,4.753252094675162e-05,0.0020558798568377,4.216295105617486e-07,0.0,0.0,5.376778303216956e-05,5.032869185918864e-09,0.0,0.0,0.0,0.0,0.0007323174574151,7.262126768184854e-08,0.0024341628075592,2.3563545685523214e-07,1.371677478674704,0.0001867455625236,9.12790080773693,0.0018719928293582,0.0,0.0,0.1727555022539408,5.332916309103539e-05,899.1768389001729,0.0984398692175146,7.945847932653518,0.0008143016197484
tallies_DCLL_900K_Li90.0_U238_025.00kgm3_4e6x25,25.0,8.63146,1.3665500130816086,0.0001712362591588,0.0019727188651985,2.6008577041399334e-07,0.0,0.0,0.572563854530496,4.556630585451404e-05,0.0051243890338016,1.0791263563456069e-06,0.0,0.0,0.0001331994328385,1.3840531598573093e-08,0.0,0.0,0.0,0.0,0.0018208722894001,1.8679616470442078e-07,0.0060543751113087,5.987305802510438e-07,1.368522731946807,0.0001714963449292,22.751774450839783,0.0047912130210217,0.0,0.0,0.1728229244105521,5.2969747935894446e-05,911.5682677714624,0.0918033222545558,19.756166236459745,0.0020583714953262
tallies_DCLL_900K_Li90.0_U238_050.00kgm3_4e6x25,50.0,17.26292,1.3615779251308435,0.0001759668340107,0.0019610561442881,2.516932405020467e-07,0.0,0.0,0.568835263245145,4.524750679453486e-05,0.0102099496063416,1.867317619454315e-06,0.0,0.0,0.0002624002317672,2.4269472648414586e-08,0.0,0.0,0.0,0.0,0.0036091934353966,3.4113046290860226e-07,0.012006725713863,1.099499073486893e-06,1.3635389812751315,0.0001762185272513,45.3311544197085,0.0082907033454454,0.0,0.0,0.1727338484843423,4.5131997308818766e-05,931.9616355398452,0.0953048347791375,39.15656749527043,0.0038989592620966
tallies_DCLL_900K_Li90.0_U238_075.00kgm3_4e6x25,75.0,25.894380000000005,1.3564673024868183,0.0001870352733872,0.0019495674339644,2.778005798996227e-07,0.0,0.0,0.5651560079154855,4.831977899711433e-05,0.0152605868946771,3.06111570367339e-06,0.0,0.0,0.0003878428677317,3.9657949184119595e-08,0.0,0.0,0.0,0.0,0.0053664894586595,5.259782232856503e-07,0.0178614381426119,1.7123555179304405e-06,1.3584168699207828,0.0001873130739671,67.75547850190279,0.0135910473616464,0.0,0.0,0.1726738902454301,4.685701216101722e-05,952.0001394795744,0.0965246551027511,58.21803995542339,0.005757908362038
tallies_DCLL_900K_Li90.0_U238_100.00kgm3_4e6x25,100.0,34.52584,1.3512668543527675,0.0001952501781512,0.0019383218210168,2.802842574448542e-07,0.0,0.0,0.5615543479819337,4.620662344080187e-05,0.0202806705541558,4.205606938794255e-06,0.0,0.0,0.0005096663282936,4.5435681987621284e-08,0.0,0.0,0.0,0.0,0.0070935080053197,6.983264353789494e-07,0.0236210622073962,2.2951292879213862e-06,1.3532051761737844,0.0001955304624087,90.04414752984147,0.0186724739025808,0.0,0.0,0.1727486540544926,4.858539111124632e-05,971.647906887392,0.1152477237419412,76.94870532480945,0.0081632973204014
tallies_DCLL_900K_Li90.0_U238_150.00kgm3_4e6x25,150.0,51.78876000000001,1.3411256397937483,0.0001656257100889,0.0019160452174514,2.987040947484956e-07,0.0,0.0,0.5544461882484981,4.9436209363976336e-05,0.030233458106564,5.352819154983416e-06,0.0,0.0,0.0007430993491127,6.586272379982297e-08,0.0,0.0,0.0,0.0,0.0104597397083803,1.1861988285834392e-06,0.0348629017111673,3.904114238351689e-06,1.3430416850112,0.0001659244141836,134.23352816738532,0.0237659813271371,0.0,0.0,0.17278486843479,6.0695798869579816e-05,1009.985767982228,0.1006129652964547,113.45121826091038,0.0129891564526312
tallies_DCLL_900K_Li90.0_U238_250.00kgm3_4e6x25,250.0,86.31460000000001,1.320764732740977,0.000190457375137,0.0018729697219822,2.6994289659228616e-07,0.0,0.0,0.5407572600851953,5.111926799363954e-05,0.0497702436407093,1.0471762272056825e-05,0.0,0.0,0.0011730328151158,1.1710016916411629e-07,0.0,0.0,0.0,0.0,0.016865512599903,1.976843207802024e-06,0.0563110673357393,6.414048217631071e-06,1.3226377024629592,0.0001907273180336,220.97490065790004,0.0464935764527417,0.0,0.0,0.1731698039749658,4.763684306872504e-05,1082.8845301504075,0.1168462964511227,182.8904228449789,0.022192253739518
tallies_DCLL_900K_Li90.0_U238_500.00kgm3_4e6x25,500.0,172.62920000000003,1.2711064503914258,0.0001873801614929,0.0017728665308896,2.555630797847779e-07,0.0,0.0,0.5091782169075431,4.694963081237839e-05,0.0963937080342341,1.827518822935761e-05,0.0,0.0,0.0020735699515294,2.108509690423901e-07,0.0,0.0,0.0,0.0,0.0312312919376882,3.388605169420252e-06,0.1046544244209621,1.1510306643548276e-05,1.2728793169223152,0.0001876357245726,427.9784163943456,0.0811400067204728,0.0,0.0,0.1744447419365368,5.654504321631238e-05,1246.1294294130964,0.1219622486011838,338.5133143543451,0.0362171451139807
