filename,fertile_kg/m3,fertile_mt,"Li6(n,t)","Li7(n,Xt)","U238(n,g)",tbr,Pu239_kg/yr
tallies_ARCBall_900K_Li07.5_U000.00kgm3,0.0,0.0,1.068451710723972,0.1049280257022851,0.0,1.1733797364262573,0.0
tallies_ARCBall_900K_Li07.5_U000.03kgm3,0.03,0.0096,1.0683551129510225,0.1049267684823857,3.641996821876437e-05,1.1732818814334085,0.1616689634725203
tallies_ARCBall_900K_Li07.5_U000.30kgm3,0.3,0.096,1.0680821186009144,0.1049170177472981,0.0003624636603015,1.1729991363482126,1.6089833990357074
tallies_ARCBall_900K_Li07.5_U000.60kgm3,0.6,0.192,1.0680653513282743,0.104904237842785,0.0007214397110074,1.1729695891710594,3.202485229693403
tallies_ARCBall_900K_Li07.5_U001.50kgm3,1.5,0.48,1.0669406830289212,0.1048800389140589,0.0017794419185765,1.17182072194298,7.898978077295574
tallies_ARCBall_900K_Li07.5_U003.00kgm3,3.0,0.96,1.0653375324243548,0.1048387419463366,0.0034796657625919,1.1701762743706914,15.446305545627084
tallies_ARCBall_900K_Li07.5_U007.50kgm3,7.5,2.4,1.0627767243194666,0.1046907701567714,0.0082483820420214,1.167467494476238,36.61473198024126
tallies_ARCBall_900K_Li07.5_U015.00kgm3,15.0,4.8,1.0568578820322407,0.1044866035149361,0.0153774951716389,1.161344485547177,68.26100699126023
tallies_ARCBall_900K_Li07.5_U030.00kgm3,30.0,9.6,1.047330730947187,0.1040533302883005,0.0276206511748111,1.151384061235488,122.60862005824308
tallies_ARCBall_900K_Li07.5_U045.00kgm3,45.0,14.4,1.0392091234657477,0.1036326265583846,0.0380338947834874,1.1428417500241324,168.83321560124995
tallies_ARCBall_900K_Li07.5_U060.00kgm3,60.0,19.2,1.0333644485965494,0.10321816056693,0.0475871542008735,1.1365826091634794,211.240324210344
tallies_ARCBall_900K_Li07.5_U075.00kgm3,75.0,24.0,1.0264291348596777,0.1027889752234935,0.0564810478058007,1.129218110083171,250.72049486031847
tallies_ARCBall_900K_Li07.5_U090.00kgm3,90.0,28.8,1.0196659712153782,0.1023919020897078,0.0646799148309845,1.122057873305086,287.1154286957512
tallies_ARCBall_900K_Li07.5_U105.00kgm3,105.0,33.6,1.015228960600704,0.1019843332332372,0.0726605394792931,1.1172132938339412,322.5415802784579
tallies_ARCBall_900K_Li07.5_U120.00kgm3,120.0,38.4,1.01022904468354,0.1015486444225322,0.0799940477101265,1.1117776891060724,355.0951692100697
tallies_ARCBall_900K_Li07.5_U135.00kgm3,135.0,43.2,1.0062728866809671,0.1011515226807522,0.0872055248328176,1.1074244093617192,387.1070596249158
tallies_ARCBall_900K_Li07.5_U150.00kgm3,150.0,48.0,1.001108141117291,0.1007566738382494,0.0938841782473034,1.1018648149555406,416.7537349988891
