filename,fertile_kg/m3,fertile_mt,"Li6(n,t)","Li6(n,t)_sd","Li7(n,Xt)","Li7(n,Xt)_sd","Be9(n,2n)","Be9(n,2n)_sd","U238(n,g)","U238(n,g)_sd",tbr,tbr_sd,Pu239 [kg/yr],Pu239_sd,leak [n/src-n],leak_sd,heat [MW],heat_sd,fisq [MW],fisq_sd
tallies_FLiBe_900K_Li00.0_U238_000.00kgm3_4e6x25,0.0,0.0,0.0,0.0,0.1089549279724838,2.0139639362314792e-05,0.2272069475412203,3.2448436110583734e-05,0.0,0.0,0.1089549279724838,2.0139639362314792e-05,0.0,0.0,0.0421927299999999,2.364436120275687e-05,1006.8496270316024,0.1216289332388153,0.0,0.0
tallies_FLiBe_900K_Li00.0_U238_000.10kgm3_4e6x25,0.1,0.06250323563073185,0.0,0.0,0.1089550259706219,2.0164921455265543e-05,0.2272123686466904,3.2271565988310964e-05,0.0017299747778285,2.630825732775529e-07,0.1089550259706219,2.0164921455265543e-05,7.680914874176882,0.0011680602955152,0.0421761099999999,2.4189956076994634e-05,1008.9170134809664,0.1222882053958431,2.1194571862307874,0.0003333106628086
tallies_FLiBe_900K_Li00.0_U238_000.50kgm3_4e6x25,0.5,0.31251617815365923,0.0,0.0,0.1089537836578631,1.990448196030657e-05,0.2272351640367296,3.1663238772106496e-05,0.0085496453284129,1.481734045064489e-06,0.1089537836578631,1.990448196030657e-05,37.959569592322126,0.0065787508651401,0.04210090963824,2.480432725378096e-05,1017.1566009501822,0.1175535230789898,10.530384003789228,0.0015229468489242
tallies_FLiBe_900K_Li00.0_U238_001.00kgm3_4e6x25,1.0,0.6250323563073185,0.0,0.0,0.1089516760052238,1.9656032790036135e-05,0.2272614807403573,3.192042033463248e-05,0.0168580407477189,3.1314347089236364e-06,0.1089516760052238,1.9656032790036135e-05,74.84801373298917,0.013903256707289,0.0420118899999999,2.8087360294902624e-05,1027.3255833311118,0.1202702963563408,20.899282838267247,0.0031347236330733
tallies_FLiBe_900K_Li00.0_U238_010.00kgm3_4e6x25,10.0,6.250323563073184,0.0,0.0,0.1089041982777013,1.9905662689892524e-05,0.227677658509043,3.241307540164175e-05,0.1366608219225416,2.041722874483844e-05,0.1089041982777013,1.9905662689892524e-05,606.7603720440666,0.0906504522294517,0.04082043,2.1130401282319893e-05,1189.8112996294085,0.1332937943342405,185.75173115056648,0.0243247842267452
tallies_FLiBe_900K_Li00.0_U238_025.00kgm3_4e6x25,25.0,15.625808907682961,0.0,0.0,0.1087393196206734,1.970455911620931e-05,0.2281313505384087,3.301521946604092e-05,0.269551947964681,4.607393389783448e-05,0.1087393196206734,1.970455911620931e-05,1196.7836716579502,0.204563655333706,0.03980875882643,1.877306429443492e-05,1404.816958745124,0.139202675923904,401.7988958016493,0.0519508543955722
tallies_FLiBe_900K_Li00.0_U238_050.00kgm3_4e6x25,50.0,31.251617815365922,0.0,0.0,0.1083427601302403,2.0751451687672266e-05,0.2285000133813792,3.419734370926684e-05,0.4154210086761183,7.42037389280866e-05,0.1083427601302403,2.0751451687672266e-05,1844.427702345514,0.3294571743801293,0.03864470123579,2.2714569896283183e-05,1672.877503390289,0.1992308722264132,669.3307414769608,0.0978479806038991
tallies_FLiBe_900K_Li00.0_U238_075.00kgm3_4e6x25,75.0,46.877426723048885,0.0,0.0,0.1078519412578382,2.046507368296489e-05,0.2285508601058495,3.263623892731215e-05,0.5178487089347065,8.616134484355397e-05,0.1078519412578382,2.046507368296489e-05,2299.196440321821,0.3825477479033708,0.0373843799999999,2.000440118300666e-05,1869.038150304173,0.2741264994715795,864.4858165298167,0.1606759598705281
tallies_FLiBe_900K_Li00.0_U238_100.00kgm3_4e6x25,100.0,62.503235630731844,0.0,0.0,0.1073006960603225,2.0564940290398896e-05,0.2284053713664213,3.258042794553946e-05,0.5970292987676883,0.0001076930182393,0.1073006960603225,2.0564940290398896e-05,2650.75033462636,0.4781462228471812,0.0359388296618597,2.0877742202167987e-05,2016.5464289460729,0.3374939979040455,1011.1088881131568,0.2434496373638282
tallies_FLiBe_900K_Li00.0_U238_150.00kgm3_4e6x25,150.0,93.75485344609777,0.0,0.0,0.1060754849399588,1.8968136759752444e-05,0.2277207983313626,3.24042372982683e-05,0.7132180657956628,9.011969760303104e-05,0.1060754849399588,1.8968136759752444e-05,3166.616831823292,0.4001224379954828,0.0327832095590005,2.469100822738628e-05,2214.6583682159016,0.3750685047753807,1208.0970280363124,0.2671619309713193
tallies_FLiBe_900K_Li00.0_U238_250.00kgm3_4e6x25,250.0,156.2580890768296,0.0,0.0,0.1033820973294118,1.8678177593529292e-05,0.2254852810677506,3.065069964751844e-05,0.8570647233437518,0.0001488360610533,0.1033820973294118,1.8678177593529292e-05,3805.281594871796,0.660817215262044,0.0265909208301846,2.060046777086197e-05,2401.6497541211074,0.3423259139451063,1394.8871715133623,0.255762422514031
tallies_FLiBe_900K_Li00.0_U238_500.00kgm3_4e6x25,500.0,312.5161781536592,0.0,0.0,0.0963788589122351,1.5925518568695462e-05,0.2186478387932484,3.060907264613711e-05,1.0276656822482857,0.0001605670904477,0.0963788589122351,1.5925518568695462e-05,4562.732778318215,0.7129018117083031,0.0160309399999999,1.5932626902331054e-05,2510.3900243676544,0.4333722626053331,1504.7730038944944,0.3504151589999221
tallies_FLiBe_900K_Li00.0_U238_750.00kgm3_4e6x25,750.0,468.7742672304888,0.0,0.0,0.089565362225624,1.2852749344711686e-05,0.211804286605054,2.8387102158481155e-05,1.116408249212618,0.0001577220548802,0.089565362225624,1.2852749344711686e-05,4956.7408941039,0.7002701385255781,0.0104859594919218,1.1852818379213146e-05,2556.523268146675,0.4573068845844409,1549.4104094372387,0.3635969100332842
tallies_FLiBe_900K_Li00.0_U238_999.99kgm3_4e6x25,999.99,625.0261059837553,0.0,0.0,0.083009676050873,1.7800454467310063e-05,0.2052872468599607,3.797866186958435e-05,1.180438980553372,0.0002387293111808,0.083009676050873,1.7800454467310063e-05,5241.03093293149,1.0599342491295496,0.007403875,2.272108204821583e-05,2627.8877302646865,0.5728311034915017,1616.9383178128728,0.4715110348476673
