filename,fertile_kg/m3,fertile_mt,"Li6(n,t)","Li6(n,t)_sd","Li7(n,Xt)","Li7(n,Xt)_sd","Be9(n,2n)","Be9(n,2n)_sd","Pb(n,2n)","Pb(n,2n)_sd","U238(n,g)","U238(n,g)_sd","Th232(n,g)","Th232(n,g)_sd","tot(n,fis)","tot(n,fis)_sd",tbr,tbr_sd,Pu239_kg/yr,Pu239_kg/yr_sd,U233_kg/yr,U233_kg/yr_sd,leak [n/src-n],leak_sd,heat [MW],heat_sd,fisq [MW],fisq_sd
tallies_FLiBe_900K_Li07.5_U238_000.00kgm3_4e6x25,0.0,0.0,1.0939490611922695,0.0001147007113401,0.100359509030307,1.8689797605816785e-05,0.2266479136075797,3.152047493595144e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1943085702225766,0.0001333905089459,0.0,0.0,0.0,0.0,0.00100846,3.603287850466416e-06,939.702609335028,0.0990681204862739,0.0,0.0
tallies_FLiBe_900K_Li07.5_U238_000.10kgm3_4e6x25,0.1,0.06250323563073185,1.0938147828899585,0.0001124548411673,0.1003570423493416,1.8649761611729592e-05,0.2266452216777266,3.142809820894643e-05,0.0,0.0,0.0001636613890444,7.17511871489541e-08,0.0,0.0,7.11696817066116e-06,7.189383335275867e-10,1.1941718252393,0.0001311046027791,0.7266401877940021,0.0003185680899371,0.0,0.0,0.00100817,3.62539423143564e-06,939.7825462796897,0.0982554527778202,0.0769681025407652,8.449695910497444e-06
tallies_FLiBe_900K_Li07.5_U238_000.50kgm3_4e6x25,0.5,0.31251617815365923,1.093249059531924,0.0001087146959111,0.100346606040762,1.860315544003147e-05,0.2266342659381214,3.1595675521678225e-05,0.0,0.0,0.0008127767213527,3.6478334107081874e-07,0.0,0.0,3.5581146783978286e-05,3.585806461873942e-09,1.1935956655726858,0.0001273178513512,3.608647298464904,0.0016196015260983,0.0,0.0,0.0010076599999999,3.7695015143492807e-06,940.0934454461848,0.0969078834015464,0.3847999575351678,4.1529463141463455e-05
tallies_FLiBe_900K_Li07.5_U238_001.00kgm3_4e6x25,1.0,0.6250323563073185,1.0925981933671205,0.0001111260219499,0.1003331086185943,1.867215692799684e-05,0.2266206312425562,3.188113645975165e-05,0.0,0.0,0.0016123406936726,6.877820939097707e-07,0.0,0.0,7.115328450795085e-05,7.189665038152108e-09,1.1929313019857148,0.0001297981788779,7.158631313582153,0.0030536836623335,0.0,0.0,0.0010067,3.7323194307759218e-06,940.493444250938,0.0980969677300028,0.769501056187973,8.359576821624554e-05
tallies_FLiBe_900K_Li07.5_U238_010.00kgm3_4e6x25,10.0,6.250323563073184,1.0819078836025755,0.0001479069534898,0.1000927862396236,1.8911690863125008e-05,0.2263844828090412,3.27169711167099e-05,0.0,0.0,0.014261568284923,6.128017754670828e-06,0.0,0.0,0.0007101008547846,7.376571161300935e-08,1.1820006698421994,0.0001668186443529,63.31993585840157,0.0272077855263023,0.0,0.0,0.0010052199999999,3.894689760860811e-06,947.5406793401776,0.1062606024416959,7.67930758363158,0.0008788171942774
tallies_FLiBe_900K_Li07.5_U238_025.00kgm3_4e6x25,25.0,15.625808907682961,1.068554126476827,0.0001553246894732,0.0996994060144106,1.913221700122328e-05,0.225991820666662,3.244629608495942e-05,0.0,0.0,0.0309044823188362,1.3149067991766431e-05,0.0,0.0,0.0017708165980903,1.8803918365016802e-07,1.1682535324912375,0.0001744569064745,137.21280851241062,0.05838054589807,0.0,0.0,0.00100187,3.3223711412191985e-06,959.3871346024694,0.1148666114883587,19.149715192023937,0.0023190032723789
tallies_FLiBe_900K_Li07.5_U238_050.00kgm3_4e6x25,50.0,31.251617815365922,1.0518059081026574,0.0001568443801618,0.0990453782414725,1.9258007806934103e-05,0.2253364984331166,3.211902650639381e-05,0.0,0.0,0.0528281719218537,1.9012775760135438e-05,0.0,0.0,0.0035308985587696,3.769168312466948e-07,1.15085128634413,0.0001761023879688,234.55179618252163,0.0844148215378714,0.0,0.0,0.00099567,4.052435481699311e-06,979.210529746003,0.1170956205439909,38.1822313033314,0.0046742118820772
tallies_FLiBe_900K_Li07.5_U238_075.00kgm3_4e6x25,75.0,46.877426723048885,1.0383775600456713,0.000142553340087,0.0983935990464547,1.9274968456846133e-05,0.2246898851246705,3.220331169054832e-05,0.0,0.0,0.07107993228216,1.876751250636579e-05,0.0,0.0,0.0052837656783358,5.668968787196094e-07,1.136771159092126,0.0001618283085438,315.5877855091152,0.0833258772375777,0.0,0.0,0.0009962699999999,4.342880188693239e-06,998.9993085311384,0.1174885139525348,57.13635092529273,0.0070249730545067
tallies_FLiBe_900K_Li07.5_U238_100.00kgm3_4e6x25,100.0,62.503235630731844,1.0269282899258427,0.0001389391019533,0.0977434228305642,1.7957279599473786e-05,0.2240432745997518,2.9412867043130613e-05,0.0,0.0,0.0871960441863459,2.574376350359073e-05,0.0,0.0,0.0070309517597153,7.060065402641082e-07,1.124671712756407,0.0001568963815528,387.1417094305599,0.1142997334679184,0.0,0.0,0.00099033,3.95478929063797e-06,1018.7519166745288,0.1200175279856894,76.02897464300551,0.0088904256445261
tallies_FLiBe_900K_Li07.5_U238_150.00kgm3_4e6x25,150.0,93.75485344609777,1.0074650156954557,0.0001707031158035,0.0964505043325725,1.7426968967546342e-05,0.2227512857904965,3.048710788085424e-05,0.0,0.0,0.1157699167340015,3.3726996761335215e-05,0.0,0.0,0.0105126012945296,1.0730391493143896e-06,1.1039155200280284,0.0001881300847711,514.0068438110778,0.1497444901541404,0.0,0.0,0.00098154,4.335384450463216e-06,1058.2370587876778,0.1301159349845762,113.67743291699088,0.0133366148634655
tallies_FLiBe_900K_Li07.5_U238_250.00kgm3_4e6x25,250.0,156.2580890768296,0.9759086506873718,0.0001286042067952,0.0938832846561104,1.7423648636510526e-05,0.2201945195240585,2.9666032690765493e-05,0.0,0.0,0.1647229781404382,3.737583379469952e-05,0.0,0.0,0.0174360340388436,1.854289991617372e-06,1.0697919353434822,0.0001460278554317,731.3535371340615,0.1659449613992728,0.0,0.0,0.00096379,4.017894349034018e-06,1136.9335784722823,0.1324484992073681,188.5485571360092,0.0226918788092707
tallies_FLiBe_900K_Li07.5_U238_500.00kgm3_4e6x25,500.0,312.5161781536592,0.915064286139068,6.649216011309014e-05,0.0876316556835181,1.4702265606544002e-05,0.2139454529145406,2.9424894545737325e-05,0.0,0.0,0.2672041018492799,3.739689155145246e-05,0.0,0.0,0.0345882128220124,3.1797281911567973e-06,1.0026959418225865,8.119442571963416e-05,1186.3594698827667,0.1660384557317529,0.0,0.0,0.00093207,3.4762743466723447e-06,1332.3606333388177,0.1131881416833055,374.0797035808471,0.0337138360644366
tallies_FLiBe_900K_Li07.5_U238_750.00kgm3_4e6x25,750.0,468.7742672304888,0.8642375998620024,0.0001047394814311,0.0815916477880398,1.2115511120562404e-05,0.2078846758602432,2.831736897797108e-05,0.0,0.0,0.3579015234638754,5.2608982645226665e-05,0.0,0.0,0.0515896034461558,4.787644167421963e-06,0.9458292476500424,0.0001168549925517,1589.046944669806,0.2335786177312045,0.0,0.0,0.00091409,4.373758871573049e-06,1526.307038136688,0.1363827518364967,558.0560961173113,0.0500712686707754
tallies_FLiBe_900K_Li07.5_U238_999.99kgm3_4e6x25,999.99,625.0261059837553,0.8174211770379112,0.0001193070029472,0.0757578140676011,1.235731809183575e-05,0.2020083050732187,2.671758308455524e-05,0.0,0.0,0.4437538009613945,6.366711539906662e-05,0.0,0.0,0.068492297598384,6.266151604158011e-06,0.8931789911055124,0.000131664321039,1970.2224644888684,0.2826756204379171,0.0,0.0,0.00089554,3.0585835501624496e-06,1719.3753505689008,0.1699640499062689,741.0488074257545,0.0739859426767009
