filename,fertile_kg/m3,energy mid [eV],mean,energy low [eV],energy high [eV]
prism_A_U238_000.50kgm3,0.5,5500.0,29.97946631953593,1000.0,10000.0
prism_A_U238_000.50kgm3,0.5,55000.0,40.87222972262687,10000.0,100000.0
prism_A_U238_000.50kgm3,0.5,550000.0,48.52272457355422,100000.0,1000000.0
prism_A_U238_000.50kgm3,0.5,5500000.0,23.27497128575872,1000000.0,10000000.0
prism_A_U238_000.10kgm3,0.1,0.005,0.0,0.0,0.01
prism_A_U238_000.10kgm3,0.1,0.055,0.0,0.01,0.1
prism_A_U238_000.10kgm3,0.1,0.55,2.368968093640829e-05,0.1,1.0
prism_A_U238_000.10kgm3,0.1,5.5,0.0512492025193758,1.0,10.0
prism_A_U238_000.10kgm3,0.1,55.0,2.6660078611616864,10.0,100.0
prism_A_U238_000.10kgm3,0.1,550.0,14.996449361239463,100.0,1000.0
prism_A_U238_000.10kgm3,0.1,5500.0,30.003123572311953,1000.0,10000.0
prism_A_U238_000.10kgm3,0.1,55000.0,40.87910410703644,10000.0,100000.0
prism_A_U238_000.10kgm3,0.1,550000.0,48.557491512696075,100000.0,1000000.0
prism_A_U238_000.10kgm3,0.1,5500000.0,23.309359360577638,1000000.0,10000000.0
prism_A_U238_030.00kgm3,30.0,0.005,0.0,0.0,0.01
prism_A_U238_030.00kgm3,30.0,0.055,0.0,0.01,0.1
prism_A_U238_030.00kgm3,30.0,0.55,2.9731801431176608e-05,0.1,1.0
prism_A_U238_030.00kgm3,30.0,5.5,0.0485768116824847,1.0,10.0
prism_A_U238_030.00kgm3,30.0,55.0,2.633308911252913,10.0,100.0
prism_A_U238_030.00kgm3,30.0,550.0,15.010544524783056,100.0,1000.0
prism_A_U238_030.00kgm3,30.0,5500.0,30.022862101437163,1000.0,10000.0
prism_A_U238_030.00kgm3,30.0,55000.0,40.977433196459614,10000.0,100000.0
prism_A_U238_030.00kgm3,30.0,550000.0,48.61027392410574,100000.0,1000000.0
