filename,src-n,fertile_kg/m3,fertile_mt,"Li6(n,t)","Li6(n,t)_sd","Li7(n,Xt)","Li7(n,Xt)_sd","Be9(n,2n)","Be9(n,2n)_sd","Pb(n,2n)","Pb(n,2n)_sd","U238(n,g)","U238(n,g)_sd","Th232(n,g)","Th232(n,g)_sd","U235(n,inel)","U235(n,inel)_sd","U238(n,inel)","U238(n,inel)_sd","Th232(n,inel)","Th232(n,inel)_sd","U235(n,el)","U235(n,el)_sd","U238(n,el)","U238(n,el)_sd","Th232(n,el)","Th232(n,el)_sd","Li6(n,el)","Li6(n,el)_sd","Li7(n,el)","Li7(n,el)_sd","Be9(n,el)","Be9(n,el)_sd","Pb(n,el)","Pb(n,el)_sd","tot(n,fis)","tot(n,fis)_sd","tot(n,nufis)","tot(n,nufis)_sd",tbr,tbr_sd,Pu239_kg/yr,Pu239_kg/yr_sd,U233_kg/yr,U233_kg/yr_sd,leak [n/src-n],leak_sd,heat [MW],heat_sd,fisq [MW],fisq_sd
tallies_HCPB_900K_Li60.0_Th232_0000.00kgm3_4e5x25,10000000,0.0,0.0,1.389334419354879,0.0006294268567817,0.0153928233390996,9.39179097123696e-06,0.5244696268902652,0.0003009732997009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8965649280177825,0.0002927419307221,0.6269516639714581,0.0002013359204224,38.29163669080751,0.0120867577374438,0.0,0.0,0.0,0.0,0.0,0.0,1.4047272426939783,0.000638818647753,0.0,0.0,0.0,0.0,0.0577526376805481,8.946319289387488e-05,812.6614537902204,0.2937185033821404,0.0,0.0
tallies_HCPB_900K_Li60.0_Th232_0000.00kgm3_4e4x25,1000000,0.0,0.0,1.3905872816759763,0.0022039282436717,0.0153911722941005,2.8805556198192307e-05,0.5246583473456036,0.0010091118097089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.897582378956284,0.0010171611316393,0.6274502975415587,0.0007227967153801,38.3045095847969,0.044335364140617,0.0,0.0,0.0,0.0,0.0,0.0,1.4059784539700768,0.0022327337998699,0.0,0.0,0.0,0.0,0.0577870040403879,0.0002927670260704,813.2793426337016,1.0692317596627956,0.0,0.0
tallies_HCPB_900K_Li60.0_Th232_0000.01kgm3_4e4x25,1000000,0.01,0.0026519364000000003,1.3905906776374235,0.0022046236578038,0.0153912532925227,2.8814056954462704e-05,0.5246649139688069,0.0010082541090036,0.0,0.0,0.0,0.0,3.247079635308742e-06,1.3068319489350969e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7754121536962307e-05,3.420113797009047e-08,0.8975849010634656,0.0010162920376741,0.6274531211891796,0.0007225025590417,38.30471565794919,0.0442134935538573,0.0,0.0,9.946125181923625e-08,1.6925706875340192e-10,3.324541677795145e-07,5.666850980201243e-10,1.4059819309299462,0.0022334377147582,0.0,0.0,0.0140541062952585,5.656268765526432e-05,0.0577830040403879,0.0002922349672356,813.2853061106994,1.0690460537017783,0.0010169779264537,1.7322229622955664e-06
tallies_HCPB_900K_Li60.0_Th232_0000.01kgm3_4e5x25,10000000,0.01,0.0026519364000000003,1.3893111891721603,0.0006299574895439,0.0153928089728482,9.389744938156983e-06,0.5244689069244259,0.0003010345686699,0.0,0.0,0.0,0.0,3.242593263388869e-06,3.545753301819398e-09,0.0,0.0,0.0,0.0,1.8819254058939629e-06,1.6672524073143886e-08,0.0,0.0,0.0,0.0,2.7733234751179447e-05,1.1468586362821764e-08,0.8965586686947453,0.0002919569006933,0.62694764792496,0.0002010165395077,38.2913051097824,0.0120839166133987,0.0,0.0,9.94431433694191e-08,5.2966235784570727e-11,3.324058098226912e-07,1.7523147408711229e-10,1.404703998145009,0.000639347234482,0.0,0.0,0.0140346882473744,1.534683450897124e-05,0.0577516920395081,8.916455003911164e-05,812.6568224716063,0.2937895213164795,0.0010167868619595,5.426263095803831e-07
tallies_HCPB_900K_Li60.0_Th232_0000.10kgm3_4e5x25,10000000,0.1,0.026519364000000004,1.3893255507662223,0.0006338436547153,0.0153924209323926,9.431372977366226e-06,0.5244546393557795,0.0003025905132409,0.0,0.0,0.0,0.0,3.242227995154282e-05,3.6904879183523826e-08,0.0,0.0,0.0,0.0,1.8819300237508297e-05,1.6958679163537813e-07,0.0,0.0,0.0,0.0,0.000277332081898,1.1670585560383818e-07,0.8965530672983753,0.0002941808575548,0.6269438961824144,0.0002019618835793,38.29148496264887,0.0121448773554177,0.0,0.0,9.94425134793376e-07,5.313119369808313e-10,3.324038924482925e-06,1.757494384452908e-09,1.4047179716986151,0.0006432750276927,0.0,0.0,0.1403310728257788,0.0001597327916503,0.0577566205946546,8.873673439633452e-05,812.6756874095861,0.296789680560915,0.0101678034739994,5.443258476337939e-06
tallies_HCPB_900K_Li60.0_Th232_0000.10kgm3_4e4x25,1000000,0.1,0.026519364000000004,1.3906462827721404,0.0021717736640765,0.0153903107373868,2.868442675225935e-05,0.5246394875256658,0.001004418078361,0.0,0.0,0.0,0.0,3.246836989046491e-05,1.282834042727494e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00027754217929,3.368094575232148e-07,0.897588294966866,0.0010195966473,0.6274654403256406,0.000722191422511,38.30664137777758,0.0439646181689808,0.0,0.0,9.946118145159202e-07,1.6855869885330516e-09,3.324527648189724e-06,5.642098471462755e-09,1.4060365935095271,0.0022004580908287,0.0,0.0,0.140530560665162,0.000555240031677,0.0578184872395879,0.0002889206394306,813.3145117928308,1.0614058994186313,0.0101697768869656,1.7251976602349853e-05
tallies_HCPB_900K_Li60.0_Th232_0000.50kgm3_4e4x25,1000000,0.5,0.13259682,1.3906280566232276,0.0021599303852591,0.0153868509896507,2.861126479497725e-05,0.5245154537919982,0.001001874753433,0.0,0.0,0.0,0.0,0.0001621615906362,6.322271180312969e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013874924496731,1.6829328608912127e-06,0.897523634473987,0.0010408272950569,0.6274169261900511,0.0007332529147881,38.30509911290938,0.0437690085072847,0.0,0.0,4.972543529647338e-06,8.430245310464887e-09,1.6621212895870172e-05,2.8210250088183283e-08,1.4060149076128785,0.0021885416500541,0.0,0.0,0.7018726017766029,0.0027364241464659,0.0577975744187879,0.0002868304917492,813.3617213577818,1.069585401755873,0.0508434942649429,8.628803618923841e-05
tallies_HCPB_900K_Li60.0_Th232_0001.00kgm3_4e4x25,1000000,1.0,0.26519364,1.3904650687529434,0.0021119297757694,0.0153851279510025,2.837413882219443e-05,0.5244704434987788,0.0009968742514528,0.0,0.0,0.0,0.0,0.0003241826868999,1.241318371760776e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027747446641311,3.3228251447446143e-06,0.89740381294491,0.0010403528641846,0.6273294625863172,0.0007293822101188,38.299977997821415,0.0432713516145047,0.0,0.0,9.945228530847136e-06,1.6819013609077253e-08,3.32427372023289e-05,5.6169809346096254e-08,1.405850196703946,0.0021403039145916,0.0,0.0,1.4031371116469518,0.0053727109594971,0.0578402112034093,0.0002857251272638,813.424701406873,1.0617902543021338,0.1016884980018232,0.0001721987810331
tallies_HCPB_900K_Li60.0_Th232_0001.00kgm3_4e5x25,10000000,1.0,0.26519364,1.388990084441259,0.000620472632277,0.0153879226859557,9.410031753769146e-06,0.5243143694242824,0.0003015428976951,0.0,0.0,0.0,0.0,0.0003238936872508,3.832227085389935e-07,0.0,0.0,0.0,0.0,0.0001881945660497,1.683977753513957e-06,0.0,0.0,0.0,0.0,0.0027728934040445,1.1597684485700765e-06,0.8964210121134564,0.0002881031129858,0.6268382075012311,0.0001976156220837,38.28519408537085,0.0117864650217604,0.0,0.0,9.943565255143852e-06,5.265947028488822e-09,3.323824977934564e-05,1.7446658323148553e-08,1.4043780071272147,0.0006298826640308,0.0,0.0,1.4018862548017674,0.0016586758827834,0.0577398713842887,8.810215945649288e-05,812.7436404001969,0.2900412307499196,0.1016709635520199,5.393888981181174e-05
tallies_HCPB_900K_Li60.0_Th232_0010.00kgm3_4e4x25,1000000,10.0,2.6519364,1.3847509907044695,0.002184209800663,0.0153527144936338,2.709260641063923e-05,0.5232300822373116,0.000937221889115,0.0,0.0,0.0,0.0,0.0032025707623622,1.2847293169632568e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0276826959483175,3.79485851370452e-05,0.8957567389815821,0.0009754411783151,0.6261667728665733,0.000694848481492,38.22174225759253,0.0431507582278771,0.0,0.0,9.943423037892135e-05,1.5684610038018676e-07,0.0003323781096482,5.320208590818002e-07,1.4001037051981031,0.0022113024070736,0.0,0.0,13.861461672481314,0.0556060349887901,0.0579677673671241,0.0003053293593574,813.4543342534314,1.053982938122259,1.016695889909684,0.001602729951402
