filename,fertile_kg/m3,fertile_mt,tbr,Pu239_kg/yr
tallies_ARC_294K_Li07.5_U000.00kgm3,0.0,0.0,1.173096328686958,0.0
tallies_ARC_294K_Li07.5_U000.03kgm3,0.03,0.008733000000000001,1.1730158896448124,0.2019799773543195
tallies_ARC_294K_Li07.5_U000.30kgm3,0.3,0.08733,1.172546277319185,2.0051992022588325
tallies_ARC_294K_Li07.5_U000.60kgm3,0.6,0.17466,1.1721903374327989,3.978439110759408
tallies_ARC_294K_Li07.5_U001.50kgm3,1.5,0.43665000000000004,1.171251274945297,9.7360703143823
tallies_ARC_294K_Li07.5_U003.00kgm3,3.0,0.8733000000000001,1.1696318635667982,18.811820240906208
tallies_ARC_294K_Li07.5_U007.50kgm3,7.5,2.18325,1.1647979813369689,43.14939061360568
tallies_ARC_294K_Li07.5_U015.00kgm3,15.0,4.3665,1.1579329893914914,77.85440328939261
tallies_ARC_294K_Li07.5_U030.00kgm3,30.0,8.733,1.1484877337085535,134.14120596814627
tallies_ARC_294K_Li07.5_U045.00kgm3,45.0,13.099500000000003,1.1405843218705067,182.3614217687137
tallies_ARC_294K_Li07.5_U060.00kgm3,60.0,17.466,1.1339984591480805,225.3978301622954
tallies_ARC_294K_Li07.5_U075.00kgm3,75.0,21.8325,1.1274704433457508,264.2615185971987
tallies_ARC_294K_Li07.5_U090.00kgm3,90.0,26.199000000000005,1.121547944513065,301.13051254498555
tallies_ARC_294K_Li07.5_U105.00kgm3,105.0,30.565500000000004,1.1161800589212882,336.7913557119056
tallies_ARC_294K_Li07.5_U120.00kgm3,120.0,34.932,1.1111341697602837,370.43518947398087
tallies_ARC_294K_Li07.5_U135.00kgm3,135.0,39.2985,1.1065493993881197,401.9702354169634
tallies_ARC_294K_Li07.5_U150.00kgm3,150.0,43.665,1.1008935380535685,431.55213254087965
