filename,fertile_kg/m3,fertile_mt,"Li6(n,t)","Li7(n,Xt)","U238(n,g)",tbr,Pu239_kg/yr
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,1.0720467699528855,0.1040936005074792,0.0,1.1761403704603648,0.0
tallies_ARC_900K_Li07.5_U000.03kgm3,0.03,0.008733000000000001,1.0719049158350922,0.1040921534200305,3.66239043619606e-05,1.1759970692551227,0.1625742400693332
tallies_ARC_900K_Li07.5_U000.30kgm3,0.3,0.08733,1.0715681915831976,0.104081741850594,0.0003648791308196,1.1756499334337915,1.619705720719821
tallies_ARC_900K_Li07.5_U000.60kgm3,0.6,0.17466,1.071235011067608,0.1040754078494461,0.0007257317525476,1.175310418917054,3.22153768747731
tallies_ARC_900K_Li07.5_U001.50kgm3,1.5,0.43665000000000004,1.070573140370097,0.1040652506582578,0.0017902694808183,1.174638391028355,7.947041841493849
tallies_ARC_900K_Li07.5_U003.00kgm3,3.0,0.8733000000000001,1.069419186571861,0.104027288244634,0.0035094598956458,1.1734464748164948,15.578562294986185
tallies_ARC_900K_Li07.5_U007.50kgm3,7.5,2.18325,1.0663861955483782,0.1038958818908195,0.0083195206974036,1.1702820774391978,36.930517886735686
tallies_ARC_900K_Li07.5_U015.00kgm3,15.0,4.3665,1.0599531490955183,0.1036925972017196,0.0154286307751946,1.1636457462972378,68.48799895275079
tallies_ARC_900K_Li07.5_U030.00kgm3,30.0,8.733,1.0502322256556955,0.1033077395904758,0.0275610760846628,1.1535399652461715,122.34416504787076
tallies_ARC_900K_Li07.5_U045.00kgm3,45.0,13.099500000000003,1.0423215674829844,0.102911777416101,0.0381700458107553,1.1452333448990857,169.4375927199202
tallies_ARC_900K_Li07.5_U060.00kgm3,60.0,17.466,1.036461698228367,0.1024864701354237,0.0477599948969958,1.1389481683637908,212.00756749897408
tallies_ARC_900K_Li07.5_U075.00kgm3,75.0,21.8325,1.0302385533037324,0.1020878655236739,0.0566182662669904,1.132326418827406,251.32961033940344
tallies_ARC_900K_Li07.5_U090.00kgm3,90.0,26.199000000000005,1.0263727798890767,0.1016946188966657,0.065024466331722,1.1280673987857426,288.6448996621324
tallies_ARC_900K_Li07.5_U105.00kgm3,105.0,30.565500000000004,1.0219451537469677,0.1012904123528918,0.0729738689290952,1.1232355660998594,323.93245593959625
tallies_ARC_900K_Li07.5_U120.00kgm3,120.0,34.932,1.016427568648916,0.1009217315537095,0.0805551831020649,1.1173493002026256,357.58606037827474
tallies_ARC_900K_Li07.5_U135.00kgm3,135.0,39.2985,1.0114637479357542,0.1005031976002833,0.0875912834978494,1.1119669455360373,388.81945001338704
tallies_ARC_900K_Li07.5_U150.00kgm3,150.0,43.665,1.0061053876271986,0.100123192452744,0.0945451983392088,1.1062285800799423,419.6880163373827
