filename,fertile_kg/m3,fertile_mt,"Li6(n,t)","Li7(n,Xt)","U238(n,g)",tbr,Pu239_kg/yr
tallies_HCPB_900K_Li60.0_U000.00kgm3,0,0,1.382090426,0.014290359,0,1.396380785,0
tallies_HCPB_900K_Li60.0_U000.10kgm3,0.1,0.05206,1.382088699,0.014290037,4.16E-05,1.396378736,0.184564978
tallies_HCPB_900K_Li60.0_U000.50kgm3,0.5,0.2603,1.38203224,0.01428835,0.000207539,1.39632059,0.921270438
tallies_HCPB_900K_Li60.0_U001.50kgm3,1.5,0.7809,1.381618098,0.014284345,0.000619736,1.395902443,2.751021639
tallies_HCPB_900K_Li60.0_U003.00kgm3,3,1.5618,1.381187886,0.014279014,0.001231351,1.3954669,5.46599263
tallies_HCPB_900K_Li60.0_U007.50kgm3,7.5,3.9045,1.379204119,0.014259896,0.003018563,1.393464015,13.39946318
tallies_HCPB_900K_Li60.0_U015.00kgm3,15,7.809,1.376890277,0.014228501,0.005868018,1.391118778,26.04825039
tallies_HCPB_900K_Li60.0_U030.00kgm3,30,15.618,1.370578414,0.014169557,0.011202308,1.384747971,49.72726614
tallies_HCPB_900K_Li60.0_U045.00kgm3,45,23.427,1.363851704,0.014104841,0.016129136,1.377956544,71.59755753
tallies_HCPB_900K_Li60.0_U060.00kgm3,60,31.236,1.359436039,0.014049546,0.0206187,1.373485585,91.52682131
tallies_HCPB_900K_Li60.0_U075.00kgm3,75,39.045,1.355638351,0.013996188,0.02506794,1.369634539,111.2770839
tallies_HCPB_900K_Li60.0_U090.00kgm3,90,46.854,1.351367528,0.01393645,0.029150588,1.365303979,129.4000407
tallies_HCPB_900K_Li60.0_U1000.00kgm3,1000,520.6,1.15663278,0.010555074,0.203972398,1.167187853,905.4375319
tallies_HCPB_900K_Li60.0_U105.00kgm3,105,54.663,1.346521383,0.013874816,0.033075187,1.360396199,146.8214137
tallies_HCPB_900K_Li60.0_U120.00kgm3,120,62.472,1.342743868,0.013813236,0.036932126,1.356557103,163.94244
tallies_HCPB_900K_Li60.0_U135.00kgm3,135,70.281,1.338747555,0.013754614,0.040756472,1.35250217,180.9187899
tallies_HCPB_900K_Li60.0_U150.00kgm3,150,78.09,1.334574771,0.013694549,0.044372515,1.34826932,196.9704753
tallies_HCPB_900K_Li60.0_U250.00kgm3,250,130.15,1.30915904,0.013311321,0.066688709,1.322470362,296.0325062
tallies_HCPB_900K_Li60.0_U500.00kgm3,500,260.3,1.257106028,0.01236697,0.115398492,1.269472998,512.2562021
tallies_HCPB_900K_Li60.0_U750.00kgm3,750,390.45,1.207808432,0.011447804,0.160857628,1.219256236,714.0502122
