filename,fertile_kg/m3,fertile_mt,"Li6(n,t)","Li7(n,Xt)","Th232(n,g)",tbr,Pu239_kg/yr
tallies_PB_900K_Li60.0_Th000.00kgm3,0.0,0.0,1.3835017368363636,0.0158261171012231,0.0,1.3993278539375869,
tallies_PB_900K_Li60.0_Th000.03kgm3,0.03,0.015618,1.3834855322400166,0.0158258381659796,1.8279014728337848e-05,1.399311370405996,
tallies_PB_900K_Li60.0_Th000.30kgm3,0.3,0.15618,1.3833192531756195,0.0158243717920676,0.0001826145856022,1.3991436249676872,
tallies_PB_900K_Li60.0_Th000.60kgm3,0.6,0.31236,1.3830156835514835,0.0158222842542813,0.0003647946956702,1.398837967805765,
tallies_PB_900K_Li60.0_Th001.50kgm3,1.5,0.7809,1.3827162005908893,0.0158172542129441,0.0009097109265848,1.3985334548038333,
tallies_PB_900K_Li60.0_Th003.00kgm3,3.0,1.5618,1.3817391365630205,0.0158089497562178,0.0018111965492408,1.397548086319238,
tallies_PB_900K_Li60.0_Th007.50kgm3,7.5,3.9045,1.3785728711741672,0.0157790294977081,0.0044684446509864,1.3943519006718754,
tallies_PB_900K_Li60.0_Th015.00kgm3,15.0,7.809,1.374237012680521,0.0157307259005819,0.0087529015151367,1.389967738581103,
tallies_PB_900K_Li60.0_Th030.00kgm3,30.0,15.618,1.3654238969732813,0.015632301551672,0.0168760496487818,1.3810561985249534,
tallies_PB_900K_Li60.0_Th045.00kgm3,45.0,23.427,1.3566439013435436,0.0155397242331301,0.0245244901525811,1.3721836255766735,
tallies_PB_900K_Li60.0_Th060.00kgm3,60.0,31.236,1.348171168769195,0.0154447164393161,0.0317471609145925,1.3636158852085112,
tallies_PB_900K_Li60.0_Th075.00kgm3,75.0,39.045,1.339952796970354,0.015350747080533,0.0386898604040132,1.3553035440508872,
tallies_PB_900K_Li60.0_Th090.00kgm3,90.0,46.854,1.33259214139119,0.0152588223848113,0.0453595559607393,1.3478509637760014,
tallies_PB_900K_Li60.0_Th105.00kgm3,105.0,54.663,1.3248427190955236,0.015167996416194,0.0516985178254282,1.3400107155117178,
tallies_PB_900K_Li60.0_Th120.00kgm3,120.0,62.472,1.3177320327950066,0.0150807560647979,0.0579121715031238,1.3328127888598047,
tallies_PB_900K_Li60.0_Th135.00kgm3,135.0,70.281,1.311522906755727,0.0149919969350245,0.0639058508948947,1.3265149036907515,
tallies_PB_900K_Li60.0_Th150.00kgm3,150.0,78.09,1.3046795346510056,0.0149041440895398,0.0696900718589126,1.3195836787405455,
